lesid,axcov,l2,l3,radcov,meancov,covfa,covpl,lesvol,sxx,syy,szz,sxy,sxz,syz,neurax,nxnorm,cmx,cmy,cmz
1.0,4.854207,1.228258,1.17266,1.200459,2.418375,0.710538,0.999219,118.972316,4.82399,1.21806,1.213075,0.042078,0.329221,-0.01816,0.5493352449074784,0.010296518698445974,-35.30795694925274,-21.351635685764847,9.565730280915716
2.0,1.332713,0.266667,0.266667,0.266667,0.622015,0.769684,1.0,15.996278,1.332713,0.266667,0.266667,0.0,0.0,0.0,8.8850895953024,0.16653854272686863,-34.497221230459516,-49.36424072778166,13.6371588523443
3.0,0.726934,0.272727,0.272727,0.272727,0.42413,0.551947,1.0,11.997208,0.726934,0.272727,0.272727,0.0,0.0,0.0,39.242087786201694,0.7355378967623628,-33.997337548923795,-25.364240727781663,-31.3628411476557
4.0,5.03494,3.147698,1.679874,2.413786,3.287504,0.472072,0.21447,229.946494,2.429266,3.942282,3.490963,-1.243493,-0.627137,0.53465,39.869408531056465,0.7472961442791557,-27.38583250878613,-91.25554507560776,-0.7802324520035313
5.0,1.311171,1.237705,1.158905,1.198305,1.235927,0.061535,-0.060631,61.985577,1.234751,1.237705,1.235325,0.0,-0.076132,0.0,40.32075709268417,0.755756040030245,-28.54699289217948,-19.364240727781663,-35.41122824442991
6.0,0.692308,0.692308,0.691986,0.692147,0.6922,0.000269,-1.0,26.993719,0.691986,0.692308,0.692308,0.0,0.0,0.0,19.883244529155405,0.37268353155585987,-26.998966007423704,-71.86424072778166,12.1371588523443
7.0,0.333333,0.333333,0.0,0.166667,0.222222,0.707107,-1.0,3.999069,0.0,0.333333,0.333333,0.0,0.0,0.0,18.997241396494978,0.35607664549331297,-26.998966007423704,-41.36424072778166,-1.3628411476557005
8.0,0.703884,0.29993,0.232422,0.266176,0.412079,0.55224,0.921704,10.997441,0.2726,0.272727,0.690909,-0.027266,0.054533,0.054545,41.16368851950489,0.7715556073768278,-21.545689481579473,-96.40969527323621,0.22806794325339297
9.0,44.065152,1.40362,0.946897,1.175258,15.47189,0.972653,0.999617,314.926719,1.611261,43.332019,1.472389,3.633822,-0.170479,-4.225457,0.426279597999752,0.00799001318823031,-19.45786361168483,-24.18170104524198,11.029222344407799
10.0,0.285714,0.285714,0.285581,0.285648,0.28567,0.000269,-1.0,7.998139,0.285581,0.285714,0.285714,0.0,0.0,0.0,48.292695337105,0.9051788414206063,-20.500478147459333,-103.36424072778166,-4.3628411476557005
