lesid,axcov,l2,l3,radcov,meancov,covfa,covpl,lesvol,sxx,syy,szz,sxy,sxz,syz
1.000000,0.727273,0.272727,0.272727,0.272727,0.424242,0.552158,1.000000,12.000000,0.727273,0.272727,0.272727,0.000000,0.000000,0.000000
2.000000,0.333333,0.333333,0.000000,0.166667,0.222222,0.707107,-1.000000,4.000000,0.333333,0.333333,0.000000,0.000000,0.000000,0.000000
3.000000,1.285714,0.685714,0.685714,0.685714,0.885714,0.372572,1.000000,36.000000,1.285714,0.685714,0.685714,0.000000,0.000000,0.000000
4.000000,1.363636,1.036364,0.681818,0.859091,1.027273,0.320388,-0.069214,45.000000,1.200000,0.681818,1.200000,0.000000,0.163636,0.000000
5.000000,0.782609,0.695652,0.489130,0.592391,0.655797,0.225919,-0.638888,24.000000,0.635870,0.695652,0.635870,0.000000,0.146739,0.000000
6.000000,0.285714,0.285714,0.285714,0.285714,0.285714,0.000000,nan,8.000000,0.285714,0.285714,0.285714,0.000000,0.000000,0.000000
7.000000,0.333333,0.333333,0.000000,0.166667,0.222222,0.707107,-1.000000,4.000000,0.000000,0.333333,0.333333,0.000000,0.000000,0.000000
8.000000,261.269048,4.952968,1.097194,3.025081,89.106403,0.988318,0.999248,563.000000,1.245918,253.109467,12.963825,-3.560195,-1.251828,44.859513
9.000000,6.962438,1.605416,0.913137,1.259277,3.160331,0.796112,0.951040,121.000000,0.945179,3.044353,5.491460,-0.152066,0.028099,2.400138
10.000000,8.534483,0.689655,0.000000,0.344828,3.074713,0.959018,0.976246,30.000000,0.689655,8.534483,0.000000,0.000000,0.000000,0.000000
11.000000,0.333333,0.333333,0.000000,0.166667,0.222222,0.707107,-1.000000,4.000000,0.333333,0.333333,0.000000,0.000000,0.000000,0.000000
12.000000,0.333333,0.333333,0.000000,0.166667,0.222222,0.707107,-1.000000,4.000000,0.333333,0.333333,0.000000,0.000000,0.000000,0.000000
13.000000,21.421883,1.408015,0.696540,1.052278,7.842146,0.948766,0.995888,118.000000,3.115819,16.808127,3.602492,5.491888,-2.626974,-6.404752
14.000000,0.705882,0.705882,0.264706,0.485294,0.558824,0.427179,-1.000000,18.000000,0.705882,0.264706,0.705882,0.000000,0.000000,0.000000
15.000000,1.428571,0.285714,0.000000,0.142857,0.571429,0.898717,0.841698,8.000000,1.428571,0.285714,0.000000,0.000000,0.000000,0.000000
16.000000,2.233854,0.099479,0.000000,0.049740,0.777778,0.977525,0.993014,4.000000,1.666667,0.333333,0.333333,0.666667,-0.666667,-0.333333
