lesid,axcov,l2,l3,radcov,meancov,covfa,covpl,lesvol,sxx,syy,szz,sxy,sxz,syz
1.000000,1.363636,0.727273,0.000000,0.363636,0.696970,0.764706,-0.115157,12.000000,0.727273,1.363636,0.000000,0.000000,0.000000,0.000000
2.000000,0.333333,0.333333,0.000000,0.166667,0.222222,0.707107,-1.000000,4.000000,0.333333,0.333333,0.000000,0.000000,0.000000,0.000000
3.000000,2.144628,2.013159,1.497458,1.755308,1.885082,0.179501,-0.836401,112.000000,1.865428,1.912162,1.877654,0.194820,-0.253941,0.118243
4.000000,0.500000,0.000000,0.000000,0.000000,0.166667,1.000000,1.000000,2.000000,0.500000,0.000000,0.000000,0.000000,0.000000,0.000000
5.000000,0.500000,0.000000,0.000000,0.000000,0.166667,1.000000,1.000000,2.000000,0.500000,0.000000,0.000000,0.000000,0.000000,0.000000
6.000000,0.333333,0.333333,0.000000,0.166667,0.222222,0.707107,-1.000000,4.000000,0.333333,0.333333,0.000000,0.000000,0.000000,0.000000
7.000000,0.333333,0.333333,0.000000,0.166667,0.222222,0.707107,-1.000000,4.000000,0.333333,0.333333,0.000000,0.000000,0.000000,0.000000
8.000000,0.333333,0.333333,0.000000,0.166667,0.222222,0.707107,-1.000000,4.000000,0.333333,0.333333,0.000000,0.000000,0.000000,0.000000
9.000000,114.259233,4.402635,1.032973,2.717804,39.898280,0.975784,0.996923,584.000000,1.873634,110.666954,7.154254,-6.162974,2.256984,-18.541868
10.000000,0.333333,0.333333,0.000000,0.166667,0.222222,0.707107,-1.000000,4.000000,0.000000,0.333333,0.333333,0.000000,0.000000,0.000000
11.000000,0.333333,0.333333,0.000000,0.166667,0.222222,0.707107,-1.000000,4.000000,0.000000,0.333333,0.333333,0.000000,0.000000,0.000000
12.000000,5.874693,2.713619,1.039518,1.876568,3.209277,0.648887,0.503088,150.000000,2.183445,2.748143,4.696242,0.086353,-1.844295,0.939195
13.000000,1.333333,1.179939,0.256620,0.718280,0.923297,0.560801,-0.922533,31.000000,0.258065,1.255914,1.255914,-0.025806,0.025806,0.077419
14.000000,2.239205,1.563909,0.971885,1.267897,1.591667,0.378857,0.113508,80.000000,1.884652,1.042880,1.847468,-0.213449,0.301582,-0.198418
15.000000,0.774481,0.624088,0.243098,0.433593,0.547222,0.463334,-0.671678,16.000000,0.729167,0.650000,0.262500,0.075000,0.037500,-0.075000
16.000000,0.285714,0.285714,0.285714,0.285714,0.285714,0.000000,nan,8.000000,0.285714,0.285714,0.285714,0.000000,0.000000,0.000000
17.000000,0.750000,0.750000,0.000000,0.375000,0.500000,0.707107,-1.000000,9.000000,0.750000,0.750000,0.000000,0.000000,0.000000,0.000000
18.000000,2.020892,1.030527,0.256144,0.643336,1.102521,0.671134,0.210053,35.000000,0.257143,1.163025,1.887395,-0.010084,0.032773,0.337815
19.000000,0.333333,0.333333,0.000000,0.166667,0.222222,0.707107,-1.000000,4.000000,0.333333,0.333333,0.000000,0.000000,0.000000,0.000000
20.000000,4.307692,0.269231,0.000000,0.134615,1.525641,0.968371,0.986014,14.000000,0.269231,4.307692,0.000000,0.000000,0.000000,0.000000
21.000000,0.500000,0.000000,0.000000,0.000000,0.166667,1.000000,1.000000,2.000000,0.000000,0.500000,0.000000,0.000000,0.000000,0.000000
22.000000,16.367168,1.527985,0.630974,1.079479,6.175376,0.930517,0.988423,144.000000,0.639423,10.562889,7.323815,0.198281,-0.064977,-7.242521
23.000000,0.500000,0.000000,0.000000,0.000000,0.166667,1.000000,1.000000,2.000000,0.000000,0.000000,0.500000,0.000000,0.000000,0.000000
24.000000,0.500000,0.000000,0.000000,0.000000,0.166667,1.000000,1.000000,2.000000,0.000000,0.500000,0.000000,0.000000,0.000000,0.000000
25.000000,220.169988,9.943728,2.254573,6.099151,77.456097,0.971727,0.995652,1031.000000,2.733368,194.396233,35.238688,3.704996,-3.165308,-68.891800
26.000000,2.065422,1.313658,0.913803,1.113731,1.430961,0.387605,0.500247,63.000000,1.263185,1.119816,1.909882,-0.116743,-0.291347,-0.257296
27.000000,0.500000,0.000000,0.000000,0.000000,0.166667,1.000000,1.000000,2.000000,0.000000,0.500000,0.000000,0.000000,0.000000,0.000000
28.000000,1.428571,0.285714,0.000000,0.142857,0.571429,0.898717,0.841698,8.000000,1.428571,0.285714,0.000000,0.000000,0.000000,0.000000
29.000000,0.285714,0.285714,0.285714,0.285714,0.285714,0.000000,nan,8.000000,0.285714,0.285714,0.285714,0.000000,0.000000,0.000000
30.000000,6.164352,1.279243,0.762318,1.020780,2.735304,0.814141,0.966275,109.000000,1.527183,5.632688,1.046041,1.159701,0.113490,1.083418
31.000000,1.804132,0.631115,0.595336,0.613225,1.010194,0.595088,0.996957,38.000000,1.756046,0.637269,0.637269,0.192034,-0.132290,-0.038407
32.000000,0.333333,0.333333,0.000000,0.166667,0.222222,0.707107,-1.000000,4.000000,0.333333,0.333333,0.000000,0.000000,0.000000,0.000000
33.000000,0.333333,0.333333,0.000000,0.166667,0.222222,0.707107,-1.000000,4.000000,0.333333,0.333333,0.000000,0.000000,0.000000,0.000000
34.000000,0.500000,0.000000,0.000000,0.000000,0.166667,1.000000,1.000000,2.000000,0.000000,0.500000,0.000000,0.000000,0.000000,0.000000
35.000000,0.333333,0.333333,0.000000,0.166667,0.222222,0.707107,-1.000000,4.000000,0.333333,0.000000,0.333333,0.000000,0.000000,0.000000
36.000000,0.500000,0.000000,0.000000,0.000000,0.166667,1.000000,1.000000,2.000000,0.000000,0.500000,0.000000,0.000000,0.000000,0.000000
