lesid,axcov,l2,l3,radcov,meancov,covfa,covpl,lesvol,sxx,syy,szz,sxy,sxz,syz
1.000000,31.176449,1.980621,1.519022,1.749822,11.558698,0.940950,0.999170,375.000000,3.275679,26.771009,4.629405,5.916749,-2.265283,-8.633483
2.000000,0.727273,0.272727,0.272727,0.272727,0.424242,0.552158,1.000000,12.000000,0.272727,0.727273,0.272727,0.000000,0.000000,0.000000
3.000000,10.877997,3.711065,1.523191,2.617128,5.370751,0.731009,0.779834,296.000000,4.829272,9.690140,1.592842,2.663239,-0.180005,0.455325
4.000000,2.738595,1.287010,1.090253,1.188631,1.705286,0.484804,0.946531,88.000000,1.213689,2.722571,1.179598,-0.007837,0.094828,0.158046
5.000000,0.333333,0.333333,0.000000,0.166667,0.222222,0.707107,-1.000000,4.000000,0.333333,0.333333,0.000000,0.000000,0.000000,0.000000
6.000000,1.304348,1.208585,0.669306,0.938945,1.060746,0.312101,-0.912703,47.000000,1.254394,0.673451,1.254394,0.033302,0.049954,-0.033302
7.000000,0.800000,0.300000,0.000000,0.150000,0.366667,0.819288,0.416910,6.000000,0.300000,0.800000,0.000000,0.000000,0.000000,0.000000
8.000000,1.262140,0.705882,0.638701,0.672292,0.868908,0.374923,0.956814,35.000000,0.675630,0.675630,1.255462,0.030252,-0.045378,0.045378
9.000000,4.012557,3.103422,2.264419,2.683920,3.126799,0.272602,0.069418,217.000000,3.199351,3.694572,2.486474,-0.240165,-0.181260,0.552313
10.000000,5.916361,2.939498,1.609349,2.274424,3.488403,0.561768,0.606593,237.000000,4.433741,4.239326,1.792140,-1.575949,-0.269506,-0.374008
11.000000,0.800000,0.300000,0.000000,0.150000,0.366667,0.819288,0.416910,6.000000,0.300000,0.000000,0.800000,0.000000,0.000000,0.000000
12.000000,0.703889,0.300000,0.232475,0.266237,0.412121,0.552141,0.921645,11.000000,0.272727,0.272727,0.690909,-0.027273,-0.054545,-0.054545
13.000000,2.222222,0.277778,0.000000,0.138889,0.833333,0.936442,0.941115,10.000000,0.277778,2.222222,0.000000,0.000000,0.000000,0.000000
14.000000,19.943389,6.442892,1.361980,3.902436,9.249420,0.791978,0.694426,577.000000,2.448603,18.693181,6.606477,0.638618,-2.297194,-3.915262
