lesid,axcov,l2,l3,radcov,meancov,covfa,covpl,lesvol,sxx,syy,szz,sxy,sxz,syz
1.000000,0.333333,0.333333,0.000000,0.166667,0.222222,0.707107,-1.000000,4.000000,0.333333,0.000000,0.333333,0.000000,0.000000,0.000000
2.000000,0.500000,0.000000,0.000000,0.000000,0.166667,1.000000,1.000000,2.000000,0.000000,0.500000,0.000000,0.000000,0.000000,0.000000
3.000000,1.000000,0.000000,0.000000,0.000000,0.333333,1.000000,1.000000,3.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000
4.000000,3.164816,0.597880,0.118256,0.358068,1.293651,0.880343,0.904425,21.000000,0.628571,3.090476,0.161905,-0.285714,0.071429,-0.347619
5.000000,2.854058,1.967245,0.636098,1.301671,1.819134,0.548661,-0.338624,84.000000,2.349254,1.963712,1.144435,0.066408,0.927567,-0.054073
6.000000,3.982728,0.688525,0.653708,0.671116,1.774987,0.808863,0.999627,62.000000,0.671867,3.981227,0.671867,0.049974,0.016658,-0.049974
7.000000,82.161287,41.527552,4.450657,22.989104,42.713165,0.730442,0.079175,2590.000000,13.740272,62.784844,51.614380,-22.718878,-2.751142,18.063979
8.000000,238.732996,14.724419,9.450240,12.087330,87.635885,0.947022,0.998173,3842.000000,9.944215,213.239676,39.723764,-10.023747,3.539614,-70.446880
9.000000,0.500000,0.000000,0.000000,0.000000,0.166667,1.000000,1.000000,2.000000,0.000000,0.500000,0.000000,0.000000,0.000000,0.000000
10.000000,77.889654,15.266766,5.669724,10.468245,32.942048,0.853693,0.933061,1938.000000,8.992454,58.386807,31.446883,-0.065759,5.352604,29.965971
11.000000,7.270139,2.661161,1.202324,1.931742,3.711208,0.700201,0.766671,215.000000,2.733754,1.213736,7.186133,-0.031950,0.573136,-0.260943
12.000000,0.285714,0.285714,0.285714,0.285714,0.285714,0.000000,nan,8.000000,0.285714,0.285714,0.285714,0.000000,0.000000,0.000000
13.000000,1.259062,0.264747,0.000000,0.132374,0.507937,0.893661,0.824053,7.000000,0.285714,0.000000,1.238095,0.000000,-0.142857,0.000000
14.000000,0.285714,0.285714,0.285714,0.285714,0.285714,0.000000,nan,8.000000,0.285714,0.285714,0.285714,0.000000,0.000000,0.000000
15.000000,0.333333,0.333333,0.000000,0.166667,0.222222,0.707107,-1.000000,4.000000,0.333333,0.333333,0.000000,0.000000,0.000000,0.000000
16.000000,0.692308,0.692308,0.692308,0.692308,0.692308,0.000000,1.414214,27.000000,0.692308,0.692308,0.692308,0.000000,0.000000,0.000000
17.000000,0.500000,0.000000,0.000000,0.000000,0.166667,1.000000,1.000000,2.000000,0.000000,0.500000,0.000000,0.000000,0.000000,0.000000
18.000000,0.727273,0.272727,0.272727,0.272727,0.424242,0.552158,1.000000,12.000000,0.272727,0.272727,0.727273,0.000000,0.000000,0.000000
19.000000,1.384615,0.692308,0.358974,0.525641,0.811966,0.570242,0.563125,27.000000,0.692308,1.179487,0.564103,0.000000,0.000000,0.410256
20.000000,3.950159,2.473488,0.660191,1.566839,2.361279,0.606340,-0.176092,114.000000,3.682347,2.738472,0.663018,-0.569166,0.060084,0.045412
21.000000,0.285714,0.285714,0.285714,0.285714,0.285714,0.000000,nan,8.000000,0.285714,0.285714,0.285714,0.000000,0.000000,0.000000
22.000000,0.500000,0.000000,0.000000,0.000000,0.166667,1.000000,1.000000,2.000000,0.500000,0.000000,0.000000,0.000000,0.000000,0.000000
23.000000,0.333333,0.333333,0.000000,0.166667,0.222222,0.707107,-1.000000,4.000000,0.333333,0.333333,0.000000,0.000000,0.000000,0.000000
24.000000,1.428571,0.285714,0.000000,0.142857,0.571429,0.898717,0.841698,8.000000,1.428571,0.000000,0.285714,0.000000,0.000000,0.000000
25.000000,0.727273,0.272727,0.272727,0.272727,0.424242,0.552158,1.000000,12.000000,0.727273,0.272727,0.272727,0.000000,0.000000,0.000000
26.000000,4.308714,0.918409,0.634116,0.776263,1.953746,0.795572,0.978289,63.000000,0.931388,2.096774,2.833077,0.634409,0.584997,1.586022
27.000000,10.251049,1.383870,1.029257,1.206563,4.221392,0.870572,0.994820,145.000000,1.056322,1.984483,9.623372,0.155843,-0.294732,-2.255316
28.000000,15.168590,1.006243,0.482675,0.744459,5.552503,0.948826,0.995559,105.000000,0.538095,12.008242,4.111172,-0.771978,-0.342674,5.853022
29.000000,1.666667,0.000000,0.000000,0.000000,0.555556,1.000000,1.000000,4.000000,0.000000,1.666667,0.000000,0.000000,0.000000,0.000000
30.000000,1.226233,0.574956,0.248811,0.411883,0.683333,0.625956,0.538977,20.000000,0.260526,1.200000,0.589474,-0.021053,0.063158,-0.126316
31.000000,11.277100,1.515604,0.635394,1.075499,4.476032,0.897670,0.975072,113.000000,1.920670,9.391435,2.115992,2.405894,-0.499210,-3.273625
32.000000,1.996238,1.411017,0.639327,1.025172,1.348861,0.466526,-0.235296,58.000000,1.747429,1.200544,1.098609,-0.189655,-0.470659,-0.289776
33.000000,1085.717382,122.890443,16.917349,69.903896,408.508391,0.933353,0.963689,8941.000000,39.753335,988.686269,197.085570,-126.950072,-60.358916,261.464973
34.000000,0.285714,0.285714,0.285714,0.285714,0.285714,0.000000,nan,8.000000,0.285714,0.285714,0.285714,0.000000,0.000000,0.000000
35.000000,0.727273,0.272727,0.272727,0.272727,0.424242,0.552158,1.000000,12.000000,0.727273,0.272727,0.272727,0.000000,0.000000,0.000000
36.000000,0.500000,0.000000,0.000000,0.000000,0.166667,1.000000,1.000000,2.000000,0.000000,0.500000,0.000000,0.000000,0.000000,0.000000
