lesid,axcov,l2,l3,radcov,meancov,covfa,covpl,lesvol,sxx,syy,szz,sxy,sxz,syz
1.000000,8.735774,3.816211,2.589832,3.203021,5.047272,0.570307,0.842460,318.000000,5.075224,5.095262,4.971331,1.466609,-1.579291,-2.435212
2.000000,0.333333,0.333333,0.000000,0.166667,0.222222,0.707107,-1.000000,4.000000,0.333333,0.333333,0.000000,0.000000,0.000000,0.000000
3.000000,0.727273,0.272727,0.272727,0.272727,0.424242,0.552158,1.000000,12.000000,0.727273,0.272727,0.272727,0.000000,0.000000,0.000000
4.000000,2.011678,1.195318,0.592023,0.893671,1.266340,0.511267,0.256408,52.000000,0.653092,1.934766,1.211161,-0.181750,0.116139,0.219457
5.000000,0.727273,0.272727,0.272727,0.272727,0.424242,0.552158,1.000000,12.000000,0.272727,0.727273,0.272727,0.000000,0.000000,0.000000
6.000000,0.333333,0.333333,0.000000,0.166667,0.222222,0.707107,-1.000000,4.000000,0.333333,0.333333,0.000000,0.000000,0.000000,0.000000
7.000000,8.251889,2.536199,1.656597,2.096398,4.148229,0.705597,0.932552,215.000000,6.548663,1.831558,4.064464,-0.131276,2.669811,0.332102
8.000000,3.481941,2.407885,2.230642,2.319263,2.706823,0.245085,0.923464,190.000000,2.546255,3.200808,2.373406,-0.331273,-0.151156,0.367948
9.000000,0.333333,0.333333,0.000000,0.166667,0.222222,0.707107,-1.000000,4.000000,0.333333,0.000000,0.333333,0.000000,0.000000,0.000000
10.000000,10.592254,8.174511,3.430480,5.802495,7.399082,0.456860,-0.527916,697.000000,3.968374,9.321913,8.906958,-1.306983,-1.355225,0.926563
11.000000,8.929437,2.913618,2.223163,2.568391,4.688740,0.661926,0.960729,280.000000,3.224258,5.845558,4.996403,-1.808052,-1.085266,2.714990
12.000000,0.333333,0.333333,0.000000,0.166667,0.222222,0.707107,-1.000000,4.000000,0.333333,0.333333,0.000000,0.000000,0.000000,0.000000
13.000000,0.285714,0.285714,0.285714,0.285714,0.285714,0.000000,nan,8.000000,0.285714,0.285714,0.285714,0.000000,0.000000,0.000000
14.000000,93.677395,25.151866,3.101223,14.126544,40.643495,0.843021,0.760453,1341.000000,45.467014,65.017521,11.445949,-30.948785,-18.801831,13.591890
15.000000,0.333333,0.333333,0.000000,0.166667,0.222222,0.707107,-1.000000,4.000000,0.333333,0.333333,0.000000,0.000000,0.000000,0.000000
16.000000,0.500000,0.000000,0.000000,0.000000,0.166667,1.000000,1.000000,2.000000,0.000000,0.000000,0.500000,0.000000,0.000000,0.000000
17.000000,0.333333,0.333333,0.000000,0.166667,0.222222,0.707107,-1.000000,4.000000,0.333333,0.000000,0.333333,0.000000,0.000000,0.000000
18.000000,24.984920,3.940876,1.769421,2.855148,10.231739,0.875921,0.967834,346.000000,4.132898,21.291949,5.270369,1.841032,-0.784100,-8.267236
19.000000,80.199301,6.063762,3.004122,4.533942,29.755728,0.940702,0.994491,1020.000000,3.346056,63.429818,22.491311,-1.684700,1.889969,-31.020191
20.000000,25.800265,2.601395,1.691892,2.146643,10.031184,0.910742,0.995018,443.000000,2.891321,25.067036,2.135195,-3.304066,-0.721122,2.359514
21.000000,0.333333,0.333333,0.000000,0.166667,0.222222,0.707107,-1.000000,4.000000,0.000000,0.333333,0.333333,0.000000,0.000000,0.000000
22.000000,11.560540,2.743446,2.363361,2.553403,5.555782,0.744005,0.994002,352.000000,2.706261,2.505536,11.455549,0.098258,-0.535192,0.816919
23.000000,1.285714,0.685714,0.685714,0.685714,0.885714,0.372572,1.000000,36.000000,0.685714,0.685714,1.285714,0.000000,0.000000,0.000000
24.000000,11.221767,8.626600,2.579146,5.602873,7.475838,0.533882,-0.628775,537.000000,6.055956,7.595042,8.776515,1.934886,-3.550342,1.207142
25.000000,2.051282,1.282051,0.256410,0.769231,1.196581,0.641179,-0.244377,40.000000,2.051282,1.282051,0.256410,0.000000,0.000000,0.000000
26.000000,0.703889,0.300000,0.232475,0.266237,0.412121,0.552141,0.921645,11.000000,0.272727,0.272727,0.690909,-0.027273,0.054545,0.054545
27.000000,5.219041,1.686732,1.137496,1.412114,2.681090,0.684905,0.931275,144.000000,2.559392,4.326146,1.157731,1.539141,-0.045066,0.120435
28.000000,2.001235,0.697674,0.646756,0.672215,1.115222,0.600109,0.995054,44.000000,1.997886,0.673890,0.673890,0.047569,0.047569,-0.023784
