lesid,axcov,l2,l3,radcov,meancov,covfa,covpl,lesvol,sxx,syy,szz,sxy,sxz,syz,neurax,nxnorm,cmx,cmy,cmz
1.0,8.735774,3.816211,2.589832,3.203021,5.047272,0.570307,0.84246,318.0,5.075224,5.095262,4.971331,1.466609,-1.579291,-2.435212,18.925506968193886,0.3921299856558965,-27.181842847357515,32.37919546671648,-16.939402026456037
2.0,0.333333,0.333333,0.0,0.166667,0.222222,0.707107,-1.0,4.0,0.333333,0.333333,0.0,0.0,0.0,0.0,9.779652664699636,0.20263103469688945,-29.32649693540783,1.6056105610561104,-10.801037246581814
3.0,0.727273,0.272727,0.272727,0.272727,0.424242,0.552158,1.0,12.0,0.727273,0.272727,0.272727,0.0,0.0,0.0,6.5906278804618506,0.13655553959913244,-19.82649693540783,52.60561056105611,-2.3010372465818136
4.0,2.011678,1.195318,0.592023,0.893671,1.26634,0.511267,0.256408,52.0,0.653092,1.934766,1.211161,-0.18175,0.116139,0.219457,1.9506215347231874,0.04041620632496497,-18.941881550792445,-15.105927900482357,-4.147191092735653
5.0,0.727273,0.272727,0.272727,0.272727,0.424242,0.552158,1.0,12.0,0.272727,0.727273,0.272727,0.0,0.0,0.0,13.457001562920244,0.2788244372374074,-19.32649693540783,30.10561056105611,15.698962753418186
6.0,0.333333,0.333333,0.0,0.166667,0.222222,0.707107,-1.0,4.0,0.333333,0.333333,0.0,0.0,0.0,0.0,16.697875587575986,0.3459742307376078,-19.32649693540783,32.60561056105611,19.198962753418186
7.0,8.251889,2.536199,1.656597,2.096398,4.148229,0.705597,0.932552,215.0,6.548663,1.831558,4.064464,-0.131276,2.669811,0.332102,5.636221945804312,0.11678057736979149,-13.566031819128767,-15.964156880804353,3.6036139162088716
8.0,3.481941,2.407885,2.230642,2.319263,2.706823,0.245085,0.923464,190.0,2.546255,3.200808,2.373406,-0.331273,-0.151156,0.367948,8.758808787850118,0.18147950118929784,-12.28965483014467,-34.87859996525968,-12.64840566763445
9.0,0.333333,0.333333,0.0,0.166667,0.222222,0.707107,-1.0,4.0,0.333333,0.0,0.333333,0.0,0.0,0.0,33.66960541754721,0.6976226270509502,-14.326496935407832,4.10561056105611,33.698962753418186
10.0,10.592254,8.174511,3.43048,5.802495,7.399082,0.45686,-0.527916,697.0,3.968374,9.321913,8.906958,-1.306983,-1.355225,0.926563,7.550841031118689,0.15645082534373422,-9.248304682897071,51.85166508042484,12.24917796145263
11.0,8.929437,2.913618,2.223163,2.568391,4.68874,0.661926,0.960729,280.0,3.224258,5.845558,4.996403,-1.808052,-1.085266,2.71499,16.527108432948936,0.34243599411298575,-9.115782649693543,-5.912246581801028,15.695391324846753
12.0,0.333333,0.333333,0.0,0.166667,0.222222,0.707107,-1.0,4.0,0.333333,0.333333,0.0,0.0,0.0,0.0,0.04417701508955463,0.0009153325362697311,-9.326496935407832,-15.39438943894389,-1.8010372465818136
13.0,0.285714,0.285714,0.285714,0.285714,0.285714,0.0,,8.0,0.285714,0.285714,0.285714,0.0,0.0,0.0,19.50602575087012,0.40415813487833896,-9.326496935407832,4.60561056105611,19.698962753418186
14.0,93.677395,25.151866,3.101223,14.126544,40.643495,0.843021,0.760453,1341.0,45.467014,65.017521,11.445949,-30.948785,-18.801831,13.59189,18.62219972150384,0.3858455639760028,0.2764113419970897,19.021345087528886,20.571818830972262
15.0,0.333333,0.333333,0.0,0.166667,0.222222,0.707107,-1.0,4.0,0.333333,0.333333,0.0,0.0,0.0,0.0,44.30742558017564,0.9180345967166474,-6.326496935407832,19.60561056105611,46.198962753418186
16.0,0.5,0.0,0.0,0.0,0.166667,1.0,1.0,2.0,0.0,0.0,0.5,0.0,0.0,0.0,0.6346218386096503,0.013149145906059164,-5.826496935407832,-14.89438943894389,-2.3010372465818136
17.0,0.333333,0.333333,0.0,0.166667,0.222222,0.707107,-1.0,4.0,0.333333,0.0,0.333333,0.0,0.0,0.0,11.351791156367764,0.23520520273492213,4.673503064592168,1.1056105610561104,11.698962753418186
18.0,24.98492,3.940876,1.769421,2.855148,10.231739,0.875921,0.967834,346.0,4.132898,21.291949,5.270369,1.841032,-0.7841,-8.267236,11.663060128417584,0.2416545886219238,7.630150463436095,41.51601518533356,16.031332695614708
19.0,80.199301,6.063762,3.004122,4.533942,29.755728,0.940702,0.994491,1020.0,3.346056,63.429818,22.491311,-1.6847,1.889969,-31.020191,13.590776833844977,0.2815962147732477,22.34605208420001,42.00168899242867,18.58033530243779
20.0,25.800265,2.601395,1.691892,2.146643,10.031184,0.910742,0.995018,443.0,2.891321,25.067036,2.135195,-3.304066,-0.721122,2.359514,20.74155003307314,0.42975777244007013,23.164473719219714,8.006287761959044,22.51498984145431
21.0,0.333333,0.333333,0.0,0.166667,0.222222,0.707107,-1.0,4.0,0.0,0.333333,0.333333,0.0,0.0,0.0,19.061550087554004,0.3949487522301775,20.17350306459217,59.60561056105611,25.698962753418186
22.0,11.56054,2.743446,2.363361,2.553403,5.555782,0.744005,0.994002,352.0,2.706261,2.505536,11.455549,0.098258,-0.535192,0.816919,17.464001403362754,0.36184809375538396,25.781457610046715,-6.354616711671156,17.93191729887272
23.0,1.285714,0.685714,0.685714,0.685714,0.885714,0.372572,1.0,36.0,0.685714,0.685714,1.285714,0.0,0.0,0.0,1.040380303899938,0.02155632154692515,26.17350306459217,48.10561056105611,6.698962753418186
24.0,11.221767,8.6266,2.579146,5.602873,7.475838,0.533882,-0.628775,537.0,6.055956,7.595042,8.776515,1.934886,-3.550342,1.207142,1.9331930940610496,0.04005509503751918,31.510560792711345,-15.110404336523032,1.69058286515002
