lesid,axcov,l2,l3,radcov,meancov,covfa,covpl,lesvol,sxx,syy,szz,sxy,sxz,syz
1.000000,267.066617,89.369646,27.551877,58.460761,127.996047,0.761098,0.729201,10685.000000,44.420582,234.491656,105.075902,-28.259959,16.789823,70.388566
2.000000,0.727273,0.272727,0.272727,0.272727,0.424242,0.552158,1.000000,12.000000,0.727273,0.272727,0.272727,0.000000,0.000000,0.000000
3.000000,4.603507,1.561011,1.136795,1.348903,2.433771,0.656088,0.943680,122.000000,1.625322,2.393510,3.282482,0.235944,-0.513345,-1.602764
4.000000,2.045455,0.681818,0.681818,0.681818,1.136364,0.603023,1.000000,45.000000,2.045455,0.681818,0.681818,0.000000,0.000000,0.000000
5.000000,3.040340,2.624005,1.234415,1.929210,2.299586,0.389843,-0.786398,139.000000,2.816703,1.236680,2.845376,0.044834,-0.208789,0.033782
6.000000,215.246142,31.952063,8.893029,20.422546,85.363745,0.899250,0.953415,2531.000000,39.714017,189.096121,27.281096,-55.499799,0.858676,-39.938624
7.000000,0.333333,0.333333,0.000000,0.166667,0.222222,0.707107,-1.000000,4.000000,0.333333,0.333333,0.000000,0.000000,0.000000,0.000000
8.000000,5.453612,2.030753,0.805201,1.417977,2.763189,0.710290,0.716852,117.000000,2.558503,4.854701,0.876363,1.237695,0.094238,0.524683
9.000000,5.045546,0.766025,0.254475,0.510250,2.022015,0.891809,0.957636,48.000000,0.254876,3.474734,2.336436,-0.035904,0.022606,-2.062500
10.000000,3.874540,1.531817,0.778041,1.154929,2.061466,0.659889,0.760495,94.000000,1.034546,3.523221,1.626630,-0.609929,0.119652,0.728666
11.000000,0.692308,0.692308,0.692308,0.692308,0.692308,0.000000,1.414214,27.000000,0.692308,0.692308,0.692308,0.000000,0.000000,0.000000
12.000000,296.480746,199.681635,18.169850,108.925743,171.444077,0.683730,-0.498507,9049.000000,55.438822,296.018345,162.875064,10.547743,-72.897736,3.496565
13.000000,3.947351,1.645599,1.220845,1.433222,2.271265,0.571312,0.906514,124.000000,1.760556,1.227642,3.825597,0.048780,-0.515867,0.024390
14.000000,0.705882,0.705882,0.264706,0.485294,0.558824,0.427179,-1.000000,18.000000,0.264706,0.705882,0.705882,0.000000,0.000000,0.000000
15.000000,0.285714,0.285714,0.285714,0.285714,0.285714,0.000000,nan,8.000000,0.285714,0.285714,0.285714,0.000000,0.000000,0.000000
16.000000,7.262371,2.628280,1.096317,1.862298,3.662323,0.712836,0.749995,169.000000,5.884756,3.488095,1.614117,-1.683608,1.562095,-0.670788
17.000000,24.321375,11.113464,4.836056,7.974760,13.423632,0.633948,0.570904,1414.000000,5.271261,17.060278,17.939355,2.116300,1.924635,6.379661
18.000000,1.304348,1.208585,0.669306,0.938945,1.060746,0.312101,-0.912703,47.000000,1.254394,0.673451,1.254394,0.033302,0.049954,-0.033302
19.000000,0.800000,0.300000,0.000000,0.150000,0.366667,0.819288,0.416910,6.000000,0.000000,0.300000,0.800000,0.000000,0.000000,0.000000
20.000000,0.750000,0.750000,0.000000,0.375000,0.500000,0.707107,-1.000000,9.000000,0.000000,0.750000,0.750000,0.000000,0.000000,0.000000
21.000000,0.727273,0.272727,0.272727,0.272727,0.424242,0.552158,1.000000,12.000000,0.727273,0.272727,0.272727,0.000000,0.000000,0.000000
22.000000,7.922647,3.257934,1.839695,2.548815,4.340092,0.629150,0.781272,305.000000,5.374612,1.877481,5.768184,0.347983,2.324223,0.136756
23.000000,6.831685,4.005604,1.506208,2.755906,4.114499,0.572471,0.106006,289.000000,6.541643,4.146843,1.655012,0.652910,-0.836469,0.050233
24.000000,2.452213,0.489375,0.431518,0.460447,1.124369,0.785172,0.997155,33.000000,2.204545,0.547348,0.621212,-0.315341,-0.579545,0.107008
