lesid,axcov,l2,l3,radcov,meancov,covfa,covpl,lesvol,sxx,syy,szz,sxy,sxz,syz
1.000000,1.263276,1.149845,0.654555,0.902200,1.022559,0.306493,-0.863642,45.000000,1.200000,1.209091,0.658586,-0.054545,0.036364,-0.033333
2.000000,1.363636,0.727273,0.000000,0.363636,0.696970,0.764706,-0.115157,12.000000,1.363636,0.727273,0.000000,0.000000,0.000000,0.000000
3.000000,0.333333,0.333333,0.000000,0.166667,0.222222,0.707107,-1.000000,4.000000,0.333333,0.000000,0.333333,0.000000,0.000000,0.000000
4.000000,2.033898,1.271186,0.677966,0.974576,1.327684,0.472357,0.214453,60.000000,0.677966,1.271186,2.033898,0.000000,0.000000,0.000000
5.000000,29.371789,11.651935,4.319658,7.985797,15.114461,0.699501,0.647964,1474.000000,18.723080,15.096466,11.523837,5.188618,8.090641,7.781798
6.000000,2.222222,0.277778,0.000000,0.138889,0.833333,0.936442,0.941115,10.000000,0.277778,2.222222,0.000000,0.000000,0.000000,0.000000
7.000000,154.551362,53.170681,10.488905,31.829793,72.736983,0.782567,0.638948,3899.000000,13.618214,124.497250,80.095485,-18.171832,-3.682670,44.918812
8.000000,20.564685,17.229623,10.129157,13.679390,15.974488,0.321912,-0.577902,2624.000000,15.980842,15.355232,16.587391,-2.579047,-1.340044,-4.424907
9.000000,9.922622,5.010132,1.224455,3.117293,5.385736,0.675479,0.222096,338.000000,1.233658,9.876749,5.046802,0.150519,0.150097,-0.461775
10.000000,2.124876,1.963167,1.431495,1.697331,1.839846,0.194666,-0.781136,109.000000,1.835712,1.906048,1.777778,0.126572,0.314815,-0.111111
11.000000,1.976189,1.841866,0.598498,1.220182,1.472185,0.475500,-0.964936,67.000000,0.621891,1.938489,1.856174,-0.033921,0.169607,-0.056083
12.000000,0.727273,0.272727,0.272727,0.272727,0.424242,0.552158,1.000000,12.000000,0.727273,0.272727,0.272727,0.000000,0.000000,0.000000
13.000000,1.285714,0.685714,0.685714,0.685714,0.885714,0.372572,1.000000,36.000000,0.685714,1.285714,0.685714,0.000000,0.000000,0.000000
14.000000,268.486131,23.546439,2.887049,13.216744,98.306539,0.949407,0.978047,2157.000000,4.638579,258.276536,32.004503,18.008049,-6.395569,-45.632292
15.000000,0.285714,0.285714,0.285714,0.285714,0.285714,0.000000,nan,8.000000,0.285714,0.285714,0.285714,0.000000,0.000000,0.000000
16.000000,0.705882,0.705882,0.264706,0.485294,0.558824,0.427179,-1.000000,18.000000,0.705882,0.705882,0.264706,0.000000,0.000000,0.000000
17.000000,0.333333,0.333333,0.000000,0.166667,0.222222,0.707107,-1.000000,4.000000,0.000000,0.333333,0.333333,0.000000,0.000000,0.000000
18.000000,2.105263,0.263158,0.263158,0.263158,0.877193,0.861640,1.000000,20.000000,0.263158,2.105263,0.263158,0.000000,0.000000,0.000000
19.000000,4.666667,0.000000,0.000000,0.000000,1.555556,1.000000,1.000000,7.000000,0.000000,4.666667,0.000000,0.000000,0.000000,0.000000
20.000000,70.688164,3.015239,1.034635,2.024937,24.912679,0.970670,0.997194,322.000000,1.466845,42.935440,30.335752,3.020917,3.197152,33.184497
21.000000,27.980247,2.855131,1.709625,2.282378,10.848334,0.912680,0.993308,258.000000,1.937200,26.520209,4.087594,2.365216,-0.465750,-5.411275
22.000000,20.593978,10.253842,5.938202,8.096022,12.262007,0.549035,0.643494,1430.000000,13.131930,15.684764,7.969329,4.589274,-3.821795,-2.367568
23.000000,0.333333,0.333333,0.000000,0.166667,0.222222,0.707107,-1.000000,4.000000,0.333333,0.333333,0.000000,0.000000,0.000000,0.000000
24.000000,123.196576,18.031538,4.284679,11.158108,48.504264,0.904372,0.949992,2132.000000,23.304342,56.379612,65.828838,31.467578,26.696761,45.054695
25.000000,163.778383,65.266014,33.709555,49.487784,87.584651,0.654675,0.762177,12187.000000,56.942792,157.461942,48.349218,-25.224761,-13.875466,-9.677797
26.000000,2.871776,1.227733,0.651130,0.939432,1.583546,0.625579,0.725760,69.000000,0.659847,2.870844,1.219949,0.023018,-0.069054,0.034527
27.000000,1.363636,0.727273,0.000000,0.363636,0.696970,0.764706,-0.115157,12.000000,0.000000,1.363636,0.727273,0.000000,0.000000,0.000000
28.000000,0.285714,0.285714,0.285714,0.285714,0.285714,0.000000,nan,8.000000,0.285714,0.285714,0.285714,0.000000,0.000000,0.000000
29.000000,12.104841,5.910084,4.266922,5.088503,7.427282,0.506658,0.825164,657.000000,5.207906,8.602698,8.471243,1.526291,-1.958350,-2.687270
30.000000,1.880906,1.114243,0.602890,0.858566,1.199346,0.491288,0.337717,52.000000,1.114253,1.837104,0.646682,0.180995,0.145928,0.001508
31.000000,2.185457,1.804300,1.459444,1.631872,1.816400,0.197321,0.086473,109.000000,1.830275,1.842508,1.776419,0.203194,0.298335,0.018858
