lesid,axcov,l2,l3,radcov,meancov,covfa,covpl,lesvol,sxx,syy,szz,sxy,sxz,syz,neurax,nxnorm,cmx,cmy,cmz
1.0,0.333333,0.333333,0.0,0.166667,0.222222,0.707107,-1.0,4.0,0.333333,0.333333,0.0,0.0,0.0,0.0,4.936476882149654,0.08729624704544474,-58.98660848630756,-4.060637977730963,4.477881432440569
2.0,0.75,0.75,0.0,0.375,0.5,0.707107,-1.0,9.0,0.75,0.75,0.0,0.0,0.0,0.0,8.7020892305466,0.15388702295522474,-50.48660848630756,1.4393620222690373,9.477881432440569
3.0,0.8,0.3,0.0,0.15,0.366667,0.819288,0.41691,6.0,0.8,0.3,0.0,0.0,0.0,0.0,9.142114681312677,0.16166839646783226,-48.48660848630756,-19.060637977730963,5.477881432440569
4.0,0.727273,0.272727,0.272727,0.272727,0.424242,0.552158,1.0,12.0,0.272727,0.272727,0.727273,0.0,0.0,0.0,4.532534450821514,0.08015296265068358,-48.98660848630756,11.939362022269037,7.477881432440569
5.0,0.333333,0.333333,0.190476,0.261905,0.285714,0.280976,-1.0,7.0,0.285714,0.285714,0.285714,0.047619,0.047619,-0.047619,4.375530708162831,0.07737652150988693,-43.91517991487899,37.867933450840454,12.906452861011985
6.0,2.05123,1.23925,0.5564,0.897825,1.282293,0.526843,0.148942,53.0,2.015965,1.20537,0.625544,-0.150218,0.140058,0.17344,10.808902839442071,0.1911437397740332,-38.430004712722656,19.043135607174705,15.383541809799055
7.0,1.304348,0.695652,0.26087,0.478261,0.753623,0.604791,0.283833,24.0,0.26087,0.695652,1.304348,0.0,0.0,0.0,26.271953596930512,0.46459104464911355,-37.98660848630756,-1.5606379777309627,-27.02211856755943
8.0,5.829122,2.309853,1.38447,1.847162,3.174482,0.632569,0.82769,179.0,2.31128,4.92863,2.283535,0.443287,-0.555709,-1.638943,31.92373564840126,0.564536688878962,-36.07320066507851,21.562267050201996,-27.807034768676743
9.0,0.8,0.3,0.0,0.15,0.366667,0.819288,0.41691,6.0,0.0,0.8,0.3,0.0,0.0,0.0,17.688185147555174,0.3127963965576476,-34.48660848630756,-23.560637977730963,-23.02211856755943
10.0,13.184129,4.995759,2.738706,3.867232,6.972865,0.662822,0.813648,546.0,5.857274,5.591478,9.469842,-1.263696,4.578899,-1.717949,6.503700372061189,0.1150108970310362,-29.55803705773613,-34.963568380661364,-14.073400618841475
