lesid,axcov,l2,l3,radcov,meancov,covfa,covpl,lesvol,sxx,syy,szz,sxy,sxz,syz
1.000000,0.333333,0.333333,0.000000,0.166667,0.222222,0.707107,-1.000000,4.000000,0.333333,0.000000,0.333333,0.000000,0.000000,0.000000
2.000000,2.510955,1.426014,0.501343,0.963678,1.479437,0.594446,0.137599,56.000000,1.735065,2.075000,0.628247,0.490909,0.392208,0.211364
3.000000,5.600000,0.266667,0.000000,0.133333,1.955556,0.975955,0.991989,16.000000,5.600000,0.000000,0.266667,0.000000,0.000000,0.000000
4.000000,236.937216,122.983629,15.071494,69.027561,124.997446,0.718700,0.047143,6329.000000,44.074835,169.426198,161.491307,-16.390505,48.896154,68.720931
5.000000,0.727273,0.272727,0.272727,0.272727,0.424242,0.552158,1.000000,12.000000,0.727273,0.272727,0.272727,0.000000,0.000000,0.000000
6.000000,17.089874,2.044161,1.082449,1.563305,6.738828,0.901610,0.987104,218.000000,5.505348,11.153849,3.557287,5.635564,-2.906946,-4.981102
7.000000,1.241183,1.219889,0.552342,0.886116,1.004472,0.371576,-0.996676,41.000000,1.206098,1.187805,0.619512,0.042073,0.136585,-0.147561
8.000000,1.500000,0.307692,0.219780,0.263736,0.675824,0.800689,0.983025,14.000000,0.263736,1.500000,0.263736,0.000000,-0.043956,0.000000
9.000000,5.152407,0.673680,0.000000,0.336840,1.942029,0.933513,0.935297,23.000000,0.679842,5.146245,0.000000,-0.166008,0.000000,0.000000
10.000000,3.444625,1.969488,1.119710,1.544599,2.177941,0.494211,0.445916,120.000000,1.596359,3.226611,1.710854,-0.101120,0.484174,-0.557843
11.000000,1.276596,1.276596,0.680851,0.978723,1.078014,0.308757,-1.000000,48.000000,1.276596,1.276596,0.680851,0.000000,0.000000,0.000000
12.000000,0.500000,0.000000,0.000000,0.000000,0.166667,1.000000,1.000000,2.000000,0.000000,0.000000,0.500000,0.000000,0.000000,0.000000
13.000000,544.863217,50.273108,32.396333,41.334721,209.177553,0.919054,0.995752,4009.000000,67.871064,487.405200,72.256394,-87.713726,-26.792110,134.607776
14.000000,0.800000,0.300000,0.000000,0.150000,0.366667,0.819288,0.416910,6.000000,0.300000,0.800000,0.000000,0.000000,0.000000,0.000000
15.000000,2.686290,1.259152,1.070700,1.164926,1.672047,0.485120,0.949047,86.000000,1.192886,2.605746,1.217510,0.276060,-0.052531,0.217784
16.000000,0.727273,0.272727,0.272727,0.272727,0.424242,0.552158,1.000000,12.000000,0.272727,0.727273,0.272727,0.000000,0.000000,0.000000
17.000000,1.512400,0.954633,0.000000,0.477317,0.822344,0.740696,-0.435933,14.000000,1.324176,1.142857,0.000000,0.263736,0.000000,0.000000
18.000000,8.815421,1.456601,0.163555,0.810078,3.478526,0.904530,0.914331,65.000000,1.586538,8.621635,0.227404,0.965144,0.108173,0.732212
19.000000,0.705882,0.705882,0.264706,0.485294,0.558824,0.427179,-1.000000,18.000000,0.705882,0.705882,0.264706,0.000000,0.000000,0.000000
20.000000,0.500000,0.000000,0.000000,0.000000,0.166667,1.000000,1.000000,2.000000,0.000000,0.500000,0.000000,0.000000,0.000000,0.000000
21.000000,10.165451,1.414789,0.748513,1.081651,4.109584,0.884499,0.981946,114.000000,1.269446,7.568468,3.490840,0.805077,-0.884257,-3.997438
22.000000,0.333333,0.333333,0.000000,0.166667,0.222222,0.707107,-1.000000,4.000000,0.333333,0.333333,0.000000,0.000000,0.000000,0.000000
23.000000,0.333333,0.333333,0.000000,0.166667,0.222222,0.707107,-1.000000,4.000000,0.333333,0.333333,0.000000,0.000000,0.000000,0.000000
24.000000,25.604371,6.438792,3.874300,5.156546,11.972488,0.770793,0.947788,768.000000,4.738495,20.189603,10.989364,1.104399,0.741459,-8.879008
25.000000,1.962143,1.267170,0.932153,1.099661,1.387155,0.361836,0.562404,67.000000,1.744912,1.163275,1.253279,0.395296,-0.142469,0.037992
26.000000,0.333333,0.333333,0.000000,0.166667,0.222222,0.707107,-1.000000,4.000000,0.333333,0.000000,0.333333,0.000000,0.000000,0.000000
27.000000,287.429440,57.721647,18.174674,37.948161,121.108587,0.857319,0.917407,7749.000000,43.056006,140.081095,180.188660,-20.096984,-53.546291,113.558611
28.000000,7.891527,2.516848,1.136621,1.826734,3.848332,0.739341,0.834380,214.000000,1.185205,3.247422,7.112369,0.152297,-0.264183,1.894783
29.000000,7.633224,2.699733,1.048499,1.874116,3.793819,0.726831,0.745077,208.000000,3.472222,6.718692,1.190543,1.917874,0.216184,-0.542921
30.000000,0.285714,0.285714,0.285714,0.285714,0.285714,0.000000,nan,8.000000,0.285714,0.285714,0.285714,0.000000,0.000000,0.000000
31.000000,0.333333,0.333333,0.000000,0.166667,0.222222,0.707107,-1.000000,4.000000,0.000000,0.333333,0.333333,0.000000,0.000000,0.000000
