lesid,axcov,l2,l3,radcov,meancov,covfa,covpl,lesvol,sxx,syy,szz,sxy,sxz,syz
1.000000,5.392387,2.021337,1.556760,1.789049,2.990162,0.607784,0.944874,188.018982,3.290686,3.995534,1.684264,-1.587030,0.389845,-0.555069
2.000000,0.727273,0.272782,0.272727,0.272755,0.424261,0.552112,1.000000,12.001212,0.272782,0.272727,0.727273,0.000000,0.000000,0.000000
3.000000,4.083484,2.419514,1.430351,1.924933,2.644450,0.468465,0.423595,164.016559,2.647699,3.378872,1.906778,-0.940691,0.208909,0.572198
4.000000,1.266860,0.673073,0.257950,0.465511,0.732627,0.602577,0.300922,23.002322,1.257171,0.260870,0.679842,-0.035577,-0.071153,-0.023715
5.000000,0.727273,0.272782,0.272727,0.272755,0.424261,0.552112,1.000000,12.001212,0.272782,0.727273,0.272727,0.000000,0.000000,0.000000
6.000000,0.333401,0.333333,0.000000,0.166667,0.222245,0.707107,-1.000000,4.000404,0.333401,0.000000,0.333333,0.000000,0.000000,0.000000
7.000000,0.706025,0.705882,0.264706,0.485294,0.558871,0.427208,-1.000000,18.001817,0.706025,0.264706,0.705882,0.000000,0.000000,0.000000
8.000000,7.655462,1.197051,1.046500,1.121775,3.299671,0.835801,0.998209,137.013833,1.171447,7.613783,1.113783,0.055985,0.061674,0.518570
9.000000,0.727420,0.272727,0.272727,0.272727,0.424291,0.552249,1.000000,12.001212,0.727420,0.272727,0.272727,0.000000,0.000000,0.000000
10.000000,6.874539,1.977249,0.546975,1.262112,3.132921,0.801142,0.795085,118.011914,3.344801,5.468057,0.585905,-2.220418,-0.290410,0.063885
11.000000,0.727273,0.272782,0.272727,0.272755,0.424261,0.552112,1.000000,12.001212,0.272782,0.727273,0.272727,0.000000,0.000000,0.000000
12.000000,2.003754,1.251377,0.669878,0.960628,1.308336,0.471718,0.219677,59.005957,1.999235,1.253653,0.672122,-0.052606,-0.035071,-0.026300
13.000000,12.341604,3.656966,0.805874,2.231420,5.601481,0.806944,0.752731,258.026050,1.079517,6.157572,9.567354,0.602782,0.603325,-4.139324
14.000000,2.879381,1.286770,1.211473,1.249122,1.792541,0.482925,0.992817,94.009491,1.241157,2.873484,1.262983,-0.082369,-0.032948,-0.054907
15.000000,24.326003,8.704690,5.839628,7.272159,12.956774,0.650605,0.907527,1157.116823,6.860481,10.433976,21.575864,0.191194,2.718217,-5.715104
16.000000,8.723217,7.767756,3.230126,5.498941,6.573700,0.419443,-0.882082,591.059673,4.516843,8.587634,6.616622,-0.320214,2.081076,-0.187654
