lesid,axcov,l2,l3,radcov,meancov,covfa,covpl,lesvol,sxx,syy,szz,sxy,sxz,syz,neurax,nxnorm,cmx,cmy,cmz
1.0,1.367651,1.139631,0.252488,0.69606,0.919923,0.567527,-0.834136,30.0,1.288506,0.257471,1.213793,-0.036782,0.110345,0.055172,2.3432178120432736,0.039600513863058996,-68.81585339405768,5.885664714812407,-1.1059206245933808
2.0,0.333333,0.333333,0.0,0.166667,0.222222,0.707107,-1.0,4.0,0.333333,0.333333,0.0,0.0,0.0,0.0,2.7818070965413257,0.04701269763517241,-67.74918672739102,1.9189980481457383,3.294079375406625
3.0,0.285714,0.285714,0.285714,0.285714,0.285714,0.0,,8.0,0.285714,0.285714,0.285714,0.0,0.0,0.0,36.12735303476768,0.6105543143859147,-67.74918672739102,7.918998048145738,-35.205920624593375
4.0,2.825545,0.925709,0.710464,0.818087,1.487239,0.659496,0.961668,59.0,2.324956,1.089421,1.047341,0.478667,0.733197,0.247808,31.18425402793096,0.5270156609407968,-65.19833926976389,-1.8352392399898605,-32.21439520086457
5.0,51.066187,2.283498,1.218774,1.751136,18.189486,0.964639,0.998428,487.0,2.517513,50.485335,1.565611,4.952206,0.266535,-1.962959,39.971727382239806,0.6755244587998932,-59.421671326980345,7.809141785312065,-39.163826168741224
6.0,0.8,0.3,0.0,0.15,0.366667,0.819288,0.41691,6.0,0.3,0.0,0.8,0.0,0.0,0.0,8.71912255139721,0.14735366541500966,-60.74918672739102,43.41899804814574,0.2940793754066249
7.0,2.142857,0.714286,0.0,0.357143,0.952381,0.83666,0.539949,15.0,2.142857,0.714286,0.0,0.0,0.0,0.0,4.141054798171999,0.06998406084993894,-57.24918672739102,-23.58100195185426,-0.7059206245933751
8.0,0.333333,0.333333,0.0,0.166667,0.222222,0.707107,-1.0,4.0,0.333333,0.333333,0.0,0.0,0.0,0.0,29.607770443631424,0.5003729989935916,-56.74918672739102,11.918998048145738,-27.705920624593375
9.0,0.5,0.0,0.0,0.0,0.166667,1.0,1.0,2.0,0.0,0.5,0.0,0.0,0.0,0.0,2.2757407739466577,0.038460148093880625,-57.24918672739102,35.91899804814574,5.294079375406625
10.0,0.333333,0.333333,0.0,0.166667,0.222222,0.707107,-1.0,4.0,0.0,0.333333,0.333333,0.0,0.0,0.0,4.810589360326437,0.08129923290698043,-44.24918672739102,41.91899804814574,13.794079375406625
11.0,1.363636,0.727273,0.0,0.363636,0.69697,0.764706,-0.115157,12.0,0.727273,1.363636,0.0,0.0,0.0,0.0,1.3339114064598458,0.02254317839003783,-41.24918672739102,46.91899804814574,11.294079375406625
12.0,0.333333,0.333333,0.0,0.166667,0.222222,0.707107,-1.0,4.0,0.333333,0.333333,0.0,0.0,0.0,0.0,16.081848937385693,0.27178415873906037,-41.74918672739102,64.91899804814574,-2.705920624593375
13.0,1.23677,0.616044,0.261905,0.438974,0.704906,0.607772,0.45268,22.0,1.194805,0.658009,0.261905,0.155844,0.0,0.0,19.678655911412182,0.332570400506948,-35.88555036375466,70.50990713905483,-5.205920624593375
14.0,0.333333,0.333333,0.0,0.166667,0.222222,0.707107,-1.0,4.0,0.333333,0.333333,0.0,0.0,0.0,0.0,25.821837783260996,0.4363905224047535,-34.74918672739102,-11.081001951854262,-28.705920624593375
15.0,0.727273,0.272727,0.272727,0.272727,0.424242,0.552158,1.0,12.0,0.272727,0.727273,0.272727,0.0,0.0,0.0,1.633450757193824,0.0276054103986487,-33.74918672739102,68.41899804814574,12.794079375406625
16.0,3.919949,1.949235,0.253731,1.101483,2.040972,0.724716,0.129573,68.0,3.902546,1.966637,0.253731,0.184372,0.0,0.0,6.796844616825602,0.11486705934475436,-31.337422021508672,74.4778215775575,8.794079375406625
17.0,0.333333,0.333333,0.0,0.166667,0.222222,0.707107,-1.0,4.0,0.333333,0.333333,0.0,0.0,0.0,0.0,21.935259952963236,0.3707071367384611,-30.74918672739102,45.91899804814574,-12.705920624593375
18.0,0.333333,0.333333,0.0,0.166667,0.222222,0.707107,-1.0,4.0,0.333333,0.333333,0.0,0.0,0.0,0.0,4.733401036536163,0.07999474585903604,-30.74918672739102,58.91899804814574,17.294079375406625
19.0,0.333333,0.333333,0.0,0.166667,0.222222,0.707107,-1.0,4.0,0.333333,0.333333,0.0,0.0,0.0,0.0,13.659807539907828,0.23085152181356325,-29.74918672739102,76.91899804814574,2.294079375406625
20.0,0.333333,0.333333,0.0,0.166667,0.222222,0.707107,-1.0,4.0,0.333333,0.333333,0.0,0.0,0.0,0.0,20.139391815248896,0.3403568634014004,-28.74918672739102,60.91899804814574,-7.705920624593375
