lesid,axcov,l2,l3,radcov,meancov,covfa,covpl,lesvol,sxx,syy,szz,sxy,sxz,syz
1.000000,0.333333,0.333333,0.000000,0.166667,0.222222,0.707107,-1.000000,4.000000,0.333333,0.333333,0.000000,0.000000,0.000000,0.000000
2.000000,0.285714,0.285714,0.285714,0.285714,0.285714,0.000000,nan,8.000000,0.285714,0.285714,0.285714,0.000000,0.000000,0.000000
3.000000,0.500000,0.000000,0.000000,0.000000,0.166667,1.000000,1.000000,2.000000,0.500000,0.000000,0.000000,0.000000,0.000000,0.000000
4.000000,0.333333,0.333333,0.000000,0.166667,0.222222,0.707107,-1.000000,4.000000,0.000000,0.333333,0.333333,0.000000,0.000000,0.000000
5.000000,4.396936,2.835292,1.707201,2.271247,2.979810,0.425097,0.274803,196.000000,1.772135,3.070513,4.096782,0.062088,0.391811,0.556593
6.000000,0.500000,0.000000,0.000000,0.000000,0.166667,1.000000,1.000000,2.000000,0.000000,0.500000,0.000000,0.000000,0.000000,0.000000
7.000000,2.898509,1.210163,1.035025,1.122594,1.714566,0.538950,0.967512,83.000000,2.807817,1.120482,1.215398,0.389215,-0.091537,-0.021011
8.000000,0.727273,0.272727,0.272727,0.272727,0.424242,0.552158,1.000000,12.000000,0.272727,0.727273,0.272727,0.000000,0.000000,0.000000
9.000000,0.500000,0.000000,0.000000,0.000000,0.166667,1.000000,1.000000,2.000000,0.000000,0.000000,0.500000,0.000000,0.000000,0.000000
10.000000,4.106007,1.575481,1.131275,1.353378,2.270921,0.612056,0.914484,118.000000,1.156961,2.968275,2.687527,-0.206577,0.099522,-1.253803
11.000000,1.000000,0.000000,0.000000,0.000000,0.333333,1.000000,1.000000,3.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
12.000000,1.363636,0.727273,0.000000,0.363636,0.696970,0.764706,-0.115157,12.000000,0.727273,0.000000,1.363636,0.000000,0.000000,0.000000
