lesid,axcov,l2,l3,radcov,meancov,covfa,covpl,lesvol,sxx,syy,szz,sxy,sxz,syz
1.000000,0.500000,0.000000,0.000000,0.000000,0.166667,1.000000,1.000000,2.000000,0.500000,0.000000,0.000000,0.000000,0.000000,0.000000
2.000000,1.285714,0.685714,0.685714,0.685714,0.885714,0.372572,1.000000,36.000000,1.285714,0.685714,0.685714,0.000000,0.000000,0.000000
3.000000,2.879967,1.618489,0.669424,1.143956,1.722627,0.569831,0.241826,80.000000,1.859335,2.637816,0.670728,0.496994,0.023259,-0.028956
4.000000,9.826404,4.067282,1.480768,2.774025,5.124818,0.689134,0.603724,325.000000,2.127255,3.776201,9.470997,-0.752327,1.547341,0.666505
5.000000,0.800000,0.300000,0.000000,0.150000,0.366667,0.819288,0.416910,6.000000,0.800000,0.300000,0.000000,0.000000,0.000000,0.000000
6.000000,0.333333,0.333333,0.000000,0.166667,0.222222,0.707107,-1.000000,4.000000,0.333333,0.000000,0.333333,0.000000,0.000000,0.000000
7.000000,0.750000,0.750000,0.000000,0.375000,0.500000,0.707107,-1.000000,9.000000,0.750000,0.000000,0.750000,0.000000,0.000000,0.000000
8.000000,2.756533,1.156400,0.646740,0.901570,1.519891,0.623441,0.764325,66.000000,0.661305,1.201865,2.696503,0.055012,0.102098,-0.295105
9.000000,1.836763,0.675000,0.643115,0.659058,1.051626,0.571905,0.997528,41.000000,0.669512,1.810976,0.674390,0.164634,0.001829,-0.054878
10.000000,11.548034,5.197219,1.864664,3.530941,6.203306,0.665673,0.509114,399.000000,5.752157,10.440599,2.417161,-2.289367,-0.518816,-1.563381
11.000000,0.333333,0.333333,0.000000,0.166667,0.222222,0.707107,-1.000000,4.000000,0.333333,0.333333,0.000000,0.000000,0.000000,0.000000
12.000000,29.024203,4.879652,1.999093,3.439373,11.967649,0.871414,0.957787,488.000000,2.189854,18.514626,15.198468,-0.933046,1.467937,-11.949490
13.000000,69.390702,1.307619,0.788731,1.048175,23.829017,0.984677,0.999805,324.000000,1.354537,68.761610,1.370905,5.331957,0.529431,3.748882
14.000000,0.285714,0.285714,0.285714,0.285714,0.285714,0.000000,nan,8.000000,0.285714,0.285714,0.285714,0.000000,0.000000,0.000000
15.000000,0.727273,0.272727,0.272727,0.272727,0.424242,0.552158,1.000000,12.000000,0.272727,0.727273,0.272727,0.000000,0.000000,0.000000
16.000000,0.285714,0.285714,0.285714,0.285714,0.285714,0.000000,nan,8.000000,0.285714,0.285714,0.285714,0.000000,0.000000,0.000000
17.000000,0.285714,0.285714,0.285714,0.285714,0.285714,0.000000,nan,8.000000,0.285714,0.285714,0.285714,0.000000,0.000000,0.000000
18.000000,15.797871,2.497753,1.841332,2.169542,6.712319,0.847229,0.992189,258.000000,3.072965,2.865563,14.198428,0.518988,3.813350,2.272675
19.000000,16.655373,6.984308,2.343535,4.663921,8.661072,0.694437,0.565155,627.000000,9.754014,12.956469,3.272732,4.641801,2.549607,0.964074
20.000000,7.948599,0.989335,0.716271,0.852803,3.218069,0.882844,0.995010,107.000000,1.053959,7.579439,1.020808,0.879475,-0.281785,-1.297214
21.000000,2.628129,0.663859,0.602961,0.633410,1.298316,0.718569,0.996857,45.000000,0.663636,2.572727,0.658586,-0.004545,0.003030,0.330303
22.000000,0.500000,0.000000,0.000000,0.000000,0.166667,1.000000,1.000000,2.000000,0.000000,0.000000,0.500000,0.000000,0.000000,0.000000
23.000000,10.600645,5.923706,3.194633,4.559169,6.572995,0.516644,0.436851,555.000000,8.075910,3.458874,8.184200,0.222217,-2.344814,-1.097570
24.000000,1.290323,1.290323,1.179724,1.235023,1.253456,0.050899,-1.000000,63.000000,1.253456,1.253456,1.253456,-0.036866,-0.036866,-0.036866
25.000000,0.285714,0.285714,0.285714,0.285714,0.285714,0.000000,nan,8.000000,0.285714,0.285714,0.285714,0.000000,0.000000,0.000000
26.000000,0.285714,0.285714,0.285714,0.285714,0.285714,0.000000,nan,8.000000,0.285714,0.285714,0.285714,0.000000,0.000000,0.000000
27.000000,0.285714,0.285714,0.285714,0.285714,0.285714,0.000000,nan,8.000000,0.285714,0.285714,0.285714,0.000000,0.000000,0.000000
28.000000,2.635231,1.719536,1.003638,1.361587,1.786135,0.428886,0.210167,98.000000,1.113402,1.791395,2.453608,0.116348,-0.391753,-0.229750
29.000000,2.020202,2.020202,1.262626,1.641414,1.767677,0.242536,-1.000000,100.000000,2.020202,1.262626,2.020202,0.000000,0.000000,0.000000
30.000000,9.411635,3.546372,1.131031,2.338702,4.696346,0.728757,0.650441,241.000000,2.114592,3.090111,8.884336,0.821075,-1.876591,0.738797
31.000000,0.705882,0.705882,0.264706,0.485294,0.558824,0.427179,-1.000000,18.000000,0.264706,0.705882,0.705882,0.000000,0.000000,0.000000
32.000000,3.000000,0.685714,0.257143,0.471429,1.314286,0.827587,0.905928,36.000000,0.257143,3.000000,0.685714,0.000000,0.000000,0.000000
33.000000,0.285714,0.285714,0.285714,0.285714,0.285714,0.000000,nan,8.000000,0.285714,0.285714,0.285714,0.000000,0.000000,0.000000
34.000000,0.727273,0.272727,0.272727,0.272727,0.424242,0.552158,1.000000,12.000000,0.272727,0.272727,0.727273,0.000000,0.000000,0.000000
35.000000,0.727273,0.272727,0.272727,0.272727,0.424242,0.552158,1.000000,12.000000,0.727273,0.272727,0.272727,0.000000,0.000000,0.000000
36.000000,0.285714,0.285714,0.285714,0.285714,0.285714,0.000000,nan,8.000000,0.285714,0.285714,0.285714,0.000000,0.000000,0.000000
