lesid,axcov,l2,l3,radcov,meancov,covfa,covpl,lesvol,sxx,syy,szz,sxy,sxz,syz
1.000000,0.500000,0.000000,0.000000,0.000000,0.166667,1.000000,1.000000,1.999370,0.000000,0.000000,0.500000,0.000000,0.000000,0.000000
2.000000,0.800000,0.299811,0.000000,0.149906,0.366604,0.819383,0.417638,5.998110,0.299811,0.800000,0.000000,0.000000,0.000000,0.000000
3.000000,0.333333,0.333123,0.000000,0.166562,0.222152,0.707107,-0.999999,3.998740,0.333123,0.333333,0.000000,0.000000,0.000000,0.000000
4.000000,0.799496,0.300000,0.000000,0.150000,0.366499,0.819193,0.416180,5.998110,0.799496,0.300000,0.000000,0.000000,0.000000,0.000000
5.000000,0.499685,0.000000,0.000000,0.000000,0.166562,1.000000,1.000000,1.999370,0.499685,0.000000,0.000000,0.000000,0.000000,0.000000
6.000000,0.799496,0.300000,0.000000,0.150000,0.366499,0.819193,0.416180,5.998110,0.799496,0.300000,0.000000,0.000000,0.000000,0.000000
7.000000,0.285714,0.285714,0.285534,0.285624,0.285654,0.000364,-1.000000,7.997480,0.285534,0.285714,0.285714,0.000000,0.000000,0.000000
8.000000,31.936038,0.941441,0.298284,0.619862,11.058588,0.980277,0.998577,117.962829,0.967375,31.755251,0.453136,0.994472,-0.132509,-2.160510
9.000000,34.102564,0.256249,0.000000,0.128124,11.452938,0.996236,0.999808,39.987400,0.256249,34.102564,0.000000,0.000000,0.000000,0.000000
10.000000,0.800000,0.299811,0.000000,0.149906,0.366604,0.819383,0.417638,5.998110,0.299811,0.800000,0.000000,0.000000,0.000000,0.000000
11.000000,0.703883,0.299906,0.232403,0.266154,0.412064,0.552275,0.921724,10.996535,0.272555,0.690909,0.272727,0.054528,0.027264,-0.054545
12.000000,10.725677,0.782633,0.638889,0.710761,4.049066,0.929690,0.999305,98.968814,1.942705,8.700886,1.503608,-3.063557,-0.953111,2.620388
13.000000,3.149342,0.378267,0.038665,0.208466,1.188758,0.931698,0.955625,9.996850,0.621830,2.766667,0.177778,-0.799748,0.266583,-0.533333
14.000000,3.860165,1.039774,0.372993,0.706383,1.757644,0.798536,0.856020,51.983619,3.700156,1.069005,0.503771,0.427090,-0.524722,-0.242836
15.000000,1.428122,1.085372,0.000000,0.542686,0.837831,0.719900,-0.767531,14.995275,1.256351,0.000000,1.257143,0.000000,-0.171375,0.000000
16.000000,0.499685,0.000000,0.000000,0.000000,0.166562,1.000000,1.000000,1.999370,0.499685,0.000000,0.000000,0.000000,0.000000,0.000000
17.000000,0.285714,0.285714,0.285534,0.285624,0.285654,0.000364,-1.000000,7.997480,0.285534,0.285714,0.285714,0.000000,0.000000,0.000000
