lesid,axcov,l2,l3,radcov,meancov,covfa,covpl,lesvol,sxx,syy,szz,sxy,sxz,syz
1.000000,2.888039,0.272727,0.246348,0.259538,1.135705,0.902887,0.999660,23.000000,0.260870,2.885375,0.260870,-0.059289,-0.011858,-0.059289
2.000000,0.692308,0.692308,0.692308,0.692308,0.692308,0.000000,1.414214,27.000000,0.692308,0.692308,0.692308,0.000000,0.000000,0.000000
3.000000,0.705882,0.705882,0.264706,0.485294,0.558824,0.427179,-1.000000,18.000000,0.705882,0.264706,0.705882,0.000000,0.000000,0.000000
4.000000,0.705882,0.705882,0.264706,0.485294,0.558824,0.427179,-1.000000,18.000000,0.705882,0.705882,0.264706,0.000000,0.000000,0.000000
5.000000,0.333333,0.333333,0.000000,0.166667,0.222222,0.707107,-1.000000,4.000000,0.000000,0.333333,0.333333,0.000000,0.000000,0.000000
6.000000,0.333333,0.333333,0.000000,0.166667,0.222222,0.707107,-1.000000,4.000000,0.333333,0.333333,0.000000,0.000000,0.000000,0.000000
7.000000,0.285714,0.285714,0.285714,0.285714,0.285714,0.000000,nan,8.000000,0.285714,0.285714,0.285714,0.000000,0.000000,0.000000
8.000000,1.333333,1.333333,0.000000,0.666667,0.888889,0.707107,-1.000000,16.000000,0.000000,1.333333,1.333333,0.000000,0.000000,0.000000
9.000000,0.285714,0.285714,0.285714,0.285714,0.285714,0.000000,nan,8.000000,0.285714,0.285714,0.285714,0.000000,0.000000,0.000000
10.000000,1.253524,0.690741,0.561784,0.626262,0.835349,0.414378,0.863519,32.000000,0.676411,1.200605,0.629032,0.021169,-0.036290,0.181452
11.000000,163.513727,7.290209,1.765776,4.527992,57.523237,0.971726,0.995930,542.000000,1.977519,147.914863,22.677330,5.436577,1.971530,46.524933
12.000000,1.666667,0.000000,0.000000,0.000000,0.555556,1.000000,1.000000,4.000000,0.000000,1.666667,0.000000,0.000000,0.000000,0.000000
13.000000,6.365604,0.790024,0.568148,0.679086,2.574592,0.883565,0.994870,66.000000,0.611888,1.730769,5.381119,0.192308,-0.242657,-2.115385
14.000000,6.923077,0.692308,0.000000,0.346154,2.538462,0.949205,0.963040,27.000000,0.692308,6.923077,0.000000,0.000000,0.000000,0.000000
15.000000,0.800000,0.300000,0.000000,0.150000,0.366667,0.819288,0.416910,6.000000,0.300000,0.800000,0.000000,0.000000,0.000000,0.000000
16.000000,99.531505,19.054567,9.102125,14.078346,42.562733,0.844121,0.954872,3591.000000,20.081140,95.236531,12.370527,-12.470370,0.733392,14.388727
17.000000,0.705882,0.705882,0.264706,0.485294,0.558824,0.427179,-1.000000,18.000000,0.264706,0.705882,0.705882,0.000000,0.000000,0.000000
18.000000,0.333333,0.333333,0.000000,0.166667,0.222222,0.707107,-1.000000,4.000000,0.333333,0.333333,0.000000,0.000000,0.000000,0.000000
19.000000,0.750000,0.750000,0.000000,0.375000,0.500000,0.707107,-1.000000,9.000000,0.000000,0.750000,0.750000,0.000000,0.000000,0.000000
20.000000,8.326260,2.192576,1.192214,1.692395,3.903683,0.769673,0.925070,181.000000,3.298834,1.749724,6.662492,0.501842,-2.888582,0.124954
21.000000,86.875789,34.100303,10.686938,22.393621,43.887677,0.719567,0.610593,3447.000000,40.552982,56.587995,34.522054,-37.025205,3.007781,-3.612566
22.000000,0.333333,0.333333,0.000000,0.166667,0.222222,0.707107,-1.000000,4.000000,0.333333,0.333333,0.000000,0.000000,0.000000,0.000000
23.000000,0.727273,0.272727,0.272727,0.272727,0.424242,0.552158,1.000000,12.000000,0.727273,0.272727,0.272727,0.000000,0.000000,0.000000
24.000000,0.333333,0.333333,0.000000,0.166667,0.222222,0.707107,-1.000000,4.000000,0.333333,0.000000,0.333333,0.000000,0.000000,0.000000
25.000000,1.884121,1.220975,0.640358,0.930667,1.248485,0.461699,0.114621,55.000000,0.647811,1.880135,1.217508,0.021549,0.064646,0.047811
26.000000,0.500000,0.000000,0.000000,0.000000,0.166667,1.000000,1.000000,2.000000,0.000000,0.000000,0.500000,0.000000,0.000000,0.000000
