lesid,axcov,l2,l3,radcov,meancov,covfa,covpl,lesvol,sxx,syy,szz,sxy,sxz,syz,neurax,nxnorm,cmx,cmy,cmz
1.0,4.130504,1.846879,1.483721,1.6653,2.487035,0.521915,0.928414,151.0,1.854658,3.156115,2.450331,0.357483,-0.113996,-1.222075,41.65488169375027,0.7526082157874274,-47.037276539834636,19.58485348179802,-38.49639179020292
2.0,39.888389,9.54756,4.077296,6.812428,17.837748,0.810667,0.910303,1438.0,5.202904,27.843857,20.466484,1.562764,3.659003,14.93277,16.627969436278605,0.300429287054802,-37.79266251557357,-44.72518437431191,-15.417377522778537
3.0,2.901877,0.705949,0.563273,0.634611,1.390366,0.747123,0.986691,48.0,0.655585,2.893174,0.62234,-0.136968,-0.071809,0.023936,29.487846788867657,0.5327777887438443,-30.026928857715433,-62.13272378089513,-29.157815631262537
4.0,0.75,0.623746,0.258607,0.441176,0.544118,0.437984,-0.731755,17.0,0.264706,0.683824,0.683824,0.033088,-0.033088,0.066176,7.901194378384375,0.1427564684356721,-29.493840622421317,10.405266415183306,9.908360839325695
5.0,0.75,0.75,0.0,0.375,0.5,0.707107,-1.0,9.0,0.0,0.75,0.75,0.0,0.0,0.0,0.747121105915789,0.013498765562087171,-29.964428857715433,41.34644288577154,1.9671843687374633
6.0,3.971693,0.673049,0.255257,0.464153,1.633333,0.873589,0.952829,41.0,0.67439,0.256098,3.969512,-0.012805,-0.076829,-0.038415,9.82232020176626,0.1774668077632118,-28.988819101617878,44.83424776382033,-7.105986362969844
7.0,0.705882,0.705882,0.264706,0.485294,0.558824,0.427179,-1.0,18.0,0.705882,0.264706,0.705882,0.0,0.0,0.0,20.52685994168626,0.3708733000374545,-25.964428857715433,37.84644288577154,22.967184368737463
8.0,7.058824,0.264706,0.0,0.132353,2.441176,0.981098,0.995078,18.0,0.264706,7.058824,0.0,0.0,0.0,0.0,11.371629943984422,0.205459282915718,-19.464428857715433,18.346442885771538,12.967184368737463
9.0,0.5,0.0,0.0,0.0,0.166667,1.0,1.0,2.0,0.0,0.5,0.0,0.0,0.0,0.0,10.234857951539269,0.18492041913304572,-18.964428857715433,25.846442885771538,11.967184368737463
10.0,0.5,0.0,0.0,0.0,0.166667,1.0,1.0,2.0,0.0,0.5,0.0,0.0,0.0,0.0,9.124534549861334,0.1648594207504904,-18.964428857715433,30.846442885771538,10.967184368737463
