lesid,axcov,l2,l3,radcov,meancov,covfa,covpl,lesvol,sxx,syy,szz,sxy,sxz,syz,neurax,nxnorm,cmx,cmy,cmz
1.0,0.333333,0.333333,0.0,0.166667,0.222222,0.707107,-1.0,4.0,0.333333,0.0,0.333333,0.0,0.0,0.0,5.78318351536321,0.09757828858984079,-50.485411442899476,-19.007522224754965,-0.11955778436288256
2.0,0.333333,0.333333,0.0,0.166667,0.222222,0.707107,-1.0,4.0,0.333333,0.333333,0.0,0.0,0.0,0.0,12.31973909502076,0.20786804595980038,-30.485411442899476,46.492477775245035,-14.619557784362883
3.0,4.446374,1.633782,0.633533,1.133657,2.237896,0.716457,0.719796,92.0,0.647277,2.161968,3.904443,0.047062,-0.13999,1.108935,20.925879470623435,0.3530774184419906,-21.952802747247304,-53.768391789972355,-24.706514306102008
4.0,0.5,0.0,0.0,0.0,0.166667,1.0,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,21.018030867272195,0.3546322671775118,-19.485411442899476,14.992477775245035,19.380442215637117
5.0,1.543067,0.851578,0.253047,0.552312,0.882564,0.627992,0.124416,26.0,0.258462,1.144615,1.244615,0.030769,-0.049231,0.344615,2.474495782398736,0.04175158248528849,-19.52387298136101,53.76170854447581,-3.350327015132109
6.0,0.5,0.0,0.0,0.0,0.166667,1.0,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,7.58225336353607,0.12793356892496033,-15.485411442899476,-24.007522224754965,5.380442215637117
7.0,0.5,0.0,0.0,0.0,0.166667,1.0,1.0,2.0,0.0,0.5,0.0,0.0,0.0,0.0,11.013895351947738,0.18583485312123377,-14.985411442899476,46.492477775245035,-11.619557784362883
8.0,25.356126,0.392016,0.252043,0.32203,8.666728,0.987145,0.999894,74.0,0.25324,25.190115,0.556831,0.170678,-0.011847,-2.021844,11.368416309333599,0.19181660144359727,-11.498924956412992,13.951937234704488,10.515577350772247
9.0,6.294384,1.064462,0.647465,0.855964,2.66877,0.849434,0.980281,84.0,0.650602,1.095812,6.259897,-0.036145,0.0,-0.423408,6.691019707483992,0.1128959940909259,-5.985411442899476,29.468668251435517,-6.690986355791466
10.0,2.105263,0.263158,0.263158,0.263158,0.877193,0.86164,1.0,20.0,0.263158,2.105263,0.263158,0.0,0.0,0.0,2.368710780802486,0.03996669715581311,-5.485411442899476,3.9924777752450353,1.8804422156371174
11.0,0.5,0.0,0.0,0.0,0.166667,1.0,1.0,2.0,0.0,0.5,0.0,0.0,0.0,0.0,3.738414795096935,0.06307738925721933,-5.985411442899476,11.492477775245035,3.3804422156371174
12.0,26.847457,0.909062,0.635723,0.772393,9.464081,0.970442,0.999629,154.0,0.641923,26.499321,1.250997,-0.279645,0.061625,-2.971649,11.606457607756143,0.19583301601043063,-0.05684001432804564,12.466503749271013,11.964857800052698
13.0,20.381694,0.725935,0.64252,0.684227,7.25005,0.965344,0.999939,130.0,0.645498,17.410912,3.693739,0.151759,-0.051282,-7.039237,4.404499339252503,0.07431607634058478,0.8992039417159106,31.630939313706577,5.272749907944814
14.0,0.5,0.0,0.0,0.0,0.166667,1.0,1.0,2.0,0.0,0.5,0.0,0.0,0.0,0.0,1.5629617238299345,0.026371483757622726,0.014588557100523758,40.492477775245035,-0.6195577843628826
15.0,0.333333,0.333333,0.0,0.166667,0.222222,0.707107,-1.0,4.0,0.0,0.333333,0.333333,0.0,0.0,0.0,16.523211328035128,0.2787922394499145,4.014588557100524,45.492477775245035,-15.119557784362883
16.0,0.333333,0.333333,0.0,0.166667,0.222222,0.707107,-1.0,4.0,0.0,0.333333,0.333333,0.0,0.0,0.0,13.827903675537346,0.23331495046969142,6.014588557100524,48.492477775245035,-12.119557784362883
17.0,0.5,0.0,0.0,0.0,0.166667,1.0,1.0,2.0,0.0,0.0,0.5,0.0,0.0,0.0,9.17989719998906,0.15489023577169783,8.014588557100524,52.992477775245035,-7.119557784362883
18.0,3.280429,1.919122,1.487151,1.703137,2.228901,0.397203,0.765729,130.0,1.835659,2.332499,2.518545,0.454264,-0.175194,-0.717114,24.23263106207441,0.40887145648839585,18.81458855710052,-50.71521453244727,-23.527250092055198
