lesid,axcov,l2,l3,radcov,meancov,covfa,covpl,lesvol,sxx,syy,szz,sxy,sxz,syz
1.000000,1.284509,0.685714,0.685714,0.685714,0.885313,0.372046,1.000000,35.983124,1.284509,0.685714,0.685714,0.000000,0.000000,0.000000
2.000000,2.053839,1.944016,0.669837,1.306927,1.555898,0.458495,-0.977122,73.965310,1.997386,1.999260,0.671048,0.055509,-0.027754,0.027767
3.000000,4.378408,0.408262,0.030234,0.219248,1.605635,0.948725,0.972362,11.994375,1.362358,3.181818,0.272727,1.635597,-0.545199,-0.818182
4.000000,3.115747,2.381423,1.818586,2.100004,2.438585,0.260630,0.226552,159.924994,2.857029,1.896816,2.561910,-0.014734,-0.361269,0.224646
5.000000,2.963321,2.033898,0.254237,1.144068,1.750486,0.661739,-0.512217,59.971873,2.963321,2.033898,0.254237,0.000000,0.000000,0.000000
6.000000,0.500000,0.000000,0.000000,0.000000,0.166667,1.000000,1.000000,1.999062,0.000000,0.000000,0.500000,0.000000,0.000000,0.000000
7.000000,0.727273,0.272727,0.272472,0.272599,0.424157,0.552370,0.999999,11.994375,0.272472,0.272727,0.727273,0.000000,0.000000,0.000000
8.000000,0.692308,0.692308,0.691659,0.691983,0.692091,0.000541,-1.000000,26.987343,0.691659,0.692308,0.692308,0.000000,0.000000,0.000000
9.000000,0.285714,0.285714,0.285446,0.285580,0.285625,0.000541,-1.000000,7.996250,0.285446,0.285714,0.285714,0.000000,0.000000,0.000000
10.000000,4.895799,2.839270,1.406775,2.123022,3.047281,0.520881,0.303815,197.907179,2.493482,2.486617,4.161744,-0.648058,1.307032,0.126211
11.000000,6.752368,2.385828,0.920467,1.653148,3.352888,0.727768,0.744011,165.922181,2.421386,6.641292,0.995984,0.621249,0.223772,-0.387295
12.000000,0.285714,0.285714,0.285446,0.285580,0.285625,0.000541,-1.000000,7.996250,0.285446,0.285714,0.285714,0.000000,0.000000,0.000000
13.000000,6.923077,0.691659,0.000000,0.345829,2.538245,0.949253,0.963112,26.987343,0.691659,6.923077,0.000000,0.000000,0.000000,0.000000
14.000000,0.333333,0.333021,0.000000,0.166510,0.222118,0.707107,-0.999997,3.998125,0.333021,0.333333,0.000000,0.000000,0.000000,0.000000
15.000000,1.304348,0.695000,0.260870,0.477935,0.753406,0.604954,0.285889,23.988749,0.695000,1.304348,0.260870,0.000000,0.000000,0.000000
16.000000,2.831247,1.174539,0.669178,0.921858,1.558321,0.624371,0.780106,67.968122,0.670793,1.201054,2.803117,0.023694,0.024352,-0.213345
17.000000,0.285714,0.285714,0.285446,0.285580,0.285625,0.000541,-1.000000,7.996250,0.285446,0.285714,0.285714,0.000000,0.000000,0.000000
18.000000,24.520638,7.098626,3.421790,5.260208,11.680351,0.757960,0.881612,934.561681,9.206789,17.360174,8.474092,8.833666,2.049784,4.524350
19.000000,0.333333,0.333021,0.000000,0.166510,0.222118,0.707107,-0.999997,3.998125,0.333021,0.000000,0.333333,0.000000,0.000000,0.000000
20.000000,2.001233,0.697349,0.646452,0.671901,1.115011,0.600302,0.995060,43.979373,0.673258,1.997886,0.673890,-0.047546,0.023773,0.047569
21.000000,2.957746,1.267606,0.675423,0.971514,1.633592,0.623887,0.726182,71.966247,0.675423,2.957746,1.267606,0.000000,0.000000,0.000000
22.000000,0.333333,0.333021,0.000000,0.166510,0.222118,0.707107,-0.999997,3.998125,0.333021,0.333333,0.000000,0.000000,0.000000,0.000000
23.000000,0.727273,0.272727,0.272472,0.272599,0.424157,0.552370,0.999999,11.994375,0.272472,0.727273,0.272727,0.000000,0.000000,0.000000
24.000000,0.285714,0.285714,0.285446,0.285580,0.285625,0.000541,-1.000000,7.996250,0.285446,0.285714,0.285714,0.000000,0.000000,0.000000
