lesid,axcov,l2,l3,radcov,meancov,covfa,covpl,lesvol,sxx,syy,szz,sxy,sxz,syz
1.000000,0.800000,0.300000,0.000000,0.150000,0.366667,0.819288,0.416910,6.000000,0.800000,0.300000,0.000000,0.000000,0.000000,0.000000
2.000000,1.944331,1.263512,1.126211,1.194862,1.444685,0.294372,0.890647,75.000000,1.252973,1.885405,1.195676,0.038919,-0.029189,0.207568
3.000000,0.705882,0.705882,0.264706,0.485294,0.558824,0.427179,-1.000000,18.000000,0.264706,0.705882,0.705882,0.000000,0.000000,0.000000
4.000000,0.333333,0.333333,0.000000,0.166667,0.222222,0.707107,-1.000000,4.000000,0.333333,0.333333,0.000000,0.000000,0.000000,0.000000
5.000000,0.705882,0.705882,0.264706,0.485294,0.558824,0.427179,-1.000000,18.000000,0.705882,0.705882,0.264706,0.000000,0.000000,0.000000
6.000000,116.050871,9.754059,1.758467,5.756263,42.521132,0.948816,0.982362,954.000000,1.785306,76.650151,49.127940,0.113920,-0.647634,-51.347766
7.000000,1.363636,0.727273,0.000000,0.363636,0.696970,0.764706,-0.115157,12.000000,0.727273,1.363636,0.000000,0.000000,0.000000,0.000000
8.000000,47.349246,3.690652,1.330950,2.510801,17.456949,0.944718,0.990680,479.000000,3.964798,42.065434,6.340615,3.246115,1.242167,14.278640
9.000000,0.333333,0.333333,0.000000,0.166667,0.222222,0.707107,-1.000000,4.000000,0.333333,0.000000,0.333333,0.000000,0.000000,0.000000
10.000000,2.717108,0.629121,0.256043,0.442582,1.200758,0.820275,0.911732,33.000000,0.257576,2.689394,0.655303,-0.037879,-0.015152,-0.236742
11.000000,62.133763,10.603584,1.961747,6.282666,24.899698,0.893562,0.921209,763.000000,2.649711,28.647400,43.401984,1.737777,1.580004,-25.044258
12.000000,86.418223,3.116729,2.713477,2.915103,30.749476,0.965173,0.999921,775.000000,9.562724,79.607625,3.078080,22.274277,1.347670,5.048399
13.000000,1.954089,1.138133,0.656600,0.897366,1.249607,0.482439,0.428812,55.000000,1.203367,0.665320,1.880135,0.041414,0.232660,-0.061616
