lesid,axcov,l2,l3,radcov,meancov,covfa,covpl,lesvol,sxx,syy,szz,sxy,sxz,syz
1.000000,0.333333,0.333333,0.000000,0.166667,0.222222,0.707107,-1.000000,4.000439,0.000000,0.333333,0.333333,0.000000,0.000000,0.000000
2.000000,0.500110,0.000000,0.000000,0.000000,0.166703,1.000000,1.000000,2.000219,0.500110,0.000000,0.000000,0.000000,0.000000,0.000000
3.000000,0.750165,0.750000,0.000000,0.375000,0.500055,0.707107,-1.000000,9.000987,0.750165,0.750000,0.000000,0.000000,0.000000,0.000000
4.000000,0.500000,0.000000,0.000000,0.000000,0.166667,1.000000,1.000000,2.000219,0.000000,0.000000,0.500000,0.000000,0.000000,0.000000
5.000000,0.333406,0.333333,0.000000,0.166667,0.222247,0.707107,-1.000000,4.000439,0.333406,0.333333,0.000000,0.000000,0.000000,0.000000
6.000000,0.500110,0.000000,0.000000,0.000000,0.166703,1.000000,1.000000,2.000219,0.500110,0.000000,0.000000,0.000000,0.000000,0.000000
7.000000,0.333406,0.333333,0.000000,0.166667,0.222247,0.707107,-1.000000,4.000439,0.333406,0.333333,0.000000,0.000000,0.000000,0.000000
8.000000,0.333406,0.333333,0.000000,0.166667,0.222247,0.707107,-1.000000,4.000439,0.333406,0.000000,0.333333,0.000000,0.000000,0.000000
9.000000,0.786714,0.399346,0.250000,0.324673,0.478687,0.523228,0.683081,13.001426,0.743753,0.423077,0.269231,-0.115397,-0.038466,0.057692
10.000000,0.500110,0.000000,0.000000,0.000000,0.166703,1.000000,1.000000,2.000219,0.500110,0.000000,0.000000,0.000000,0.000000,0.000000
11.000000,5.868587,1.556620,0.844070,1.200345,2.756426,0.768176,0.923274,96.010529,0.903707,3.510417,3.855154,-0.350477,-0.412765,2.119846
12.000000,6.158319,0.697635,0.254646,0.476141,2.370200,0.918132,0.979619,49.005374,0.255158,5.791667,1.063776,0.044648,0.002551,1.366071
13.000000,3.500000,0.000000,0.000000,0.000000,1.166667,1.000000,1.000000,6.000658,0.000000,3.500000,0.000000,0.000000,0.000000,0.000000
14.000000,0.333406,0.333333,0.000000,0.166667,0.222247,0.707107,-1.000000,4.000439,0.333406,0.333333,0.000000,0.000000,0.000000,0.000000
15.000000,0.800000,0.300000,0.000000,0.150000,0.366667,0.819288,0.416910,6.000658,0.000000,0.800000,0.300000,0.000000,0.000000,0.000000
16.000000,15.695707,2.679549,1.919310,2.299430,6.764855,0.836289,0.989168,326.035753,3.284571,2.720491,14.289504,-0.192603,4.104575,-0.731534
17.000000,0.333406,0.333333,0.000000,0.166667,0.222247,0.707107,-1.000000,4.000439,0.333406,0.333333,0.000000,0.000000,0.000000,0.000000
18.000000,1.428885,0.285714,0.000000,0.142857,0.571533,0.898739,0.841771,8.000877,1.428885,0.000000,0.285714,0.000000,0.000000,0.000000
19.000000,0.703891,0.300033,0.232499,0.266266,0.412141,0.552094,0.921617,11.001206,0.272787,0.690909,0.272727,-0.054551,-0.027276,-0.054545
20.000000,1.236770,0.616044,0.261962,0.439003,0.704925,0.607736,0.452793,22.002413,0.261962,1.194805,0.658009,0.000000,0.000000,-0.155844
21.000000,3.673441,0.532714,0.030668,0.281691,1.412274,0.921204,0.927741,11.001206,2.091368,1.872727,0.272727,1.445613,-0.654617,-0.627273
22.000000,1.726853,0.615667,0.440413,0.528040,0.927644,0.640889,0.929478,31.003400,0.623793,0.600000,1.559140,0.100011,0.132273,0.400000
23.000000,1.428728,0.942945,0.256666,0.599805,0.876113,0.589247,-0.291057,29.003181,1.184989,0.258621,1.184729,-0.025865,0.243869,0.025862
24.000000,0.333406,0.333333,0.000000,0.166667,0.222247,0.707107,-1.000000,4.000439,0.333406,0.333333,0.000000,0.000000,0.000000,0.000000
25.000000,0.500000,0.000000,0.000000,0.000000,0.166667,1.000000,1.000000,2.000219,0.000000,0.000000,0.500000,0.000000,0.000000,0.000000
26.000000,3.179406,0.736440,0.578122,0.657281,1.497989,0.762085,0.986757,51.005593,2.890830,0.616471,0.986667,0.134132,-0.786753,0.020000
27.000000,0.333333,0.333333,0.000000,0.166667,0.222222,0.707107,-1.000000,4.000439,0.000000,0.333333,0.333333,0.000000,0.000000,0.000000
28.000000,0.500000,0.000000,0.000000,0.000000,0.166667,1.000000,1.000000,2.000219,0.000000,0.500000,0.000000,0.000000,0.000000,0.000000
