lesid,axcov,l2,l3,radcov,meancov,covfa,covpl,lesvol,sxx,syy,szz,sxy,sxz,syz,neurax,nxnorm,cmx,cmy,cmz
1.0,0.333333,0.333333,0.0,0.166667,0.222222,0.707107,-1.0,4.000439,0.0,0.333333,0.333333,0.0,0.0,0.0,34.471046239614694,0.587863062810697,-51.914729857132926,-7.125445897740789,-36.70273483947682
2.0,0.50011,0.0,0.0,0.0,0.166703,1.0,1.0,2.000219,0.50011,0.0,0.0,0.0,0.0,0.0,20.99121589521438,0.3579804448784043,-48.41434600322057,4.374554102259211,-23.20273483947682
3.0,0.750165,0.75,0.0,0.375,0.500055,0.707107,-1.0,9.000987,0.750165,0.75,0.0,0.0,0.0,0.0,26.86526252377986,0.4581553864266812,-47.91429116694738,15.37455410225921,-29.20273483947682
4.0,0.5,0.0,0.0,0.0,0.166667,1.0,1.0,2.000219,0.0,0.0,0.5,0.0,0.0,0.0,25.57287633853675,0.43611526336484807,-47.91429116694738,-0.6254458977407893,-27.70273483947682
5.0,0.333406,0.333333,0.0,0.166667,0.222247,0.707107,-1.0,4.000439,0.333406,0.333333,0.0,0.0,0.0,0.0,8.568316150583719,0.14612253252771618,-45.41401698558141,-17.12544589774079,6.797265160523182
6.0,0.50011,0.0,0.0,0.0,0.166703,1.0,1.0,2.000219,0.50011,0.0,0.0,0.0,0.0,0.0,9.362282536081159,0.15966269338917777,-44.413907313035025,-29.62544589774079,7.797265160523182
7.0,0.333406,0.333333,0.0,0.166667,0.222247,0.707107,-1.0,4.000439,0.333406,0.333333,0.0,0.0,0.0,0.0,15.453728845703317,0.2635451302502362,-41.413578295395865,-7.125445897740789,-17.20273483947682
8.0,0.333406,0.333333,0.0,0.166667,0.222247,0.707107,-1.0,4.000439,0.333406,0.0,0.333333,0.0,0.0,0.0,0.6897753027554085,0.011763304754671779,-39.41335895030309,-26.62544589774079,-0.7027348394768183
9.0,0.786714,0.399346,0.25,0.324673,0.478687,0.523228,0.683081,13.001426,0.743753,0.423077,0.269231,-0.115397,-0.038466,0.057692,3.3078932581445852,0.056412220524626217,-38.8363726007571,55.7591694868746,-5.7411963779383655
10.0,0.50011,0.0,0.0,0.0,0.166703,1.0,1.0,2.000219,0.50011,0.0,0.0,0.0,0.0,0.0,1.9959796427194814,0.03403908015789864,-32.412591242478385,-17.62544589774079,0.7972651605231817
11.0,5.868587,1.55662,0.84407,1.200345,2.756426,0.768176,0.923274,96.010529,0.903707,3.510417,3.855154,-0.350477,-0.412765,2.119846,12.205170905218049,0.20814480363012297,-23.869987789478003,48.94747076892587,-13.900651506143475
12.0,6.158319,0.697635,0.254646,0.476141,2.3702,0.918132,0.979619,49.005374,0.255158,5.791667,1.063776,0.044648,0.002551,1.366071,2.7830775304943245,0.04746210688655651,-4.399315210439283,3.088839816544919,2.552367201339507
13.0,3.5,0.0,0.0,0.0,1.166667,1.0,1.0,6.000658,0.0,3.5,0.0,0.0,0.0,0.0,5.161206918320023,0.08801830050973473,-4.90957524745275,11.87455410225921,4.797265160523182
14.0,0.333406,0.333333,0.0,0.166667,0.222247,0.707107,-1.0,4.000439,0.333406,0.333333,0.0,0.0,0.0,0.0,13.871018829191229,0.2365538764489891,0.5910279515523769,8.87455410225921,13.797265160523182
15.0,0.8,0.3,0.0,0.15,0.366667,0.819288,0.41691,6.000658,0.0,0.8,0.3,0.0,0.0,0.0,5.81509453431372,0.09916958306727675,1.0910827878255702,44.37455410225921,5.297265160523182
