lesid,axcov,l2,l3,radcov,meancov,covfa,covpl,lesvol,sxx,syy,szz,sxy,sxz,syz
1.000000,0.727273,0.272727,0.272727,0.272727,0.424242,0.552158,1.000000,12.000000,0.272727,0.727273,0.272727,0.000000,0.000000,0.000000
2.000000,0.333333,0.333333,0.000000,0.166667,0.222222,0.707107,-1.000000,4.000000,0.333333,0.333333,0.000000,0.000000,0.000000,0.000000
3.000000,0.333333,0.333333,0.000000,0.166667,0.222222,0.707107,-1.000000,4.000000,0.000000,0.333333,0.333333,0.000000,0.000000,0.000000
4.000000,2.932285,1.936943,1.417362,1.677152,2.095530,0.351871,0.512508,127.000000,2.533183,1.816898,1.936508,-0.664292,0.063492,0.007937
5.000000,0.800000,0.300000,0.000000,0.150000,0.366667,0.819288,0.416910,6.000000,0.300000,0.800000,0.000000,0.000000,0.000000,0.000000
6.000000,15.915258,0.423758,0.252006,0.337882,5.530341,0.978345,0.999590,64.000000,0.253968,15.769593,0.567460,0.023810,0.015873,-1.495040
7.000000,0.727273,0.272727,0.272727,0.272727,0.424242,0.552158,1.000000,12.000000,0.272727,0.272727,0.727273,0.000000,0.000000,0.000000
8.000000,29.862950,0.799575,0.243390,0.521483,10.301972,0.982285,0.998788,114.000000,0.250272,29.013895,1.641748,0.249030,0.009471,-4.889070
9.000000,0.750000,0.750000,0.000000,0.375000,0.500000,0.707107,-1.000000,9.000000,0.000000,0.750000,0.750000,0.000000,0.000000,0.000000
10.000000,2.915118,0.491219,0.257684,0.374451,1.221340,0.858894,0.971738,28.000000,0.259259,0.564815,2.839947,-0.018519,0.055556,-0.416667
11.000000,0.727273,0.272727,0.272727,0.272727,0.424242,0.552158,1.000000,12.000000,0.727273,0.272727,0.272727,0.000000,0.000000,0.000000
