lesid,axcov,l2,l3,radcov,meancov,covfa,covpl,lesvol,sxx,syy,szz,sxy,sxz,syz
1.000000,0.800000,0.300000,0.000000,0.150000,0.366667,0.819288,0.416910,6.000000,0.300000,0.800000,0.000000,0.000000,0.000000,0.000000
2.000000,0.333333,0.333333,0.000000,0.166667,0.222222,0.707107,-1.000000,4.000000,0.333333,0.000000,0.333333,0.000000,0.000000,0.000000
3.000000,8.510771,6.040455,2.143573,4.092014,5.564933,0.521862,-0.376413,432.000000,5.320825,7.230644,4.143331,0.179578,2.136950,1.810669
4.000000,3.773226,1.918141,1.209454,1.563798,2.300274,0.520897,0.687429,132.000000,1.228487,3.763301,1.909033,0.148681,-0.082061,0.052799
5.000000,0.705882,0.705882,0.264706,0.485294,0.558824,0.427179,-1.000000,18.000000,0.705882,0.264706,0.705882,0.000000,0.000000,0.000000
6.000000,1.540119,0.837142,0.504460,0.670801,0.960573,0.502072,0.573447,31.000000,0.673118,1.279570,0.929032,-0.081720,-0.244086,0.347312
7.000000,16.231461,0.608383,0.572611,0.590497,5.804151,0.962348,0.999982,105.000000,0.575458,15.994139,0.842857,-0.208608,-0.026648,1.899451
8.000000,0.500000,0.000000,0.000000,0.000000,0.166667,1.000000,1.000000,2.000000,0.000000,0.000000,0.500000,0.000000,0.000000,0.000000
9.000000,2.027592,0.738094,0.553826,0.645960,1.106504,0.624330,0.941083,41.000000,0.640244,0.669512,2.009756,0.082317,0.137195,-0.084146
10.000000,1.304348,0.695652,0.260870,0.478261,0.753623,0.604791,0.283833,24.000000,0.260870,1.304348,0.695652,0.000000,0.000000,0.000000
11.000000,1.333333,0.708772,0.394402,0.551587,0.812169,0.530412,0.535770,28.000000,0.702381,1.146825,0.587302,-0.019841,0.039683,0.373016
12.000000,2.134950,1.191004,0.573744,0.882374,1.299899,0.542340,0.352917,52.000000,1.233786,1.892534,0.773379,-0.190045,-0.055807,0.512443
13.000000,2.739531,1.508385,0.766645,1.137515,1.671520,0.536036,0.413924,76.000000,1.729825,1.733333,1.551404,0.426667,0.857895,0.253333
14.000000,0.333333,0.333333,0.000000,0.166667,0.222222,0.707107,-1.000000,4.000000,0.000000,0.333333,0.333333,0.000000,0.000000,0.000000
15.000000,0.500000,0.000000,0.000000,0.000000,0.166667,1.000000,1.000000,2.000000,0.500000,0.000000,0.000000,0.000000,0.000000,0.000000
16.000000,0.333333,0.333333,0.000000,0.166667,0.222222,0.707107,-1.000000,4.000000,0.000000,0.333333,0.333333,0.000000,0.000000,0.000000
17.000000,1.363636,0.727273,0.000000,0.363636,0.696970,0.764706,-0.115157,12.000000,1.363636,0.727273,0.000000,0.000000,0.000000,0.000000
18.000000,3.794768,1.636825,1.167076,1.401951,2.199556,0.565196,0.875071,120.000000,3.671639,1.187605,1.739426,-0.071218,0.495588,-0.107773
19.000000,6.094571,3.077112,1.957866,2.517489,3.709850,0.521799,0.701100,268.000000,3.217214,5.507127,2.405207,0.716558,-0.596386,-1.059115
20.000000,0.333333,0.333333,0.000000,0.166667,0.222222,0.707107,-1.000000,4.000000,0.000000,0.333333,0.333333,0.000000,0.000000,0.000000
