lesid,axcov,l2,l3,radcov,meancov,covfa,covpl,lesvol,sxx,syy,szz,sxy,sxz,syz
1.000000,2.978723,1.276596,0.255319,0.765957,1.503546,0.733045,0.416910,48.000000,2.978723,0.255319,1.276596,0.000000,0.000000,0.000000
2.000000,3.020945,1.044488,0.246762,0.645625,1.437398,0.771617,0.660650,41.000000,2.954878,0.252439,1.104878,-0.041463,-0.354878,-0.058537
3.000000,0.500000,0.000000,0.000000,0.000000,0.166667,1.000000,1.000000,2.000000,0.000000,0.500000,0.000000,0.000000,0.000000,0.000000
4.000000,3.856081,1.905788,0.664293,1.285041,2.142054,0.640301,0.373285,100.000000,3.818586,0.666263,1.941313,0.053333,-0.265253,0.032121
5.000000,1.304348,0.695652,0.260870,0.478261,0.753623,0.604791,0.283833,24.000000,0.695652,1.304348,0.260870,0.000000,0.000000,0.000000
6.000000,1.333333,0.266667,0.266667,0.266667,0.622222,0.769800,1.000000,16.000000,0.266667,1.333333,0.266667,0.000000,0.000000,0.000000
7.000000,0.333333,0.333333,0.000000,0.166667,0.222222,0.707107,-1.000000,4.000000,0.333333,0.333333,0.000000,0.000000,0.000000,0.000000
8.000000,0.333333,0.333333,0.000000,0.166667,0.222222,0.707107,-1.000000,4.000000,0.333333,0.333333,0.000000,0.000000,0.000000,0.000000
9.000000,0.727273,0.272727,0.272727,0.272727,0.424242,0.552158,1.000000,12.000000,0.272727,0.272727,0.727273,0.000000,0.000000,0.000000
10.000000,3.748166,1.268295,1.057809,1.163052,2.024756,0.632716,0.977782,98.000000,1.262466,3.665474,1.146329,0.037660,0.029560,-0.462655
11.000000,3.655167,1.206974,1.141160,1.174067,2.001100,0.618139,0.997627,102.000000,3.642011,1.201417,1.159872,-0.100563,0.150844,0.017181
12.000000,1.304348,0.695652,0.260870,0.478261,0.753623,0.604791,0.283833,24.000000,1.304348,0.695652,0.260870,0.000000,0.000000,0.000000
13.000000,23.393467,4.296599,1.407912,2.852255,9.699326,0.868490,0.934632,389.000000,5.048936,20.135134,3.913908,5.297975,-0.331679,-5.705530
