lesid,axcov,l2,l3,radcov,meancov,covfa,covpl,lesvol,sxx,syy,szz,sxy,sxz,syz,neurax,nxnorm,cmx,cmy,cmz
1.0,0.5,0.0,0.0,0.0,0.166667,1.0,1.0,2.0,0.0,0.5,0.0,0.0,0.0,0.0,17.49886932469518,0.3456207422547196,-43.974287311347126,-34.038569032979325,-19.076858580212416
2.0,2.220199,1.825401,1.455785,1.640593,1.833795,0.205506,0.057022,108.0,1.868034,1.894081,1.73927,0.082035,0.09666,0.350987,41.26032321341508,0.8149339977392263,-21.076139163198974,-31.64968014409044,-43.863895617249455
3.0,0.285714,0.285714,0.285714,0.285714,0.285714,0.0,,8.0,0.285714,0.285714,0.285714,0.0,0.0,0.0,7.106523221537357,0.14036117334803444,-21.474287311347126,20.961430967020675,10.423141419787584
4.0,0.333333,0.333333,0.0,0.166667,0.222222,0.707107,-1.0,4.0,0.333333,0.333333,0.0,0.0,0.0,0.0,4.187401119214844,0.08270549691452642,-20.474287311347126,57.961430967020675,2.9231414197875836
5.0,2.222222,0.277778,0.0,0.138889,0.833333,0.936442,0.941115,10.0,0.277778,2.222222,0.0,0.0,0.0,0.0,4.610253151969843,0.09105726128929385,-18.474287311347126,53.461430967020675,1.9231414197875836
6.0,0.8,0.665315,0.255518,0.460417,0.573611,0.458449,-0.75229,16.0,0.729167,0.729167,0.2625,-0.070833,0.0375,0.0375,3.5642067905262653,0.07039676527857369,-16.911787311347126,-55.476069032979325,-8.639358580212416
7.0,0.705882,0.705882,0.264706,0.485294,0.558824,0.427179,-1.0,18.0,0.705882,0.264706,0.705882,0.0,0.0,0.0,37.96355254543674,0.7498193720929713,-11.974287311347126,-23.038569032979325,-40.076858580212416
8.0,0.705882,0.705882,0.264706,0.485294,0.558824,0.427179,-1.0,18.0,0.705882,0.705882,0.264706,0.0,0.0,0.0,6.817650164248547,0.1346556321141989,-10.974287311347126,-37.538569032979325,3.4231414197875836
9.0,1.0,0.0,0.0,0.0,0.333333,1.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,3.4541403321127184,0.06822283904663408,2.025712688652874,33.461430967020675,6.923141419787584
10.0,11.179028,0.700919,0.251215,0.476067,4.043721,0.95593,0.994053,67.0,0.253279,10.87517,1.002714,0.03166,0.024876,-1.758254,16.016301171949674,0.3163384900196007,8.503324628951376,37.521132459557975,19.684335449638326
11.0,0.75,0.75,0.0,0.375,0.5,0.707107,-1.0,9.0,0.75,0.75,0.0,0.0,0.0,0.0,19.082178847907144,0.376892740603734,12.025712688652874,59.461430967020675,24.923141419787584
12.0,0.333333,0.333333,0.0,0.166667,0.222222,0.707107,-1.0,4.0,0.333333,0.333333,0.0,0.0,0.0,0.0,0.7923586162728808,0.015649901031129967,21.525712688652874,-21.038569032979325,-4.076858580212416
13.0,1.428571,0.285714,0.0,0.142857,0.571429,0.898717,0.841698,8.0,0.285714,1.428571,0.0,0.0,0.0,0.0,1.7266358692851789,0.03410284171353807,24.525712688652874,-53.038569032979325,-5.076858580212416
14.0,0.5,0.0,0.0,0.0,0.166667,1.0,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,18.9436599293155,0.3741568488971538,32.525712688652874,32.461430967020675,20.923141419787584
15.0,3.661957,0.583333,0.03676,0.310047,1.42735,0.91286,0.912735,13.0,2.025641,2.025641,0.230769,1.442308,0.576923,0.576923,20.850673427005674,0.41182233506838256,41.2564819194221,-22.3077998022101,16.615449112095263
16.0,0.5,0.0,0.0,0.0,0.166667,1.0,1.0,2.0,0.0,0.0,0.5,0.0,0.0,0.0,12.699443063969051,0.2508271166866944,40.025712688652874,24.461430967020675,13.423141419787584
17.0,10.557271,2.050961,1.186257,1.618609,4.598163,0.829028,0.968728,179.0,4.507878,7.120269,2.166342,4.05913,-0.824744,-1.876687,7.546786465815869,0.149056827132949,53.41118754898807,-24.951976854208368,-12.847808300882804
