lesid,axcov,l2,l3,radcov,meancov,covfa,covpl,lesvol,sxx,syy,szz,sxy,sxz,syz
1.000000,2.930567,1.958596,0.000000,0.979298,1.629721,0.733498,-0.544626,29.000000,2.894089,1.995074,0.000000,0.184729,0.000000,0.000000
2.000000,0.333333,0.333333,0.000000,0.166667,0.222222,0.707107,-1.000000,4.000000,0.333333,0.333333,0.000000,0.000000,0.000000,0.000000
3.000000,0.727273,0.272727,0.272727,0.272727,0.424242,0.552158,1.000000,12.000000,0.272727,0.272727,0.727273,0.000000,0.000000,0.000000
4.000000,0.750000,0.750000,0.000000,0.375000,0.500000,0.707107,-1.000000,9.000000,0.750000,0.750000,0.000000,0.000000,0.000000,0.000000
5.000000,0.333333,0.333333,0.000000,0.166667,0.222222,0.707107,-1.000000,4.000000,0.333333,0.333333,0.000000,0.000000,0.000000,0.000000
6.000000,0.727273,0.272727,0.272727,0.272727,0.424242,0.552158,1.000000,12.000000,0.727273,0.272727,0.272727,0.000000,0.000000,0.000000
7.000000,3.616311,1.665255,0.753322,1.209289,2.011630,0.625199,0.580776,94.000000,1.111874,2.284260,2.638755,-0.551819,0.025852,1.093342
8.000000,0.285714,0.285714,0.285714,0.285714,0.285714,0.000000,nan,8.000000,0.285714,0.285714,0.285714,0.000000,0.000000,0.000000
9.000000,65.794743,7.084752,0.821062,3.952907,24.566852,0.938034,0.965750,787.000000,0.900844,55.239001,17.560711,-0.344287,0.614203,22.564210
10.000000,1.285714,0.685714,0.685714,0.685714,0.885714,0.372572,1.000000,36.000000,1.285714,0.685714,0.685714,0.000000,0.000000,0.000000
11.000000,0.800000,0.300000,0.000000,0.150000,0.366667,0.819288,0.416910,6.000000,0.300000,0.800000,0.000000,0.000000,0.000000,0.000000
12.000000,0.285714,0.285714,0.285714,0.285714,0.285714,0.000000,nan,8.000000,0.285714,0.285714,0.285714,0.000000,0.000000,0.000000
13.000000,8.416067,2.099647,0.978976,1.539312,3.831563,0.795604,0.912837,173.000000,1.621387,1.563987,8.309316,0.612112,-0.531960,-0.617287
14.000000,0.333333,0.333333,0.000000,0.166667,0.222222,0.707107,-1.000000,4.000000,0.333333,0.333333,0.000000,0.000000,0.000000,0.000000
15.000000,5.182320,0.704346,0.509509,0.606927,2.132058,0.871312,0.993892,61.000000,0.662295,5.150273,0.583607,0.021311,0.078689,-0.383607
16.000000,0.333333,0.333333,0.000000,0.166667,0.222222,0.707107,-1.000000,4.000000,0.333333,0.000000,0.333333,0.000000,0.000000,0.000000
17.000000,1.263571,0.285714,0.241191,0.263453,0.596825,0.759533,0.993325,15.000000,0.266667,0.266667,1.257143,0.019048,0.057143,-0.057143
18.000000,9.539396,2.190251,0.959088,1.574670,4.229579,0.817102,0.921361,149.000000,0.994558,3.219118,8.475059,0.211772,0.023399,-2.593053
19.000000,0.333333,0.333333,0.000000,0.166667,0.222222,0.707107,-1.000000,4.000000,0.333333,0.000000,0.333333,0.000000,0.000000,0.000000
20.000000,0.333333,0.333333,0.000000,0.166667,0.222222,0.707107,-1.000000,4.000000,0.333333,0.000000,0.333333,0.000000,0.000000,0.000000
21.000000,14.173121,1.084226,0.245705,0.664966,5.167684,0.951536,0.987048,91.000000,1.118681,14.131624,0.252747,0.670940,-0.009768,-0.311966
22.000000,6.957385,1.960038,0.659244,1.309641,3.192222,0.793446,0.830585,100.000000,1.844343,2.070606,5.661717,-0.143535,2.358889,-0.940101
23.000000,0.800000,0.300000,0.000000,0.150000,0.366667,0.819288,0.416910,6.000000,0.300000,0.800000,0.000000,0.000000,0.000000,0.000000
24.000000,2.555991,0.519461,0.257061,0.388261,1.110837,0.831633,0.951307,29.000000,0.258621,2.435961,0.637931,0.048030,0.001232,-0.477833
25.000000,2.222222,0.277778,0.000000,0.138889,0.833333,0.936442,0.941115,10.000000,0.000000,2.222222,0.277778,0.000000,0.000000,0.000000
26.000000,0.705882,0.705882,0.264706,0.485294,0.558824,0.427179,-1.000000,18.000000,0.705882,0.705882,0.264706,0.000000,0.000000,0.000000
27.000000,1.266608,0.673071,0.257950,0.465510,0.732543,0.602511,0.300592,23.000000,0.260870,1.256917,0.679842,-0.035573,-0.023715,-0.071146
28.000000,0.333333,0.333333,0.000000,0.166667,0.222222,0.707107,-1.000000,4.000000,0.333333,0.333333,0.000000,0.000000,0.000000,0.000000
29.000000,9.025553,1.005383,0.554832,0.780107,3.528589,0.907275,0.989955,90.000000,0.628714,8.913358,1.043695,-0.667166,-0.148564,0.675406
30.000000,3.480753,1.731136,0.249999,0.990567,1.820629,0.719068,0.143330,58.000000,0.251664,2.550817,2.659407,-0.007260,-0.055656,-0.873563
31.000000,2.691630,0.742549,0.542694,0.642621,1.325624,0.722924,0.968214,47.000000,0.650324,2.632747,0.693802,0.287697,0.067068,-0.200740
32.000000,0.800000,0.300000,0.000000,0.150000,0.366667,0.819288,0.416910,6.000000,0.300000,0.800000,0.000000,0.000000,0.000000,0.000000
33.000000,0.727273,0.272727,0.272727,0.272727,0.424242,0.552158,1.000000,12.000000,0.272727,0.272727,0.727273,0.000000,0.000000,0.000000
34.000000,0.333333,0.333333,0.000000,0.166667,0.222222,0.707107,-1.000000,4.000000,0.000000,0.333333,0.333333,0.000000,0.000000,0.000000
35.000000,0.500000,0.000000,0.000000,0.000000,0.166667,1.000000,1.000000,2.000000,0.000000,0.500000,0.000000,0.000000,0.000000,0.000000
36.000000,0.333333,0.333333,0.000000,0.166667,0.222222,0.707107,-1.000000,4.000000,0.333333,0.333333,0.000000,0.000000,0.000000,0.000000
37.000000,1.428571,0.285714,0.000000,0.142857,0.571429,0.898717,0.841698,8.000000,0.285714,1.428571,0.000000,0.000000,0.000000,0.000000
38.000000,3.000000,0.685714,0.257143,0.471429,1.314286,0.827587,0.905928,36.000000,0.257143,3.000000,0.685714,0.000000,0.000000,0.000000
39.000000,0.333333,0.333333,0.000000,0.166667,0.222222,0.707107,-1.000000,4.000000,0.333333,0.000000,0.333333,0.000000,0.000000,0.000000
