lesid,axcov,l2,l3,radcov,meancov,covfa,covpl,lesvol,sxx,syy,szz,sxy,sxz,syz
1.000000,0.720000,0.719274,0.595082,0.657178,0.678118,0.105652,-0.999885,25.980272,0.677432,0.678462,0.678462,-0.041507,0.041507,0.041538
2.000000,3.089431,1.037450,0.000000,0.518725,1.375627,0.835598,0.532974,20.984066,1.112595,3.014286,0.000000,0.385422,0.000000,0.000000
3.000000,1.302369,0.695652,0.260870,0.478261,0.752964,0.604284,0.281226,23.981790,1.302369,0.695652,0.260870,0.000000,0.000000,0.000000
4.000000,5.886048,4.067494,2.140028,3.103761,4.031190,0.434473,-0.050332,313.761747,4.398478,4.519200,3.175892,0.390538,-0.987691,-1.352333
5.000000,0.798786,0.300000,0.000000,0.150000,0.366262,0.819058,0.415151,5.995447,0.798786,0.300000,0.000000,0.000000,0.000000,0.000000
6.000000,1.426404,0.285714,0.000000,0.142857,0.570706,0.898567,0.841190,7.993930,1.426404,0.000000,0.285714,0.000000,0.000000,0.000000
7.000000,0.333333,0.332828,0.000000,0.166414,0.222054,0.707107,-0.999992,3.996965,0.332828,0.333333,0.000000,0.000000,0.000000,0.000000
8.000000,6.887041,3.083541,2.137070,2.610306,4.035884,0.555245,0.842934,262.800444,3.019474,5.630917,3.457261,-0.945223,-0.050915,1.862450
9.000000,2.728119,1.203433,0.610021,0.906727,1.513858,0.621814,0.678549,63.951439,1.204519,2.698413,0.638641,-0.047583,0.023791,-0.242063
10.000000,0.705882,0.704812,0.264706,0.484759,0.558467,0.426964,-0.999980,17.986342,0.704812,0.705882,0.264706,0.000000,0.000000,0.000000
11.000000,0.750000,0.748862,0.000000,0.374431,0.499621,0.707107,-0.999992,8.993171,0.748862,0.750000,0.000000,0.000000,0.000000,0.000000
12.000000,3.181818,0.272314,0.000000,0.136157,1.151377,0.956576,0.973247,11.990895,0.272314,3.181818,0.000000,0.000000,0.000000,0.000000
13.000000,0.333333,0.332828,0.000000,0.166414,0.222054,0.707107,-0.999992,3.996965,0.332828,0.333333,0.000000,0.000000,0.000000,0.000000
14.000000,3.014672,0.706365,0.649667,0.678016,1.456901,0.738737,0.998014,50.961303,0.698547,0.659608,3.012549,-0.019593,0.050942,0.049020
15.000000,0.727273,0.272727,0.272314,0.272520,0.424105,0.552501,0.999997,11.990895,0.272314,0.272727,0.727273,0.000000,0.000000,0.000000
16.000000,0.727273,0.272727,0.272314,0.272520,0.424105,0.552501,0.999997,11.990895,0.272314,0.727273,0.272727,0.000000,0.000000,0.000000
17.000000,0.333333,0.332828,0.000000,0.166414,0.222054,0.707107,-0.999992,3.996965,0.332828,0.333333,0.000000,0.000000,0.000000,0.000000
18.000000,0.499242,0.000000,0.000000,0.000000,0.166414,1.000000,1.000000,1.998482,0.499242,0.000000,0.000000,0.000000,0.000000,0.000000
19.000000,6.267752,1.363666,0.252113,0.807890,2.627844,0.863652,0.866049,65.949921,0.253228,4.146620,3.483683,-0.058231,-0.015839,2.429604
20.000000,0.333333,0.332828,0.000000,0.166414,0.222054,0.707107,-0.999992,3.996965,0.332828,0.333333,0.000000,0.000000,0.000000,0.000000
21.000000,8.684211,0.262759,0.000000,0.131379,2.982323,0.984769,0.996818,19.984825,0.262759,8.684211,0.000000,0.000000,0.000000,0.000000
22.000000,5.612586,0.998438,0.452705,0.725572,2.354576,0.858562,0.958464,65.949921,1.013146,5.456410,0.594172,0.276713,-0.014674,-0.835897
23.000000,0.285714,0.285714,0.285281,0.285498,0.285570,0.000876,-1.000000,7.993930,0.285281,0.285714,0.285714,0.000000,0.000000,0.000000
24.000000,0.285714,0.285714,0.285281,0.285498,0.285570,0.000876,-1.000000,7.993930,0.285281,0.285714,0.285714,0.000000,0.000000,0.000000
25.000000,28.060744,2.296834,1.595509,1.946172,10.651029,0.926307,0.997568,364.723050,21.822138,4.922731,5.208219,-7.321371,8.482502,-2.876742
26.000000,5.552311,4.179017,2.470652,3.324835,4.067327,0.362563,-0.186973,326.751883,4.979733,3.391531,3.830716,-0.974851,0.696728,0.524559
27.000000,0.333333,0.332828,0.000000,0.166414,0.222054,0.707107,-0.999992,3.996965,0.332828,0.333333,0.000000,0.000000,0.000000,0.000000
28.000000,1.285714,0.685714,0.684674,0.685194,0.885368,0.372998,0.999990,35.972684,0.684674,1.285714,0.685714,0.000000,0.000000,0.000000
29.000000,1.304348,0.695652,0.260474,0.478063,0.753491,0.605033,0.283105,23.981790,0.260474,1.304348,0.695652,0.000000,0.000000,0.000000
30.000000,0.333333,0.332828,0.000000,0.166414,0.222054,0.707107,-0.999992,3.996965,0.332828,0.333333,0.000000,0.000000,0.000000,0.000000
31.000000,0.333333,0.333333,0.000000,0.166667,0.222222,0.707107,-1.000000,3.996965,0.000000,0.333333,0.333333,0.000000,0.000000,0.000000
32.000000,1.947985,1.325283,0.978917,1.152100,1.417395,0.333369,0.470195,71.945369,1.137357,1.936620,1.178208,-0.052777,-0.177682,0.064554
33.000000,0.798786,0.300000,0.000000,0.150000,0.366262,0.819058,0.415151,5.995447,0.798786,0.300000,0.000000,0.000000,0.000000,0.000000
34.000000,0.333333,0.332828,0.000000,0.166414,0.222054,0.707107,-0.999992,3.996965,0.332828,0.000000,0.333333,0.000000,0.000000,0.000000
35.000000,0.333333,0.332828,0.000000,0.166414,0.222054,0.707107,-0.999992,3.996965,0.332828,0.333333,0.000000,0.000000,0.000000,0.000000
36.000000,3.586241,0.904970,0.664937,0.784954,1.718716,0.747478,0.975412,64.950680,0.699898,3.296635,1.159615,0.092958,-0.055727,0.835577
37.000000,0.500000,0.000000,0.000000,0.000000,0.166667,1.000000,1.000000,1.998482,0.000000,0.500000,0.000000,0.000000,0.000000,0.000000
38.000000,2.751126,1.268657,0.640333,0.954495,1.553372,0.606244,0.635407,67.948404,0.652214,2.739245,1.268657,0.157913,0.000000,0.000000
39.000000,17.410677,9.493907,1.945675,5.719791,9.616753,0.672200,0.041261,582.557639,5.474939,15.404985,7.970334,-4.881689,-2.909113,-0.908068
40.000000,0.285714,0.285714,0.285281,0.285498,0.285570,0.000876,-1.000000,7.993930,0.285281,0.285714,0.285714,0.000000,0.000000,0.000000
41.000000,0.800000,0.299545,0.000000,0.149772,0.366515,0.819517,0.418663,5.995447,0.299545,0.800000,0.000000,0.000000,0.000000,0.000000
42.000000,0.705882,0.704812,0.264706,0.484759,0.558467,0.426964,-0.999980,17.986342,0.704812,0.264706,0.705882,0.000000,0.000000,0.000000
43.000000,0.800000,0.299545,0.000000,0.149772,0.366515,0.819517,0.418663,5.995447,0.299545,0.800000,0.000000,0.000000,0.000000,0.000000
