lesid,axcov,l2,l3,radcov,meancov,covfa,covpl,lesvol,sxx,syy,szz,sxy,sxz,syz,neurax,nxnorm,cmx,cmy,cmz
1.0,0.72,0.719274,0.595082,0.657178,0.678118,0.105652,-0.999885,25.980272,0.677432,0.678462,0.678462,-0.041507,0.041507,0.041538,38.72068075898544,0.6887862976107413,-49.52662122029457,-10.423705131815524,-38.285390897471984
2.0,3.089431,1.03745,0.0,0.518725,1.375627,0.835598,0.532974,20.984066,1.112595,3.014286,0.0,0.385422,0.0,0.0,35.11031738317278,0.62456302534613,-48.774445127418396,-2.099529307639699,-33.32385243593353
3.0,1.302369,0.695652,0.26087,0.478261,0.752964,0.604284,0.281226,23.98179,1.302369,0.695652,0.26087,0.0,0.0,0.0,38.848707811313986,0.6910637182975389,-44.99160331726007,19.61475640664601,-33.82385243593353
4.0,5.886048,4.067494,2.140028,3.103761,4.03119,0.434473,-0.050332,313.761747,4.398478,4.5192,3.175892,0.390538,-0.987691,-1.352333,43.247266971156265,0.7693078818593202,-31.07541888621136,29.19437424104092,-37.49264224485074
5.0,0.798786,0.3,0.0,0.15,0.366262,0.819058,0.415151,5.995447,0.798786,0.3,0.0,0.0,0.0,0.0,5.241585379216645,0.09324041096884436,-30.502605440615937,-28.88524359335399,-8.323852435933532
6.0,1.426404,0.285714,0.0,0.142857,0.570706,0.898567,0.84119,7.99393,1.426404,0.0,0.285714,0.0,0.0,0.0,4.932346447955112,0.08773948654381845,-28.004502358435914,47.61475640664601,14.176147564066468
7.0,0.333333,0.332828,0.0,0.166414,0.222054,0.707107,-0.999992,3.996965,0.332828,0.333333,0.0,0.0,0.0,0.0,2.7193658833346133,0.048373683569505756,-29.003743591307924,55.11475640664601,7.6761475640664685
8.0,6.887041,3.083541,2.13707,2.610306,4.035884,0.555245,0.842934,262.800444,3.019474,5.630917,3.457261,-0.945223,-0.050915,1.86245,20.5464724505864,0.3654927653852364,-25.08086688811268,-35.55634625495095,-25.21358627623772
9.0,2.728119,1.203433,0.610021,0.906727,1.513858,0.621814,0.678549,63.951439,1.204519,2.698413,0.638641,-0.047583,0.023791,-0.242063,41.95156345555843,0.7462591438253756,-25.006778659819886,12.36475640664601,-39.21447743593353
10.0,0.705882,0.704812,0.264706,0.484759,0.558467,0.426964,-0.99998,17.986342,0.704812,0.705882,0.264706,0.0,0.0,0.0,11.668711594248796,0.207569921275856,-21.509434344767854,44.61475640664601,20.17614756406647
11.0,0.75,0.748862,0.0,0.374431,0.499621,0.707107,-0.999992,8.993171,0.748862,0.75,0.0,0.0,0.0,0.0,34.55018445179271,0.6145990505292461,-20.510193111895845,-2.385243593353991,-34.32385243593353
12.0,3.181818,0.272314,0.0,0.136157,1.151377,0.956576,0.973247,11.990895,0.272314,3.181818,0.0,0.0,0.0,0.0,14.417468844581444,0.2564664358095771,-20.01057249545984,37.11475640664601,21.67614756406647
13.0,0.333333,0.332828,0.0,0.166414,0.222054,0.707107,-0.999992,3.996965,0.332828,0.333333,0.0,0.0,0.0,0.0,16.24997367813654,0.28906411216539113,-19.01133126258783,32.11475640664601,22.67614756406647
14.0,3.014672,0.706365,0.649667,0.678016,1.456901,0.738737,0.998014,50.961303,0.698547,0.659608,3.012549,-0.019593,0.050942,0.04902,25.496945650484125,0.45355470127946723,-17.49287644792939,-49.40485143649125,-32.87287204377668
15.0,0.727273,0.272727,0.272314,0.27252,0.424105,0.552501,0.999997,11.990895,0.272314,0.272727,0.727273,0.0,0.0,0.0,0.2885263547516738,0.0051324769027055695,-17.012848796843812,-5.885243593353991,-0.3238524359335315
16.0,0.727273,0.272727,0.272314,0.27252,0.424105,0.552501,0.999997,11.990895,0.272314,0.727273,0.272727,0.0,0.0,0.0,1.8661240917635133,0.033195715541486696,-16.013607563971803,2.614756406646009,3.1761475640664685
17.0,0.333333,0.332828,0.0,0.166414,0.222054,0.707107,-0.999992,3.996965,0.332828,0.333333,0.0,0.0,0.0,0.0,5.666603031714535,0.10080087554604052,-9.018918933867738,-15.88524359335399,3.6761475640664685
18.0,0.499242,0.0,0.0,0.0,0.166414,1.0,1.0,1.998482,0.499242,0.0,0.0,0.0,0.0,0.0,51.45969360687084,0.9153953685960048,-8.019677700995729,-59.38524359335399,-61.32385243593353
19.0,6.267752,1.363666,0.252113,0.80789,2.627844,0.863652,0.866049,65.949921,0.253228,4.14662,3.483683,-0.058231,-0.015839,2.429604,15.432267581386766,0.2745182740273747,-7.005296449443847,58.90263519452479,-5.7935494056305
20.0,0.333333,0.332828,0.0,0.166414,0.222054,0.707107,-0.999992,3.996965,0.332828,0.333333,0.0,0.0,0.0,0.0,8.158513410460456,0.14512844650063642,-3.0234715366356824,20.11475640664601,11.676147564066468
21.0,8.684211,0.262759,0.0,0.131379,2.982323,0.984769,0.996818,19.984825,0.262759,8.684211,0.0,0.0,0.0,0.0,7.874723624961934,0.14008022648431057,-3.0234715366356824,28.11475640664601,12.676147564066468
22.0,5.612586,0.998438,0.452705,0.725572,2.354576,0.858562,0.958464,65.949921,1.013146,5.45641,0.594172,0.276713,-0.014674,-0.835897,2.573644266839359,0.045781501543255436,1.8818945156450866,41.281423073312666,3.933723321642219
23.0,0.285714,0.285714,0.285281,0.285498,0.28557,0.000876,-1.0,7.99393,0.285281,0.285714,0.285714,0.0,0.0,0.0,10.719722644448495,0.19068874634830077,0.9734933948523548,44.11475640664601,-3.8238524359335315
24.0,0.285714,0.285714,0.285281,0.285498,0.28557,0.000876,-1.0,7.99393,0.285281,0.285714,0.285714,0.0,0.0,0.0,8.079454818245503,0.1437221056523181,0.9734933948523548,46.11475640664601,-0.8238524359335315
25.0,28.060744,2.296834,1.595509,1.946172,10.651029,0.926307,0.997568,364.72305,21.822138,4.922731,5.208219,-7.321371,8.482502,-2.876742,0.08534889088063302,0.0015182363895090447,10.039212141854165,-5.045517565956729,-1.266318189358202
26.0,5.552311,4.179017,2.470652,3.324835,4.067327,0.362563,-0.186973,326.751883,4.979733,3.391531,3.830716,-0.974851,0.696728,0.524559,14.047120170449887,0.2498784552503529,14.255456754724491,53.29059738523928,-6.437002283028335
27.0,0.333333,0.332828,0.0,0.166414,0.222054,0.707107,-0.999992,3.996965,0.332828,0.333333,0.0,0.0,0.0,0.0,8.612725158237676,0.15320823285641155,11.965146956444457,47.11475640664601,15.676147564066468
28.0,1.285714,0.685714,0.684674,0.685194,0.885368,0.372998,0.99999,35.972684,0.684674,1.285714,0.685714,0.0,0.0,0.0,12.852418940089478,0.22862640541339377,13.46400880575247,27.11475640664601,16.67614756406647
29.0,1.304348,0.695652,0.260474,0.478063,0.753491,0.605033,0.283105,23.98179,0.260474,1.304348,0.695652,0.0,0.0,0.0,22.65693285013574,0.40303487922119585,12.964388189316466,58.11475640664601,-14.323852435933532
30.0,0.333333,0.332828,0.0,0.166414,0.222054,0.707107,-0.999992,3.996965,0.332828,0.333333,0.0,0.0,0.0,0.0,14.13393892258447,0.2514228383984226,16.961353120804503,-12.88524359335399,-17.32385243593353
31.0,0.333333,0.333333,0.0,0.166667,0.222222,0.707107,-1.0,3.996965,0.0,0.333333,0.333333,0.0,0.0,0.0,19.33802616281207,0.343996210363425,16.4617325043685,60.11475640664601,-10.823852435933532
32.0,1.947985,1.325283,0.978917,1.1521,1.417395,0.333369,0.470195,71.945369,1.137357,1.93662,1.178208,-0.052777,-0.177682,0.064554,5.155482909063348,0.09170876946695093,19.084740740657523,12.698089739979338,6.2455920085109256
33.0,0.798786,0.3,0.0,0.15,0.366262,0.819058,0.415151,5.995447,0.798786,0.3,0.0,0.0,0.0,0.0,23.066713480878608,0.4103242986722337,19.459456202984526,-17.88524359335399,-27.32385243593353
34.0,0.333333,0.332828,0.0,0.166414,0.222054,0.707107,-0.999992,3.996965,0.332828,0.0,0.333333,0.0,0.0,0.0,23.112173852084744,0.41113297455698855,19.95907681942053,-45.38524359335399,-31.82385243593353
35.0,0.333333,0.332828,0.0,0.166414,0.222054,0.707107,-0.999992,3.996965,0.332828,0.333333,0.0,0.0,0.0,0.0,19.252845067025316,0.3424809588119716,24.955282983780577,34.11475640664601,23.67614756406647
