lesid,axcov,l2,l3,radcov,meancov,covfa,covpl,lesvol,sxx,syy,szz,sxy,sxz,syz
1.000000,4.907758,1.226891,1.197497,1.212194,2.444049,0.710895,0.999786,120.102510,4.885367,1.226891,1.219888,0.000000,0.287360,0.000000
2.000000,0.286203,0.285714,0.285714,0.285714,0.285877,0.000986,1.000000,8.006834,0.286203,0.285714,0.285714,0.000000,0.000000,0.000000
3.000000,1.268740,0.673087,0.257951,0.465519,0.733259,0.603074,0.303380,23.019648,1.259065,0.679842,0.260870,0.071207,-0.035604,0.023715
4.000000,1.279070,1.209933,0.601787,0.905860,1.030263,0.346916,-0.961422,44.037587,1.169014,1.279070,0.642706,0.000000,-0.152350,0.000000
5.000000,0.801367,0.300000,0.000000,0.150000,0.367122,0.819546,0.418882,6.005126,0.801367,0.000000,0.300000,0.000000,0.000000,0.000000
6.000000,4.959650,3.422521,1.846606,2.634563,3.409592,0.427773,-0.021578,252.215272,2.497701,4.220120,3.510956,-1.193250,-0.423004,0.265936
7.000000,0.333333,0.333333,0.000000,0.166667,0.222222,0.707107,-1.000000,4.003417,0.000000,0.333333,0.333333,0.000000,0.000000,0.000000
8.000000,0.286203,0.285714,0.285714,0.285714,0.285877,0.000986,1.000000,8.006834,0.286203,0.285714,0.285714,0.000000,0.000000,0.000000
9.000000,0.693491,0.692308,0.692308,0.692308,0.692702,0.000986,1.000000,27.023065,0.693491,0.692308,0.692308,0.000000,0.000000,0.000000
10.000000,0.333903,0.333333,0.000000,0.166667,0.222412,0.707107,-0.999990,4.003417,0.333903,0.333333,0.000000,0.000000,0.000000,0.000000
11.000000,0.500000,0.000000,0.000000,0.000000,0.166667,1.000000,1.000000,2.001709,0.000000,0.500000,0.000000,0.000000,0.000000,0.000000
12.000000,0.727273,0.273193,0.272727,0.272960,0.424398,0.551771,0.999996,12.010251,0.273193,0.727273,0.272727,0.000000,0.000000,0.000000
13.000000,0.333333,0.333333,0.000000,0.166667,0.222222,0.707107,-1.000000,4.003417,0.000000,0.333333,0.333333,0.000000,0.000000,0.000000
14.000000,40.215325,1.214511,0.622909,0.918710,14.017581,0.976676,0.999235,237.202458,0.629731,39.889831,1.533183,0.504668,-0.030993,-3.512712
