lesid,axcov,l2,l3,radcov,meancov,covfa,covpl,lesvol,sxx,syy,szz,sxy,sxz,syz
1.000000,0.705882,0.705736,0.264706,0.485221,0.558775,0.427149,-1.000000,17.998131,0.705736,0.705882,0.264706,0.000000,0.000000,0.000000
2.000000,0.285714,0.285714,0.285655,0.285685,0.285695,0.000120,-1.000000,7.999169,0.285655,0.285714,0.285714,0.000000,0.000000,0.000000
3.000000,0.333333,0.333264,0.000000,0.166632,0.222199,0.707107,-1.000000,3.999585,0.333264,0.333333,0.000000,0.000000,0.000000,0.000000
4.000000,0.333333,0.333333,0.000000,0.166667,0.222222,0.707107,-1.000000,3.999585,0.000000,0.333333,0.333333,0.000000,0.000000,0.000000
5.000000,0.705882,0.705736,0.264706,0.485221,0.558775,0.427149,-1.000000,17.998131,0.705736,0.705882,0.264706,0.000000,0.000000,0.000000
6.000000,0.800000,0.299938,0.000000,0.149969,0.366646,0.819319,0.417150,5.999377,0.299938,0.800000,0.000000,0.000000,0.000000,0.000000
7.000000,1.276596,1.276331,0.680851,0.978591,1.077926,0.308716,-0.999999,47.995016,1.276331,1.276596,0.680851,0.000000,0.000000,0.000000
8.000000,1.440879,1.039694,0.474869,0.757281,0.985147,0.457040,-0.288323,35.996262,0.549092,1.171429,1.234921,0.085705,0.234896,0.171429
9.000000,0.333333,0.333333,0.000000,0.166667,0.222222,0.707107,-1.000000,3.999585,0.000000,0.333333,0.333333,0.000000,0.000000,0.000000
10.000000,91.448624,2.644794,0.981306,1.813050,31.691574,0.979835,0.998838,419.956391,1.098732,81.570383,12.405609,-2.064054,-1.054186,27.849881
11.000000,8.637299,0.833266,0.546674,0.689970,3.339080,0.914499,0.995617,84.991174,0.613878,8.352101,1.051261,0.014564,0.120856,-1.470868
12.000000,8.560866,2.009359,1.296751,1.653055,3.955659,0.780248,0.964486,172.982037,1.336596,3.774701,6.755680,0.125373,0.408480,2.912757
13.000000,10.321739,0.469994,0.252709,0.361351,3.681481,0.963876,0.998395,51.994601,0.254849,9.663273,1.126320,0.029409,-0.029409,-2.460407
14.000000,0.499896,0.000000,0.000000,0.000000,0.166632,1.000000,1.000000,1.999792,0.499896,0.000000,0.000000,0.000000,0.000000,0.000000
15.000000,2.068966,0.689655,0.258567,0.474111,1.005729,0.745834,0.771350,29.996885,0.258567,2.068966,0.689655,0.000000,0.000000,0.000000
16.000000,2.660251,1.177885,0.650556,0.914221,1.496231,0.605381,0.719671,64.993251,1.205038,2.628365,0.655288,0.214882,-0.050956,-0.010096
17.000000,0.727273,0.272727,0.272671,0.272699,0.424224,0.552205,1.000000,11.998754,0.272671,0.272727,0.727273,0.000000,0.000000,0.000000
18.000000,1.428275,0.285714,0.000000,0.142857,0.571330,0.898697,0.841628,7.999169,1.428275,0.000000,0.285714,0.000000,0.000000,0.000000
