lesid,axcov,l2,l3,radcov,meancov,covfa,covpl,lesvol,sxx,syy,szz,sxy,sxz,syz
1.000000,0.800000,0.300000,0.000000,0.150000,0.366667,0.819288,0.416910,6.000000,0.300000,0.800000,0.000000,0.000000,0.000000,0.000000
2.000000,0.333333,0.333333,0.000000,0.166667,0.222222,0.707107,-1.000000,4.000000,0.333333,0.333333,0.000000,0.000000,0.000000,0.000000
3.000000,1.199357,0.693753,0.539148,0.616450,0.810753,0.402277,0.779242,31.000000,0.666667,0.662366,1.103226,0.033333,0.100000,-0.209677
4.000000,3.583378,1.198032,0.830075,1.014053,1.870495,0.669263,0.932261,85.000000,3.338375,1.192717,1.080392,-0.113305,0.768627,-0.107423
5.000000,0.500000,0.000000,0.000000,0.000000,0.166667,1.000000,1.000000,2.000000,0.500000,0.000000,0.000000,0.000000,0.000000,0.000000
6.000000,119.098203,24.204791,7.723780,15.964285,50.342258,0.854972,0.916098,3311.000000,18.309613,110.300209,22.416952,-29.773097,4.773104,1.945933
7.000000,5.332456,2.209332,1.105483,1.657407,2.882424,0.646144,0.722457,154.000000,1.698710,5.173627,1.774934,0.591418,0.470970,-0.544394
8.000000,19.437336,3.800125,3.320937,3.560531,8.852799,0.790876,0.996929,465.000000,11.291806,9.283157,5.983435,6.569638,-4.242515,-3.967246
9.000000,0.727273,0.272727,0.272727,0.272727,0.424242,0.552158,1.000000,12.000000,0.727273,0.272727,0.272727,0.000000,0.000000,0.000000
10.000000,0.720000,0.720000,0.595385,0.657692,0.678462,0.105649,-1.000000,26.000000,0.678462,0.678462,0.678462,0.041538,-0.041538,0.041538
11.000000,0.727273,0.272727,0.272727,0.272727,0.424242,0.552158,1.000000,12.000000,0.272727,0.272727,0.727273,0.000000,0.000000,0.000000
12.000000,0.333333,0.333333,0.000000,0.166667,0.222222,0.707107,-1.000000,4.000000,0.000000,0.333333,0.333333,0.000000,0.000000,0.000000
13.000000,2.705263,2.111634,1.003139,1.557387,1.940012,0.418520,-0.495741,106.000000,1.778706,2.302246,1.739084,0.599281,0.393531,-0.365499
14.000000,1.319013,0.650598,0.249004,0.449801,0.739538,0.627625,0.415927,22.000000,0.259740,1.300866,0.658009,-0.051948,0.051948,0.103896
15.000000,0.285714,0.285714,0.285714,0.285714,0.285714,0.000000,nan,8.000000,0.285714,0.285714,0.285714,0.000000,0.000000,0.000000
16.000000,3.036557,1.370739,0.253112,0.811926,1.553469,0.726105,0.333170,50.000000,2.622449,1.783265,0.254694,0.720408,-0.024490,0.034286
17.000000,0.703889,0.300000,0.232475,0.266237,0.412121,0.552141,0.921645,11.000000,0.272727,0.690909,0.272727,0.054545,-0.027273,0.054545
18.000000,1.285714,0.685714,0.685714,0.685714,0.885714,0.372572,1.000000,36.000000,0.685714,1.285714,0.685714,0.000000,0.000000,0.000000
19.000000,3.000000,0.685714,0.257143,0.471429,1.314286,0.827587,0.905928,36.000000,3.000000,0.685714,0.257143,0.000000,0.000000,0.000000
20.000000,8.737879,4.020008,1.228759,2.624383,4.662215,0.677986,0.427012,251.000000,1.330900,4.193243,8.462502,0.549418,-0.246406,-1.078693
21.000000,14.710338,0.636290,0.513618,0.574954,5.286749,0.959461,0.999746,95.000000,0.574020,12.097424,3.188802,0.668533,-0.366069,-5.433931
22.000000,4.148148,0.259259,0.259259,0.259259,1.555556,0.933859,1.000000,28.000000,0.259259,4.148148,0.259259,0.000000,0.000000,0.000000
23.000000,1.262140,0.705882,0.638701,0.672292,0.868908,0.374923,0.956814,35.000000,0.675630,1.255462,0.675630,0.045378,0.030252,-0.045378
24.000000,0.500000,0.000000,0.000000,0.000000,0.166667,1.000000,1.000000,2.000000,0.000000,0.000000,0.500000,0.000000,0.000000,0.000000
25.000000,12.618733,2.680599,2.281887,2.481243,5.860406,0.774269,0.994788,353.000000,3.092229,3.984773,10.504217,0.735457,2.108904,3.596486
26.000000,35.277579,6.907581,1.952429,4.430005,14.712530,0.865117,0.915247,791.000000,12.256071,23.985367,7.896151,13.847868,2.402012,7.520296
27.000000,12.056088,7.873922,2.876758,5.375340,7.602256,0.542080,-0.153044,681.000000,8.035903,2.879261,11.891604,-0.058830,-0.807204,0.136810
28.000000,1.304348,1.208585,0.669306,0.938945,1.060746,0.312101,-0.912703,47.000000,1.254394,0.673451,1.254394,-0.033302,0.049954,0.033302
29.000000,4.048193,1.265060,0.674699,0.969880,1.995984,0.726608,0.880560,84.000000,1.265060,0.674699,4.048193,0.000000,0.000000,0.000000
30.000000,1.269841,1.269841,1.269841,1.269841,1.269841,0.000000,nan,64.000000,1.269841,1.269841,1.269841,0.000000,0.000000,0.000000
31.000000,1.879374,1.228389,1.103309,1.165849,1.403691,0.288489,0.899580,72.000000,1.211268,1.829225,1.170579,0.147887,-0.084507,-0.091549
32.000000,2.264811,1.380677,1.198404,1.289541,1.614631,0.339432,0.886351,87.000000,1.883186,1.754611,1.206095,-0.441059,-0.034483,-0.018043
33.000000,0.333333,0.333333,0.000000,0.166667,0.222222,0.707107,-1.000000,4.000000,0.333333,0.333333,0.000000,0.000000,0.000000,0.000000
34.000000,0.333333,0.333333,0.000000,0.166667,0.222222,0.707107,-1.000000,4.000000,0.333333,0.333333,0.000000,0.000000,0.000000,0.000000
