lesid,axcov,l2,l3,radcov,meancov,covfa,covpl,lesvol,sxx,syy,szz,sxy,sxz,syz
1.000000,0.727273,0.272727,0.272727,0.272727,0.424242,0.552158,1.000000,12.000000,0.727273,0.272727,0.272727,0.000000,0.000000,0.000000
2.000000,3.724717,1.228569,0.249162,0.738866,1.734150,0.789817,0.674627,50.000000,1.265306,3.683673,0.253469,-0.306122,-0.024490,-0.104082
3.000000,6.850060,4.164048,1.612663,2.888356,4.208924,0.554753,0.044504,264.000000,4.068081,4.798119,3.760571,0.064279,-1.170354,-2.280620
4.000000,15.658048,3.378421,1.680396,2.529408,6.905622,0.820223,0.944531,330.000000,7.827761,2.219223,10.669881,-1.402229,6.112462,-0.595772
5.000000,1.333333,1.130116,0.682928,0.906522,1.048792,0.307124,-0.597051,46.000000,0.688406,1.228986,1.228986,-0.034783,0.034783,0.104348
6.000000,2.760209,1.894305,1.818090,1.856197,2.157534,0.237934,0.976191,136.000000,1.902342,2.641776,1.928486,-0.159205,-0.017048,0.268682
7.000000,0.285714,0.285714,0.285714,0.285714,0.285714,0.000000,nan,8.000000,0.285714,0.285714,0.285714,0.000000,0.000000,0.000000
8.000000,1.285714,0.685714,0.685714,0.685714,0.885714,0.372572,1.000000,36.000000,0.685714,1.285714,0.685714,0.000000,0.000000,0.000000
9.000000,9.734089,2.330136,1.959021,2.144578,4.674415,0.744809,0.991951,246.000000,3.090626,6.005708,4.926912,-1.768508,-1.419446,3.452530
10.000000,0.333333,0.333333,0.000000,0.166667,0.222222,0.707107,-1.000000,4.000000,0.333333,0.333333,0.000000,0.000000,0.000000,0.000000
11.000000,78.457916,22.161892,2.354645,12.258268,34.324818,0.838455,0.724403,1198.000000,36.977266,47.103804,18.893383,-19.373893,-20.679075,23.487743
12.000000,10.911708,7.791255,3.223900,5.507577,7.308954,0.485646,-0.319034,649.000000,3.980873,9.568481,8.377509,-1.168978,-1.856363,1.214813
13.000000,20.973444,1.410639,0.960633,1.185636,7.781572,0.940544,0.998255,233.000000,1.515169,20.732056,1.097491,1.429795,-0.097269,-1.638930
14.000000,0.333333,0.333333,0.000000,0.166667,0.222222,0.707107,-1.000000,4.000000,0.333333,0.333333,0.000000,0.000000,0.000000,0.000000
15.000000,0.727273,0.272727,0.272727,0.272727,0.424242,0.552158,1.000000,12.000000,0.727273,0.272727,0.272727,0.000000,0.000000,0.000000
16.000000,0.750000,0.750000,0.000000,0.375000,0.500000,0.707107,-1.000000,9.000000,0.750000,0.750000,0.000000,0.000000,0.000000,0.000000
17.000000,0.800000,0.300000,0.000000,0.150000,0.366667,0.819288,0.416910,6.000000,0.300000,0.800000,0.000000,0.000000,0.000000,0.000000
18.000000,0.333333,0.333333,0.000000,0.166667,0.222222,0.707107,-1.000000,4.000000,0.333333,0.333333,0.000000,0.000000,0.000000,0.000000
19.000000,26.385779,3.365801,1.859918,2.612859,10.537166,0.892896,0.986515,334.000000,3.767025,21.962391,5.882083,2.782219,-1.501232,-8.940704
20.000000,0.705882,0.705882,0.264706,0.485294,0.558824,0.427179,-1.000000,18.000000,0.705882,0.705882,0.264706,0.000000,0.000000,0.000000
21.000000,5.600000,0.266667,0.000000,0.133333,1.955556,0.975955,0.991989,16.000000,0.000000,5.600000,0.266667,0.000000,0.000000,0.000000
22.000000,0.333333,0.333333,0.000000,0.166667,0.222222,0.707107,-1.000000,4.000000,0.333333,0.333333,0.000000,0.000000,0.000000,0.000000
23.000000,6.857143,1.285714,0.000000,0.642857,2.714286,0.904913,0.861851,36.000000,1.285714,6.857143,0.000000,0.000000,0.000000,0.000000
24.000000,28.894368,2.086527,1.191455,1.638991,10.724117,0.940412,0.996364,368.000000,2.272117,28.350188,1.550046,-2.766312,-0.562307,2.590562
25.000000,83.480203,8.525670,3.727236,6.126453,31.911037,0.922237,0.987066,1066.000000,5.078390,62.666551,27.988169,8.230925,-5.671668,-32.553552
26.000000,1.906605,0.904207,0.440255,0.672231,1.083689,0.602212,0.586502,38.000000,1.704836,0.942390,0.603841,-0.228307,-0.377667,0.221195
27.000000,11.289934,2.776624,2.316690,2.546657,5.461083,0.738288,0.990688,351.000000,2.508441,2.715523,11.159284,0.193586,-1.038006,-0.238209
28.000000,10.971872,10.081603,2.088141,6.084872,7.713872,0.563191,-0.962875,533.000000,5.809590,9.247528,8.084498,2.254380,-3.311413,2.197548
29.000000,1.999943,0.674219,0.256873,0.465546,0.977011,0.741445,0.768688,29.000000,0.677340,1.995074,0.258621,-0.073892,-0.018473,-0.036946
30.000000,1.363636,0.727273,0.000000,0.363636,0.696970,0.764706,-0.115157,12.000000,1.363636,0.727273,0.000000,0.000000,0.000000,0.000000
31.000000,0.727273,0.272727,0.272727,0.272727,0.424242,0.552158,1.000000,12.000000,0.272727,0.272727,0.727273,0.000000,0.000000,0.000000
32.000000,1.428571,0.285714,0.000000,0.142857,0.571429,0.898717,0.841698,8.000000,1.428571,0.285714,0.000000,0.000000,0.000000,0.000000
33.000000,5.276416,1.617281,0.253183,0.935232,2.382293,0.814379,0.698803,73.000000,2.586758,4.306697,0.253425,1.614916,-0.003425,0.023973
34.000000,0.800000,0.300000,0.000000,0.150000,0.366667,0.819288,0.416910,6.000000,0.800000,0.300000,0.000000,0.000000,0.000000,0.000000
