lesid,axcov,l2,l3,radcov,meancov,covfa,covpl,lesvol,sxx,syy,szz,sxy,sxz,syz,neurax,nxnorm,cmx,cmy,cmz
1.0,259.329504,98.267898,33.638737,65.953317,130.412046,0.720633,0.663568,11488.0,54.135479,248.21473,88.88593,-17.702617,26.393367,42.296809,16.957909282644465,0.30177598491440644,-36.86408046945692,-33.6052411156255,-4.598908747760049
2.0,0.727273,0.272727,0.272727,0.272727,0.424242,0.552158,1.0,12.0,0.272727,0.727273,0.272727,0.0,0.0,0.0,35.821215519611094,0.6374596310245222,-52.35171974522294,0.3240764331210215,-30.976433121019113
3.0,0.333333,0.333333,0.0,0.166667,0.222222,0.707107,-1.0,4.0,0.333333,0.0,0.333333,0.0,0.0,0.0,8.591138594524105,0.15288437198753455,-46.35171974522294,-36.67592356687898,6.023566878980887
4.0,5.529604,1.424148,0.557935,0.991042,2.503896,0.801803,0.881665,93.0,0.635577,2.372604,4.503506,0.132772,0.252805,-1.79418,40.6202060373621,0.7228604941823046,-43.92698856242724,4.926226970755437,-38.15385247585783
5.0,0.8,0.3,0.0,0.15,0.366667,0.819288,0.41691,6.0,0.8,0.0,0.3,0.0,0.0,0.0,1.5813650186013979,0.02814132202523534,-43.85171974522294,10.324076433121022,1.023566878980887
6.0,7.568617,1.786716,1.448487,1.617602,3.601273,0.753213,0.989135,196.0,7.389325,1.600078,1.814417,-0.901256,-0.476975,0.142151,3.2223675389260924,0.057343928523716545,-35.331311581957635,-2.86469907708306,1.6511178993890496
7.0,2.113524,1.569735,0.65366,1.111697,1.445639,0.471097,-0.424625,68.0,0.656716,1.820018,1.860184,-0.059701,0.014925,-0.270852,10.891453856592184,0.19381983710024703,-35.85171974522294,-1.7053353315848625,-6.549962532783809
8.0,1.266608,0.673071,0.25795,0.46551,0.732543,0.602511,0.300592,23.0,0.26087,1.256917,0.679842,0.035573,0.023715,-0.071146,19.651551489420626,0.34971093470145526,-34.37345887565772,-11.110706175574634,-13.43295486014955
9.0,2.045455,0.681818,0.681818,0.681818,1.136364,0.603023,1.0,45.0,0.681818,2.045455,0.681818,0.0,0.0,0.0,13.240832995961291,0.23562842281110957,-31.851719745222937,0.3240764331210215,17.523566878980887
10.0,2.083333,1.866257,0.661521,1.263889,1.537037,0.461582,-0.910399,73.0,1.972222,0.666667,1.972222,0.055556,-0.111111,0.055556,3.2293041801817957,0.0574673701409612,-28.851719745222937,-2.6759235668789785,7.523566878980887
11.0,241.753722,37.765723,8.450554,23.108139,95.99,0.899045,0.94047,3187.0,38.021727,193.818885,56.129387,-63.780006,10.582992,-68.632449,2.3243462090874933,0.041363109970597854,-23.15325724130075,20.65071590597951,-4.881830046026948
12.0,3.787723,1.854455,0.665627,1.260041,2.102602,0.639254,0.39899,98.0,1.907111,3.731538,0.669156,-0.319377,0.030612,0.083105,53.59837137108023,0.9538145912167266,-26.841515663590286,-15.69633173014428,-48.44582087612116
13.0,7.650766,4.109444,1.400033,2.754738,4.386747,0.617192,0.228043,288.0,4.270023,3.520313,5.369907,0.574998,-2.704982,1.145676,36.83845924335117,0.655562082306287,-24.16074752300071,-4.012729122434536,-34.334072009908
14.0,5.924055,2.764809,1.82331,2.29406,3.504058,0.548174,0.78824,242.0,3.075769,2.158654,5.277751,0.375827,1.354978,-0.258685,26.419221004354306,0.47014560028458363,-19.2360172658841,36.8571342843607,20.378938779807328
15.0,0.285714,0.285714,0.285714,0.285714,0.285714,0.0,,8.0,0.285714,0.285714,0.285714,0.0,0.0,0.0,5.286799830858611,0.09408171723359278,-16.351719745222937,-2.1759235668789785,8.023566878980887
