lesid,axcov,l2,l3,radcov,meancov,covfa,covpl,lesvol,sxx,syy,szz,sxy,sxz,syz,neurax,nxnorm,cmx,cmy,cmz
1.0,0.333704,0.333333,0.0,0.166667,0.222346,0.707107,-0.999996,4.002225,0.333704,0.333333,0.0,0.0,0.0,0.0,14.287175822327137,0.2748515953940292,-10.004851683127612,-54.67826704545453,-3.958806818181813
2.0,3.900683,2.748687,2.271303,2.509995,2.973558,0.274529,0.647204,220.122371,2.763782,2.668721,3.488169,-0.01759,0.201648,-0.678082,11.674313722778315,0.2245862857529659,-7.107786597413096,-37.628267045454535,19.177556818181813
3.0,1.290665,0.750418,0.527828,0.639123,0.856304,0.429082,0.650179,33.018356,0.656032,1.257576,0.655303,0.10991,0.09475,-0.109848,15.002281655224042,0.28860854648720025,-5.532668531449005,18.33688446969697,12.071496212121218
4.0,0.333704,0.333333,0.0,0.166667,0.222346,0.707107,-0.999996,4.002225,0.333704,0.0,0.333333,0.0,0.0,0.0,6.077039171594901,0.11690791324725276,-6.002626760947436,18.821732954545467,-9.458806818181813
5.0,0.705882,0.705882,0.265,0.485441,0.558922,0.426862,-1.0,18.010012,0.265,0.705882,0.705882,0.0,0.0,0.0,10.305979563371597,0.1982627609764768,-5.002070530402392,-50.17826704545453,20.041193181818187
6.0,3.715797,0.682542,0.62962,0.656081,1.675987,0.798957,0.998991,58.032261,0.662563,3.69994,0.665457,-0.097453,-0.019975,-0.197822,5.793910964421664,0.1114611937268696,-3.4322323066162,31.95966398902823,0.07567594043888448
7.0,1.430161,0.285714,0.0,0.142857,0.571958,0.898827,0.842069,8.00445,1.430161,0.285714,0.0,0.0,0.0,0.0,17.40811251568934,0.3348910629530311,1.0012668528678716,-68.67826704545453,-4.958806818181813
8.0,3.021937,1.764695,0.24059,1.002643,1.675741,0.687742,-0.165254,53.02948,2.945945,1.82656,0.254717,-0.299513,-0.082412,-0.125181,24.197014162856,0.4654935327414221,3.936861076448139,15.80286503001716,21.531759219554033
9.0,7.234177,1.877378,0.906814,1.392096,3.339456,0.783973,0.909513,153.085103,1.903044,6.380031,1.735294,-0.492921,0.051886,-2.103715,26.1759688550617,0.5035639576545973,4.522832409394056,7.449183934937622,25.08040886809269
10.0,1.304348,0.696426,0.26087,0.478648,0.753881,0.604597,0.28139,24.01335,0.696426,1.304348,0.26087,0.0,0.0,0.0,22.802390579911194,0.43866426140653053,3.5026574292304815,24.321732954545467,18.541193181818187
11.0,0.823636,0.652147,0.382613,0.51738,0.619465,0.344408,-0.373667,20.011125,0.450501,0.681579,0.726316,0.071092,-0.142184,-0.047368,32.880902463541034,0.6325510802475506,5.153575209629807,-30.128267045454535,-28.058806818181807
12.0,0.333704,0.333333,0.0,0.166667,0.222346,0.707107,-0.999996,4.002225,0.333704,0.333333,0.0,0.0,0.0,0.0,11.202787517550643,0.2155152327059118,12.007385388863355,-16.678267045454533,14.041193181818187
13.0,1.960591,1.343645,0.964632,1.154139,1.422956,0.339436,0.3997,71.039492,1.136474,1.185111,1.947284,0.189039,0.100861,0.003421,4.962185128714399,0.09546074859219646,26.07858815223274,26.21609915172857,-0.8602152688860372
14.0,2.978723,1.276596,0.255603,0.7661,1.503641,0.732971,0.417111,48.026699,0.255603,2.978723,1.276596,0.0,0.0,0.0,8.47690264512563,0.16307563125048363,32.018509999764234,-66.67826704545453,2.541193181818187
15.0,3.357757,1.866868,1.255271,1.56107,2.159965,0.46345,0.652415,124.068973,1.260515,2.582415,2.636966,-0.048152,0.030833,0.747509,0.017486037155815204,0.000336390149401287,36.053010929381344,-47.57342833577711,7.468612536656906
16.0,1.304348,0.696426,0.26087,0.478648,0.753881,0.604597,0.28139,24.01335,0.696426,1.304348,0.26087,0.0,0.0,0.0,7.598805065663945,0.1461831030400085,37.521569267761976,-57.67826704545453,1.541193181818187
17.0,0.286032,0.285714,0.285714,0.285714,0.28582,0.000642,1.0,8.00445,0.286032,0.285714,0.285714,0.0,0.0,0.0,2.2093129719387523,0.04250197538082667,38.0218473830345,-25.678267045454533,5.541193181818187
18.0,16.825706,2.022322,1.09887,1.560596,6.648966,0.900111,0.987697,255.141839,1.925098,16.507117,1.514683,-1.687753,-0.270183,-1.427142,15.099301940159803,0.2904749881431155,46.781619087708265,-17.817482731729044,-13.888218582887703
