lesid,axcov,l2,l3,radcov,meancov,covfa,covpl,lesvol,sxx,syy,szz,sxy,sxz,syz
1.000000,0.500000,0.000000,0.000000,0.000000,0.166667,1.000000,1.000000,2.000000,0.500000,0.000000,0.000000,0.000000,0.000000,0.000000
2.000000,1.000000,0.000000,0.000000,0.000000,0.333333,1.000000,1.000000,3.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000
3.000000,0.500000,0.000000,0.000000,0.000000,0.166667,1.000000,1.000000,2.000000,0.000000,0.500000,0.000000,0.000000,0.000000,0.000000
4.000000,0.333333,0.333333,0.000000,0.166667,0.222222,0.707107,-1.000000,4.000000,0.333333,0.333333,0.000000,0.000000,0.000000,0.000000
5.000000,0.727273,0.272727,0.272727,0.272727,0.424242,0.552158,1.000000,12.000000,0.272727,0.272727,0.727273,0.000000,0.000000,0.000000
6.000000,1.363636,0.727273,0.000000,0.363636,0.696970,0.764706,-0.115157,12.000000,0.727273,1.363636,0.000000,0.000000,0.000000,0.000000
7.000000,1.363636,0.727273,0.000000,0.363636,0.696970,0.764706,-0.115157,12.000000,0.727273,1.363636,0.000000,0.000000,0.000000,0.000000
8.000000,19.411096,2.331999,1.177844,1.754922,7.640313,0.902907,0.985644,242.000000,2.329293,10.978447,9.613199,-0.024982,0.053239,9.089657
9.000000,0.333333,0.333333,0.000000,0.166667,0.222222,0.707107,-1.000000,4.000000,0.333333,0.333333,0.000000,0.000000,0.000000,0.000000
10.000000,0.727273,0.272727,0.272727,0.272727,0.424242,0.552158,1.000000,12.000000,0.272727,0.272727,0.727273,0.000000,0.000000,0.000000
11.000000,0.692308,0.692308,0.692308,0.692308,0.692308,0.000000,1.414214,27.000000,0.692308,0.692308,0.692308,0.000000,0.000000,0.000000
12.000000,0.333333,0.333333,0.000000,0.166667,0.222222,0.707107,-1.000000,4.000000,0.333333,0.333333,0.000000,0.000000,0.000000,0.000000
13.000000,2.040940,0.779538,0.680851,0.730195,1.167110,0.574000,0.980983,48.000000,1.132979,1.687500,0.680851,0.566489,0.000000,0.000000
14.000000,0.750000,0.750000,0.000000,0.375000,0.500000,0.707107,-1.000000,9.000000,0.750000,0.750000,0.000000,0.000000,0.000000,0.000000
15.000000,0.333333,0.333333,0.000000,0.166667,0.222222,0.707107,-1.000000,4.000000,0.333333,0.333333,0.000000,0.000000,0.000000,0.000000
16.000000,2.142857,0.714286,0.000000,0.357143,0.952381,0.836660,0.539949,15.000000,2.142857,0.714286,0.000000,0.000000,0.000000,0.000000
