lesid,axcov,l2,l3,radcov,meancov,covfa,covpl,lesvol,sxx,syy,szz,sxy,sxz,syz
1.000000,3.654259,0.268562,0.237179,0.252870,1.386667,0.926388,0.999713,25.000000,3.643333,0.260000,0.256667,0.048333,0.186667,-0.011667
2.000000,1.428571,0.285714,0.000000,0.142857,0.571429,0.898717,0.841698,8.000000,1.428571,0.285714,0.000000,0.000000,0.000000,0.000000
3.000000,5.664118,1.523939,0.000000,0.761970,2.396019,0.865511,0.704582,34.000000,1.568627,5.619430,0.000000,0.427807,0.000000,0.000000
4.000000,0.800000,0.300000,0.000000,0.150000,0.366667,0.819288,0.416910,6.000000,0.800000,0.300000,0.000000,0.000000,0.000000,0.000000
5.000000,0.800000,0.300000,0.000000,0.150000,0.366667,0.819288,0.416910,6.000000,0.300000,0.000000,0.800000,0.000000,0.000000,0.000000
6.000000,4.666667,0.000000,0.000000,0.000000,1.555556,1.000000,1.000000,7.000000,0.000000,4.666667,0.000000,0.000000,0.000000,0.000000
7.000000,35.999933,1.044021,0.994019,1.019020,12.679324,0.970916,0.999993,222.000000,1.753394,30.158432,6.126147,-4.608597,-1.957014,12.202458
8.000000,5.600000,0.266667,0.000000,0.133333,1.955556,0.975955,0.991989,16.000000,0.266667,5.600000,0.000000,0.000000,0.000000,0.000000
9.000000,0.705882,0.705882,0.264706,0.485294,0.558824,0.427179,-1.000000,18.000000,0.705882,0.705882,0.264706,0.000000,0.000000,0.000000
10.000000,0.333333,0.333333,0.000000,0.166667,0.222222,0.707107,-1.000000,4.000000,0.333333,0.333333,0.000000,0.000000,0.000000,0.000000
11.000000,1.428571,0.285714,0.000000,0.142857,0.571429,0.898717,0.841698,8.000000,0.285714,1.428571,0.000000,0.000000,0.000000,0.000000
12.000000,0.800000,0.300000,0.000000,0.150000,0.366667,0.819288,0.416910,6.000000,0.300000,0.800000,0.000000,0.000000,0.000000,0.000000
13.000000,0.500000,0.000000,0.000000,0.000000,0.166667,1.000000,1.000000,2.000000,0.000000,0.500000,0.000000,0.000000,0.000000,0.000000
14.000000,0.500000,0.000000,0.000000,0.000000,0.166667,1.000000,1.000000,2.000000,0.500000,0.000000,0.000000,0.000000,0.000000,0.000000
15.000000,0.800000,0.300000,0.000000,0.150000,0.366667,0.819288,0.416910,6.000000,0.300000,0.800000,0.000000,0.000000,0.000000,0.000000
16.000000,0.500000,0.000000,0.000000,0.000000,0.166667,1.000000,1.000000,2.000000,0.000000,0.500000,0.000000,0.000000,0.000000,0.000000
17.000000,0.333333,0.333333,0.000000,0.166667,0.222222,0.707107,-1.000000,4.000000,0.333333,0.333333,0.000000,0.000000,0.000000,0.000000
