lesid,axcov,l2,l3,radcov,meancov,covfa,covpl,lesvol,sxx,syy,szz,sxy,sxz,syz
1.000000,1.707571,0.809233,0.380632,0.594932,0.965812,0.608495,0.568611,27.000000,1.062678,1.310541,0.524217,-0.364672,0.283476,-0.289174
2.000000,14.323970,2.408281,0.883818,1.646049,5.872023,0.875934,0.951941,212.000000,1.654386,6.276200,9.685482,-2.014978,-2.251766,5.364683
3.000000,16.317581,4.424724,3.435736,3.930230,8.059347,0.719721,0.978632,659.000000,8.756285,11.413711,4.008044,-5.653883,-1.700423,1.568518
4.000000,57.557363,10.029140,4.568881,7.299011,24.051795,0.861395,0.960658,1539.000000,4.975679,42.872501,24.307205,-0.508531,-1.379318,-22.094538
5.000000,9.936427,0.737584,0.459961,0.598772,3.711324,0.936475,0.997019,77.000000,0.563226,9.685919,0.884826,-0.866883,-0.041183,1.237867
6.000000,1.723149,0.896187,0.564638,0.730413,1.061325,0.510921,0.663997,40.000000,1.009615,1.035897,1.138462,-0.128205,-0.423077,0.394872
7.000000,1.923101,0.316535,0.260364,0.288449,0.833333,0.831705,0.996020,18.000000,0.261438,1.320261,0.918301,0.026144,0.013072,0.777778
8.000000,111.056593,2.341701,0.247337,1.294519,37.881877,0.988256,0.998772,346.000000,3.393558,110.004063,0.248010,-10.644810,-0.027586,-0.084971
9.000000,1.392857,1.106021,0.244965,0.675493,0.914614,0.576336,-0.746965,29.000000,1.243842,1.243842,0.256158,-0.149015,-0.068966,-0.068966
10.000000,2.105263,0.263158,0.263158,0.263158,0.877193,0.861640,1.000000,20.000000,2.105263,0.263158,0.263158,0.000000,0.000000,0.000000
11.000000,247.380492,6.376302,5.141600,5.758951,86.299465,0.976195,0.999912,1385.000000,5.207042,240.174744,13.516609,2.938998,0.323236,40.945068
12.000000,0.333333,0.333333,0.000000,0.166667,0.222222,0.707107,-1.000000,4.000000,0.333333,0.333333,0.000000,0.000000,0.000000,0.000000
13.000000,109.595323,2.273250,0.572390,1.422820,37.480321,0.986883,0.999166,487.000000,2.321190,109.545010,0.574763,2.306813,-0.059151,-0.276422
14.000000,0.333333,0.333333,0.000000,0.166667,0.222222,0.707107,-1.000000,4.000000,0.333333,0.333333,0.000000,0.000000,0.000000,0.000000
15.000000,0.285714,0.285714,0.285714,0.285714,0.285714,0.000000,nan,8.000000,0.285714,0.285714,0.285714,0.000000,0.000000,0.000000
16.000000,0.727273,0.272727,0.272727,0.272727,0.424242,0.552158,1.000000,12.000000,0.272727,0.727273,0.272727,0.000000,0.000000,0.000000
17.000000,0.727273,0.272727,0.272727,0.272727,0.424242,0.552158,1.000000,12.000000,0.272727,0.272727,0.727273,0.000000,0.000000,0.000000
18.000000,61.006929,16.254315,8.006757,12.130536,28.422667,0.776161,0.906733,2789.000000,9.860741,47.424294,27.982967,4.543257,1.016209,-20.945934
19.000000,18.453385,2.398315,0.912120,1.655217,7.254607,0.904271,0.973800,267.000000,1.088958,16.780012,3.894849,0.486314,-0.334460,4.923925
20.000000,25.406637,5.408635,4.401907,4.905271,11.739060,0.778853,0.991883,758.000000,13.751519,16.115935,5.349726,9.673722,2.848461,2.577875
21.000000,9.775657,6.511193,2.170703,4.340948,6.152518,0.553227,-0.242096,452.000000,2.427109,7.412412,8.618032,0.763922,-1.140391,-1.377995
22.000000,0.727273,0.272727,0.272727,0.272727,0.424242,0.552158,1.000000,12.000000,0.272727,0.272727,0.727273,0.000000,0.000000,0.000000
23.000000,0.500000,0.000000,0.000000,0.000000,0.166667,1.000000,1.000000,2.000000,0.500000,0.000000,0.000000,0.000000,0.000000,0.000000
24.000000,2.500000,0.000000,0.000000,0.000000,0.833333,1.000000,1.000000,5.000000,2.500000,0.000000,0.000000,0.000000,0.000000,0.000000
25.000000,0.703889,0.300000,0.232475,0.266237,0.412121,0.552141,0.921645,11.000000,0.272727,0.272727,0.690909,-0.027273,-0.054545,-0.054545
26.000000,2.766634,0.970208,0.000000,0.485104,1.245614,0.829290,0.490111,20.000000,2.536842,0.000000,1.200000,0.000000,-0.600000,0.000000
