lesid,axcov,l2,l3,radcov,meancov,covfa,covpl,lesvol,sxx,syy,szz,sxy,sxz,syz,neurax,nxnorm,cmx,cmy,cmz
1.0,0.333333,0.333333,0.0,0.166667,0.222222,0.707107,-1.0,4.0,0.333333,0.0,0.333333,0.0,0.0,0.0,7.7128622082511615,0.16210554012108103,-52.18869084204057,1.732329440688389,-6.370006146281497
2.0,0.285714,0.285714,0.285714,0.285714,0.285714,0.0,,8.0,0.285714,0.285714,0.285714,0.0,0.0,0.0,9.646742645149688,0.2027509872052589,-49.18869084204057,10.232329440688389,11.629993853718503
3.0,0.727273,0.272727,0.272727,0.272727,0.424242,0.552158,1.0,12.0,0.727273,0.272727,0.272727,0.0,0.0,0.0,15.708037745499787,0.33014461742263385,-45.68869084204057,23.23232944068839,18.629993853718503
4.0,0.692308,0.692308,0.692308,0.692308,0.692308,0.0,1.414214,27.0,0.692308,0.692308,0.692308,0.0,0.0,0.0,5.250732202740712,0.11035757631529557,-43.68869084204057,23.73232944068839,8.129993853718503
5.0,0.705882,0.705882,0.264706,0.485294,0.558824,0.427179,-1.0,18.0,0.705882,0.705882,0.264706,0.0,0.0,0.0,8.736967643717838,0.18362973701126542,-40.68869084204057,-1.267670559311611,9.629993853718503
6.0,9.700486,1.669226,0.483195,1.076211,3.950969,0.88131,0.937431,111.0,2.857658,8.11122,0.884029,2.785667,-0.85086,-1.644963,24.96248811523636,0.524650578401035,-38.07607822942796,36.85845556681453,-21.302438578713918
7.0,3.965005,0.660774,0.252427,0.4566,1.626068,0.875504,0.954929,40.0,0.664103,3.958333,0.255769,0.134615,0.026923,-0.067308,21.82434791274575,0.45869453008006217,-38.638690842040575,7.607329440688389,-20.395006146281503
8.0,0.333333,0.333333,0.0,0.166667,0.222222,0.707107,-1.0,4.0,0.333333,0.333333,0.0,0.0,0.0,0.0,1.0021803923467338,0.021063385992599062,-31.18869084204057,-33.76767055931161,-2.870006146281497
9.0,0.727273,0.272727,0.272727,0.272727,0.424242,0.552158,1.0,12.0,0.272727,0.272727,0.727273,0.0,0.0,0.0,19.450771416753,0.4088077449265579,-22.18869084204057,-24.76767055931161,18.129993853718503
10.0,0.285714,0.285714,0.285714,0.285714,0.285714,0.0,,8.0,0.285714,0.285714,0.285714,0.0,0.0,0.0,19.747037902484646,0.41503454340843987,-17.18869084204057,70.23232944068839,25.629993853718503
11.0,2.047625,1.469747,0.865146,1.167446,1.460839,0.384316,-0.03913,66.0,1.171096,1.97669,1.234732,0.22704,-0.2662,0.16317,1.1715180371725218,0.02462245001269133,-15.26444841779815,56.883844592203545,3.5693877931124405
