lesid,axcov,l2,l3,radcov,meancov,covfa,covpl,lesvol,sxx,syy,szz,sxy,sxz,syz
1.000000,0.500000,0.000000,0.000000,0.000000,0.166667,1.000000,1.000000,2.000000,0.000000,0.500000,0.000000,0.000000,0.000000,0.000000
2.000000,2.233693,1.982441,1.338063,1.660252,1.851399,0.244503,-0.677669,109.000000,1.898913,1.906048,1.749235,0.079935,-0.317363,0.313795
3.000000,1.285714,0.685714,0.685714,0.685714,0.885714,0.372572,1.000000,36.000000,0.685714,1.285714,0.685714,0.000000,0.000000,0.000000
4.000000,0.333333,0.333333,0.000000,0.166667,0.222222,0.707107,-1.000000,4.000000,0.000000,0.333333,0.333333,0.000000,0.000000,0.000000
5.000000,0.333333,0.333333,0.000000,0.166667,0.222222,0.707107,-1.000000,4.000000,0.333333,0.000000,0.333333,0.000000,0.000000,0.000000
6.000000,148.590421,11.017647,2.106714,6.562181,53.904927,0.954531,0.986770,1102.000000,2.219326,108.039693,51.455763,-2.814945,0.985731,-62.697498
7.000000,0.727273,0.272727,0.272727,0.272727,0.424242,0.552158,1.000000,12.000000,0.272727,0.727273,0.272727,0.000000,0.000000,0.000000
8.000000,44.442077,4.601043,1.654488,3.127766,16.899203,0.925807,0.982925,525.000000,4.601599,39.987263,6.108746,-0.174918,-0.032606,13.066543
9.000000,1.304348,0.695652,0.260870,0.478261,0.753623,0.604791,0.283833,24.000000,0.695652,1.304348,0.260870,0.000000,0.000000,0.000000
10.000000,61.041589,11.706757,1.995382,6.851069,24.914576,0.881858,0.895203,890.000000,2.613730,29.049021,43.080977,1.566522,1.849016,-23.965723
11.000000,0.333333,0.333333,0.000000,0.166667,0.222222,0.707107,-1.000000,4.000000,0.333333,0.333333,0.000000,0.000000,0.000000,0.000000
12.000000,104.619431,4.749539,3.492484,4.121011,37.620484,0.959144,0.999472,1062.000000,8.263806,100.156610,4.441037,19.717051,0.681001,6.409732
13.000000,1.982363,1.138008,0.669888,0.903948,1.263420,0.483684,0.472434,56.000000,1.188312,0.672403,1.929545,0.029221,0.204545,-0.020455
14.000000,1.368062,0.639752,0.235043,0.437397,0.747619,0.650648,0.470872,21.000000,0.628571,1.357143,0.257143,0.085714,0.085714,-0.042857
15.000000,0.727273,0.272727,0.272727,0.272727,0.424242,0.552158,1.000000,12.000000,0.272727,0.727273,0.272727,0.000000,0.000000,0.000000
