lesid,axcov,l2,l3,radcov,meancov,covfa,covpl,lesvol,sxx,syy,szz,sxy,sxz,syz
1.000000,0.333452,0.333333,0.000000,0.166667,0.222262,0.707107,-1.000000,4.000712,0.333452,0.000000,0.333333,0.000000,0.000000,0.000000
2.000000,0.727273,0.272824,0.272727,0.272776,0.424275,0.552077,1.000000,12.002137,0.272824,0.727273,0.272727,0.000000,0.000000,0.000000
3.000000,2.498528,0.666785,0.513109,0.589947,1.226141,0.725697,0.978269,40.007124,0.609833,2.458974,0.609615,0.196189,0.057061,-0.196154
4.000000,2.855916,1.239765,0.893721,1.066743,1.663134,0.560056,0.878601,80.014248,2.674370,1.236551,1.078481,-0.037981,0.567190,0.025316
5.000000,0.500000,0.000000,0.000000,0.000000,0.166667,1.000000,1.000000,2.000356,0.000000,0.500000,0.000000,0.000000,0.000000,0.000000
6.000000,0.333452,0.333333,0.000000,0.166667,0.222262,0.707107,-1.000000,4.000712,0.333452,0.333333,0.000000,0.000000,0.000000,0.000000
7.000000,0.333452,0.333333,0.000000,0.166667,0.222262,0.707107,-1.000000,4.000712,0.333452,0.333333,0.000000,0.000000,0.000000,0.000000
8.000000,10.262999,0.703701,0.245122,0.474412,3.737274,0.952053,0.992610,59.010508,0.704517,10.256575,0.250731,-0.171860,-0.028936,-0.183226
9.000000,0.727273,0.272824,0.272727,0.272776,0.424275,0.552077,1.000000,12.002137,0.272824,0.272727,0.727273,0.000000,0.000000,0.000000
10.000000,3.729752,2.552121,1.281742,1.916931,2.521205,0.451413,-0.065565,149.026537,1.634720,2.412480,3.516416,0.614430,-0.059778,-0.473018
11.000000,0.333452,0.333333,0.000000,0.166667,0.222262,0.707107,-1.000000,4.000712,0.333452,0.333333,0.000000,0.000000,0.000000,0.000000
12.000000,3.571656,0.932532,0.455911,0.694222,1.653367,0.781541,0.910033,50.008905,2.572345,0.542449,1.845306,0.330671,1.236955,0.345714
13.000000,0.800000,0.300107,0.000000,0.150053,0.366702,0.819234,0.416498,6.001069,0.300107,0.000000,0.800000,0.000000,0.000000,0.000000
14.000000,1.988628,1.214816,0.560567,0.887691,1.254670,0.516598,0.144394,53.009439,1.644272,1.058055,1.061684,-0.040283,-0.495371,0.387518
15.000000,0.333333,0.333333,0.000000,0.166667,0.222222,0.707107,-1.000000,4.000712,0.000000,0.333333,0.333333,0.000000,0.000000,0.000000
