lesid,axcov,l2,l3,radcov,meancov,covfa,covpl,lesvol,sxx,syy,szz,sxy,sxz,syz
1.000000,4.701409,1.685133,0.845582,1.265357,2.410708,0.693362,0.810626,114.022043,4.461358,1.691430,1.079336,-0.132536,0.919290,-0.038659
2.000000,0.285825,0.285714,0.285714,0.285714,0.285751,0.000223,1.000000,8.001547,0.285825,0.285714,0.285714,0.000000,0.000000,0.000000
3.000000,9.280975,3.054796,0.657846,1.856321,4.331206,0.787241,0.683776,195.037705,8.787854,3.545969,0.659794,-1.680658,-0.082490,-0.036082
4.000000,1.413917,1.043336,0.245176,0.644256,0.900810,0.583072,-0.584680,29.005607,1.185187,1.258621,0.258621,-0.188460,0.081297,0.062808
5.000000,4.788042,3.453681,1.888509,2.671095,3.376744,0.405546,-0.137344,244.047179,3.041249,3.822101,3.266883,-0.315382,-1.252080,0.526884
6.000000,0.750145,0.623864,0.258608,0.441236,0.544206,0.438037,-0.731801,17.003287,0.684088,0.683824,0.264706,-0.066189,0.033095,0.033088
7.000000,1.285714,0.685979,0.685714,0.685847,0.885803,0.372464,0.999999,36.006961,0.685979,0.685714,1.285714,0.000000,0.000000,0.000000
8.000000,6.066996,1.865456,1.006468,1.435962,2.979640,0.729841,0.887998,148.028617,1.086419,5.962999,1.889502,0.569930,0.063535,-0.409726
9.000000,2.735080,1.646052,1.203219,1.424635,1.861450,0.400245,0.656894,105.020303,1.211641,1.870513,2.502198,0.056421,-0.097821,-0.438462
10.000000,0.333462,0.333333,0.000000,0.166667,0.222265,0.707107,-0.999999,4.000773,0.333462,0.333333,0.000000,0.000000,0.000000,0.000000
11.000000,0.727554,0.272727,0.272727,0.272727,0.424336,0.552333,1.000000,12.002320,0.727554,0.272727,0.272727,0.000000,0.000000,0.000000
12.000000,0.706155,0.705882,0.264706,0.485294,0.558915,0.427234,-0.999999,18.003480,0.706155,0.705882,0.264706,0.000000,0.000000,0.000000
13.000000,5.629331,3.657893,1.180937,2.419415,3.489387,0.566380,-0.195286,210.040605,5.576638,3.707656,1.183869,0.309151,0.110069,0.028708
14.000000,1.363903,1.352775,0.888662,1.120719,1.201780,0.221949,-0.998107,56.010828,1.216055,1.215584,1.173701,0.148081,-0.159771,0.159740
15.000000,3.206580,1.327534,0.908853,1.118193,1.814322,0.590829,0.869936,76.014695,1.318931,3.135965,0.988070,0.044395,-0.073698,-0.390877
16.000000,2.908514,0.692442,0.651118,0.671780,1.417358,0.731080,0.998848,53.010248,0.672974,2.906386,0.672714,-0.048994,0.019597,0.048984
17.000000,3.922807,1.265542,0.663992,0.964767,1.950780,0.719411,0.866332,82.015855,1.265771,3.920506,0.666064,-0.037948,-0.012649,-0.075881
18.000000,0.333462,0.333333,0.000000,0.166667,0.222265,0.707107,-0.999999,4.000773,0.333462,0.333333,0.000000,0.000000,0.000000,0.000000
19.000000,1.947337,1.238410,1.107844,1.173127,1.431197,0.305646,0.906839,74.014308,1.903179,1.212144,1.178267,0.115905,0.147196,-0.039985
20.000000,1.363636,0.727554,0.000000,0.363777,0.697063,0.764647,-0.115866,12.002320,0.727554,1.363636,0.000000,0.000000,0.000000,0.000000
21.000000,0.727273,0.272833,0.272727,0.272780,0.424278,0.552070,1.000000,12.002320,0.272833,0.272727,0.727273,0.000000,0.000000,0.000000
22.000000,5.917239,0.964856,0.471979,0.718417,2.451358,0.867371,0.969952,67.012955,1.000387,5.761646,0.592040,0.863803,-0.181853,0.174808
23.000000,5.117727,1.267352,0.655902,0.961627,2.346994,0.788581,0.928596,92.017789,1.264225,5.117415,0.659341,0.016487,0.043965,-0.032967
24.000000,2.899576,0.691103,0.595694,0.643398,1.395457,0.742725,0.993976,50.009668,0.646781,0.651429,2.888163,0.044090,0.154316,-0.046531
25.000000,26.214919,8.024656,4.918323,6.471490,13.052633,0.715386,0.918603,990.191424,5.390722,8.212270,25.554906,0.724592,2.910219,2.032691
26.000000,1.333333,0.266770,0.266667,0.266718,0.622257,0.769752,1.000000,16.003094,0.266770,1.333333,0.266667,0.000000,0.000000,0.000000
27.000000,3.014167,2.828873,1.160067,1.994470,2.334369,0.411967,-0.963088,135.026103,2.888679,1.186070,2.928358,-0.179637,0.103005,0.102985
28.000000,2.166371,0.236212,0.031279,0.133745,0.811287,0.936187,0.966060,6.001160,1.367195,0.800000,0.266667,0.800155,-0.533436,-0.400000
29.000000,1.277089,1.276596,0.680851,0.978723,1.078179,0.308832,-0.999998,48.009281,1.277089,1.276596,0.680851,0.000000,0.000000,0.000000
30.000000,16.797107,4.775671,2.736869,3.756270,8.103216,0.744503,0.919603,625.120848,4.405293,14.536882,5.367472,4.378513,1.201989,2.415644
31.000000,0.727554,0.272727,0.272727,0.272727,0.424336,0.552333,1.000000,12.002320,0.727554,0.272727,0.272727,0.000000,0.000000,0.000000
32.000000,0.500000,0.000000,0.000000,0.000000,0.166667,1.000000,1.000000,2.000387,0.000000,0.000000,0.500000,0.000000,0.000000,0.000000
33.000000,2.187760,0.440514,0.249157,0.344835,0.959143,0.824018,0.964026,22.004254,2.087387,0.536797,0.253247,0.398345,0.086597,0.017316
