lesid,axcov,l2,l3,radcov,meancov,covfa,covpl,lesvol,sxx,syy,szz,sxy,sxz,syz,neurax,nxnorm,cmx,cmy,cmz
1.0,1.333333,0.266667,0.266667,0.266667,0.622222,0.7698,1.0,16.0,1.333333,0.266667,0.266667,0.0,0.0,0.0,15.692862473811871,0.25260996420858106,-76.58980740099545,-5.6335208829257795,-7.97846786409869
2.0,0.692308,0.692308,0.692308,0.692308,0.692308,0.0,1.414214,27.0,0.692308,0.692308,0.692308,0.0,0.0,0.0,3.3868872104370547,0.054519145785847524,-75.08980740099545,11.86647911707422,2.5215321359013103
3.0,0.705882,0.705882,0.264706,0.485294,0.558824,0.427179,-1.0,18.0,0.705882,0.264706,0.705882,0.0,0.0,0.0,17.802439650343317,0.2865680910925799,-73.08980740099545,14.36647911707422,-12.47846786409869
4.0,0.285714,0.285714,0.285714,0.285714,0.285714,0.0,,8.0,0.285714,0.285714,0.285714,0.0,0.0,0.0,30.866359984455762,0.49685964583799624,-71.58980740099545,-3.6335208829257795,-23.97846786409869
5.0,2.908514,0.692308,0.650993,0.67165,1.417271,0.731136,0.998849,53.0,2.906386,0.672714,0.672714,-0.048984,-0.048984,-0.019594,3.3098348551894508,0.05327882441466583,-67.63697721231621,5.847611192545912,2.502664211373002
6.0,0.75,0.75,0.0,0.375,0.5,0.707107,-1.0,9.0,0.75,0.75,0.0,0.0,0.0,0.0,32.96848283667464,0.5306977795339493,-67.08980740099545,-4.1335208829257795,-26.47846786409869
7.0,137.016088,21.705339,3.746539,12.725939,54.155989,0.902607,0.931072,1951.0,12.933885,128.443274,21.090807,0.139889,9.266082,-31.440617,43.630908702263056,0.7023321783428169,-57.18565568392729,-4.835212323212815,-38.11557703888084
8.0,0.727273,0.272727,0.272727,0.272727,0.424242,0.552158,1.0,12.0,0.727273,0.272727,0.272727,0.0,0.0,0.0,13.095440238012387,0.21079893456916166,-65.08980740099545,9.36647911707422,-7.97846786409869
9.0,0.8,0.3,0.0,0.15,0.366667,0.819288,0.41691,6.0,0.8,0.3,0.0,0.0,0.0,0.0,8.140791649681551,0.1310433383767526,-64.08980740099545,13.36647911707422,-3.4784678640986897
10.0,7.999301,4.167678,1.408849,2.788264,4.525276,0.627943,0.277429,294.0,3.197383,5.684846,4.693599,-1.406306,2.386153,-1.309535,40.40182467508231,0.6503532100765836,-54.35171216290021,-35.43284061081694,-32.00908010899664
11.0,3.821105,1.161182,0.513867,0.837525,1.832051,0.75394,0.84875,65.0,1.164904,3.741346,0.589904,-0.100481,0.030529,-0.494231,50.41351952606464,0.811512710594373,-55.42826893945699,19.57417142476652,-47.61692940256023
12.0,0.5,0.0,0.0,0.0,0.166667,1.0,1.0,2.0,0.0,0.5,0.0,0.0,0.0,0.0,47.968863315119535,0.7721607747076168,-57.089807400995454,24.36647911707422,-45.47846786409869
13.0,0.333333,0.333333,0.0,0.166667,0.222222,0.707107,-1.0,4.0,0.0,0.333333,0.333333,0.0,0.0,0.0,31.612008514055677,0.5088624432045535,-55.089807400995454,-16.63352088292578,-24.97846786409869
14.0,5.333223,1.185446,0.248562,0.717004,2.255744,0.857003,0.866843,60.0,1.19322,5.320904,0.253107,-0.216949,0.054237,0.072316,1.5000621298409023,0.024146687168266127,-52.48980740099545,24.499812450407546,0.9881988025679789
15.0,0.8,0.3,0.0,0.15,0.366667,0.819288,0.41691,6.0,0.3,0.8,0.0,0.0,0.0,0.0,39.402132974648374,0.6342610481088321,-51.589807400995454,-43.13352088292578,-30.47846786409869
16.0,0.333333,0.333333,0.0,0.166667,0.222222,0.707107,-1.0,4.0,0.0,0.333333,0.333333,0.0,0.0,0.0,49.209477163707554,0.7921310905382356,-51.089807400995454,11.36647911707422,-45.97846786409869
17.0,0.285714,0.285714,0.285714,0.285714,0.285714,0.0,,8.0,0.285714,0.285714,0.285714,0.0,0.0,0.0,33.41319241508018,0.5378563250747457,-49.589807400995454,-39.63352088292578,-24.97846786409869
18.0,0.333333,0.333333,0.0,0.166667,0.222222,0.707107,-1.0,4.0,0.333333,0.333333,0.0,0.0,0.0,0.0,9.174192584831037,0.1476781220994074,-49.589807400995454,14.36647911707422,12.52153213590131
19.0,7.189048,5.835505,1.315917,3.575711,4.780157,0.56958,-0.786544,289.0,2.805051,5.557093,5.978326,-0.985594,2.14313,0.961349,31.82057989307321,0.5122198427023493,-46.366624009991995,-49.46916102133408,-22.675699698008714
20.0,30.722272,6.109034,2.404648,4.256841,13.078651,0.848587,0.93523,725.0,10.504191,14.174597,14.557165,-9.762355,-7.527558,8.940272,44.0744846547675,0.7094724757661153,-38.37256602168511,-70.82593467602922,-33.63432993306421
21.0,3.93901,2.130161,1.088248,1.609204,2.385806,0.542144,0.445987,128.0,2.594488,3.397638,1.165293,0.838583,0.313484,0.027067,36.037267473829175,0.5800963885289053,-40.902307400995454,-34.57102088292578,-28.97065536409869
22.0,9.518495,3.297183,1.730856,2.51402,4.848845,0.698034,0.839805,291.0,2.608982,9.34087,2.596682,-0.654971,0.700521,0.956085,12.175153498875744,0.1959849641655537,-38.900803964569334,-28.55276486918008,-5.681217004992163
