lesid,axcov,l2,l3,radcov,meancov,covfa,covpl,lesvol,sxx,syy,szz,sxy,sxz,syz
1.000000,0.333333,0.333247,0.000000,0.166624,0.222193,0.707107,-1.000000,3.999482,0.333247,0.333333,0.000000,0.000000,0.000000,0.000000
2.000000,17.557822,2.782518,1.213760,1.998139,7.184700,0.876563,0.966060,327.957537,2.246817,16.469372,2.837911,-1.680984,1.219848,-3.501650
3.000000,0.705882,0.705700,0.264706,0.485203,0.558763,0.427142,-0.999999,17.997670,0.705700,0.705882,0.264706,0.000000,0.000000,0.000000
4.000000,3.898438,1.418877,0.621567,1.020222,1.979627,0.705587,0.760731,81.989384,3.457099,1.842216,0.639566,0.952301,0.023785,-0.118639
5.000000,0.285714,0.285714,0.285640,0.285677,0.285690,0.000149,-1.000000,7.998964,0.285640,0.285714,0.285714,0.000000,0.000000,0.000000
6.000000,11.365519,3.779028,1.947518,2.863273,5.697355,0.712749,0.850793,336.956372,9.049055,5.868412,2.174597,-3.551769,0.005572,0.695042
7.000000,1.463871,0.961013,0.628601,0.794807,1.017828,0.391483,0.344607,40.994692,0.669339,1.162195,1.221951,-0.078039,0.076210,0.270122
8.000000,0.285714,0.285714,0.285640,0.285677,0.285690,0.000149,-1.000000,7.998964,0.285640,0.285714,0.285714,0.000000,0.000000,0.000000
9.000000,1.230458,0.680003,0.593018,0.636511,0.834493,0.392385,0.929230,32.995728,1.192873,0.655303,0.655303,0.142027,-0.045449,0.030303
10.000000,1.899166,1.252165,1.012986,1.132576,1.388106,0.318888,0.702634,67.991197,1.161025,1.260755,1.742537,0.010534,0.324585,0.089552
11.000000,5.672296,3.698370,3.627425,3.662897,4.332697,0.261699,0.995798,376.951193,3.996059,5.333018,3.669013,-0.698312,0.118311,-0.261330
12.000000,3.746532,1.904476,1.742353,1.823415,2.464454,0.423820,0.976194,156.979675,1.858330,3.704475,1.830557,0.064421,0.084547,0.273191
13.000000,2.337805,1.449503,0.620294,1.034898,1.469201,0.527595,0.059551,62.991844,1.886352,0.622632,1.898618,-0.054268,-0.443875,0.015361
14.000000,0.333333,0.333333,0.000000,0.166667,0.222222,0.707107,-1.000000,3.999482,0.000000,0.333333,0.333333,0.000000,0.000000,0.000000
15.000000,1.263570,0.285677,0.241160,0.263419,0.596802,0.759567,0.993328,14.998058,0.266598,0.266667,1.257143,-0.019045,0.057135,0.057143
16.000000,0.333333,0.333247,0.000000,0.166624,0.222193,0.707107,-1.000000,3.999482,0.333247,0.000000,0.333333,0.000000,0.000000,0.000000
17.000000,2.314809,0.656453,0.491059,0.573756,1.154107,0.711383,0.969832,38.994951,2.189716,0.641026,0.631579,0.080961,-0.447311,-0.078947
18.000000,5.419355,0.258065,0.257998,0.258031,1.978472,0.950235,1.000000,31.995857,0.257998,5.419355,0.258065,0.000000,0.000000,0.000000
19.000000,0.800000,0.299922,0.000000,0.149961,0.366641,0.819327,0.417209,5.999223,0.299922,0.800000,0.000000,0.000000,0.000000,0.000000
20.000000,5.984806,0.560648,0.000000,0.280324,2.181818,0.952437,0.967731,22.997022,0.000000,5.909091,0.636364,0.000000,0.000000,-0.636364
21.000000,1.325609,1.192140,0.651486,0.921813,1.056412,0.325737,-0.845038,45.994045,1.275515,1.228986,0.664734,-0.069556,-0.046371,-0.069565
22.000000,7.825124,0.772508,0.253668,0.513088,2.950433,0.931180,0.983098,60.992103,0.254033,7.584699,1.012568,-0.010928,0.011747,1.279781
23.000000,2.105263,0.263158,0.263090,0.263124,0.877170,0.861660,1.000000,19.997411,0.263090,2.105263,0.263158,0.000000,0.000000,0.000000
24.000000,4.060449,1.981195,0.603295,1.292245,2.214980,0.661338,0.342699,94.987701,1.164984,2.389698,3.090258,-0.448990,0.527255,1.264838
