lesid,axcov,l2,l3,radcov,meancov,covfa,covpl,lesvol,sxx,syy,szz,sxy,sxz,syz
1.000000,1.738254,0.659263,0.202050,0.430657,0.866522,0.730598,0.635525,22.000000,0.666667,0.242424,1.690476,0.047619,-0.095238,-0.238095
2.000000,6.755464,2.564509,1.346839,1.955674,3.555604,0.668580,0.796807,186.000000,4.265620,4.699448,1.701744,-2.252020,0.252659,0.538448
3.000000,0.500000,0.000000,0.000000,0.000000,0.166667,1.000000,1.000000,2.000000,0.500000,0.000000,0.000000,0.000000,0.000000,0.000000
4.000000,1.428571,0.285714,0.000000,0.142857,0.571429,0.898717,0.841698,8.000000,1.428571,0.000000,0.285714,0.000000,0.000000,0.000000
5.000000,0.333333,0.333333,0.000000,0.166667,0.222222,0.707107,-1.000000,4.000000,0.333333,0.333333,0.000000,0.000000,0.000000,0.000000
6.000000,0.500000,0.000000,0.000000,0.000000,0.166667,1.000000,1.000000,2.000000,0.000000,0.500000,0.000000,0.000000,0.000000,0.000000
7.000000,0.800000,0.300000,0.000000,0.150000,0.366667,0.819288,0.416910,6.000000,0.300000,0.800000,0.000000,0.000000,0.000000,0.000000
8.000000,15.588650,0.971885,0.631186,0.801536,5.730574,0.946160,0.998209,136.000000,15.515251,1.030065,0.646405,-1.000436,0.266449,0.040959
9.000000,0.285714,0.285714,0.285714,0.285714,0.285714,0.000000,nan,8.000000,0.285714,0.285714,0.285714,0.000000,0.000000,0.000000
10.000000,0.500000,0.000000,0.000000,0.000000,0.166667,1.000000,1.000000,2.000000,0.000000,0.500000,0.000000,0.000000,0.000000,0.000000
11.000000,1.333333,1.333333,0.000000,0.666667,0.888889,0.707107,-1.000000,16.000000,1.333333,1.333333,0.000000,0.000000,0.000000,0.000000
12.000000,1.363636,0.727273,0.000000,0.363636,0.696970,0.764706,-0.115157,12.000000,0.727273,1.363636,0.000000,0.000000,0.000000,0.000000
13.000000,1.428571,0.285714,0.000000,0.142857,0.571429,0.898717,0.841698,8.000000,0.285714,1.428571,0.000000,0.000000,0.000000,0.000000
14.000000,6.857143,0.257143,0.257143,0.257143,2.457143,0.961149,1.000000,36.000000,0.257143,6.857143,0.257143,0.000000,0.000000,0.000000
15.000000,1.333333,0.266667,0.266667,0.266667,0.622222,0.769800,1.000000,16.000000,0.266667,1.333333,0.266667,0.000000,0.000000,0.000000
16.000000,2.500000,0.000000,0.000000,0.000000,0.833333,1.000000,1.000000,5.000000,0.000000,2.500000,0.000000,0.000000,0.000000,0.000000
17.000000,0.333333,0.333333,0.000000,0.166667,0.222222,0.707107,-1.000000,4.000000,0.333333,0.333333,0.000000,0.000000,0.000000,0.000000
18.000000,0.333333,0.333333,0.000000,0.166667,0.222222,0.707107,-1.000000,4.000000,0.333333,0.333333,0.000000,0.000000,0.000000,0.000000
19.000000,0.750000,0.750000,0.000000,0.375000,0.500000,0.707107,-1.000000,9.000000,0.750000,0.750000,0.000000,0.000000,0.000000,0.000000
20.000000,0.705882,0.705882,0.264706,0.485294,0.558824,0.427179,-1.000000,18.000000,0.264706,0.705882,0.705882,0.000000,0.000000,0.000000
21.000000,0.333333,0.333333,0.000000,0.166667,0.222222,0.707107,-1.000000,4.000000,0.333333,0.333333,0.000000,0.000000,0.000000,0.000000
22.000000,5.478261,0.695652,0.000000,0.347826,2.057971,0.935431,0.939141,24.000000,0.695652,5.478261,0.000000,0.000000,0.000000,0.000000
23.000000,0.333333,0.333333,0.000000,0.166667,0.222222,0.707107,-1.000000,4.000000,0.333333,0.000000,0.333333,0.000000,0.000000,0.000000
24.000000,0.333333,0.333333,0.000000,0.166667,0.222222,0.707107,-1.000000,4.000000,0.333333,0.333333,0.000000,0.000000,0.000000,0.000000
25.000000,0.333333,0.333333,0.000000,0.166667,0.222222,0.707107,-1.000000,4.000000,0.333333,0.333333,0.000000,0.000000,0.000000,0.000000
26.000000,2.358774,1.653770,0.758601,1.206185,1.590381,0.466285,-0.204072,67.000000,1.931253,1.857078,0.982813,0.328584,-0.110131,-0.494799
27.000000,0.333333,0.333333,0.000000,0.166667,0.222222,0.707107,-1.000000,4.000000,0.333333,0.333333,0.000000,0.000000,0.000000,0.000000
28.000000,0.285714,0.285714,0.285714,0.285714,0.285714,0.000000,nan,8.000000,0.285714,0.285714,0.285714,0.000000,0.000000,0.000000
29.000000,0.500000,0.000000,0.000000,0.000000,0.166667,1.000000,1.000000,2.000000,0.500000,0.000000,0.000000,0.000000,0.000000,0.000000
30.000000,0.800000,0.300000,0.000000,0.150000,0.366667,0.819288,0.416910,6.000000,0.800000,0.000000,0.300000,0.000000,0.000000,0.000000
31.000000,0.500000,0.000000,0.000000,0.000000,0.166667,1.000000,1.000000,2.000000,0.000000,0.000000,0.500000,0.000000,0.000000,0.000000
32.000000,3.181818,0.272727,0.000000,0.136364,1.151515,0.956510,0.973163,12.000000,3.181818,0.000000,0.272727,0.000000,0.000000,0.000000
33.000000,0.727273,0.272727,0.272727,0.272727,0.424242,0.552158,1.000000,12.000000,0.272727,0.727273,0.272727,0.000000,0.000000,0.000000
34.000000,1.304348,0.695652,0.260870,0.478261,0.753623,0.604791,0.283833,24.000000,0.695652,1.304348,0.260870,0.000000,0.000000,0.000000
35.000000,1.974478,0.678876,0.619003,0.648940,1.090786,0.609138,0.993129,42.000000,1.961092,0.657956,0.653310,0.027294,-0.130662,0.026132
36.000000,0.333333,0.333333,0.000000,0.166667,0.222222,0.707107,-1.000000,4.000000,0.333333,0.000000,0.333333,0.000000,0.000000,0.000000
