lesid,axcov,l2,l3,radcov,meancov,covfa,covpl,lesvol,sxx,syy,szz,sxy,sxz,syz
1.000000,0.692308,0.692308,0.692308,0.692308,0.692308,0.000000,1.414214,27.000000,0.692308,0.692308,0.692308,0.000000,0.000000,0.000000
2.000000,0.692308,0.692308,0.692308,0.692308,0.692308,0.000000,1.414214,27.000000,0.692308,0.692308,0.692308,0.000000,0.000000,0.000000
3.000000,5.650213,2.747497,2.192028,2.469762,3.529913,0.483396,0.900298,248.000000,3.518202,3.792853,3.278683,0.960249,-0.854529,-1.315447
4.000000,2.572561,1.542682,0.647905,1.095293,1.587716,0.543585,0.121217,70.000000,1.121325,1.777433,1.864389,0.387164,-0.242236,0.744306
5.000000,0.333333,0.333333,0.000000,0.166667,0.222222,0.707107,-1.000000,4.000000,0.333333,0.333333,0.000000,0.000000,0.000000,0.000000
6.000000,1.304348,0.695652,0.260870,0.478261,0.753623,0.604791,0.283833,24.000000,0.260870,1.304348,0.695652,0.000000,0.000000,0.000000
7.000000,0.285714,0.285714,0.285714,0.285714,0.285714,0.000000,nan,8.000000,0.285714,0.285714,0.285714,0.000000,0.000000,0.000000
8.000000,0.705882,0.705882,0.264706,0.485294,0.558824,0.427179,-1.000000,18.000000,0.705882,0.264706,0.705882,0.000000,0.000000,0.000000
9.000000,3.733763,2.286610,1.319641,1.803126,2.446672,0.460201,0.336326,149.000000,3.038636,2.550970,1.750408,0.506530,0.860285,0.237711
10.000000,0.800000,0.500000,0.266667,0.383333,0.522222,0.472357,0.214453,16.000000,0.266667,0.650000,0.650000,0.000000,0.000000,-0.150000
11.000000,2.026740,0.714286,0.606704,0.660495,1.115910,0.613284,0.979211,43.000000,0.664452,0.664452,2.018826,0.049834,0.074751,-0.074751
12.000000,0.500000,0.000000,0.000000,0.000000,0.166667,1.000000,1.000000,2.000000,0.000000,0.500000,0.000000,0.000000,0.000000,0.000000
