lesid,axcov,l2,l3,radcov,meancov,covfa,covpl,lesvol,sxx,syy,szz,sxy,sxz,syz
1.000000,0.333333,0.333333,0.000000,0.166667,0.222222,0.707107,-1.000000,4.000000,0.333333,0.333333,0.000000,0.000000,0.000000,0.000000
2.000000,28.199557,1.859420,1.179886,1.519653,10.412955,0.943468,0.997812,355.000000,1.182908,27.584913,2.471043,-0.277640,-0.050139,3.966905
3.000000,11.384930,2.875105,1.463490,2.169297,5.241175,0.785617,0.922745,279.000000,1.572935,2.979758,11.170831,0.099740,-1.030737,-0.932570
4.000000,1.456385,0.919276,0.259259,0.589268,0.878307,0.596309,-0.176689,28.000000,0.259259,1.100529,1.275132,0.000000,0.000000,-0.253968
5.000000,0.333333,0.333333,0.000000,0.166667,0.222222,0.707107,-1.000000,4.000000,0.333333,0.333333,0.000000,0.000000,0.000000,0.000000
6.000000,0.333333,0.333333,0.000000,0.166667,0.222222,0.707107,-1.000000,4.000000,0.333333,0.333333,0.000000,0.000000,0.000000,0.000000
7.000000,0.703889,0.300000,0.232475,0.266237,0.412121,0.552141,0.921645,11.000000,0.690909,0.272727,0.272727,-0.054545,0.054545,0.027273
8.000000,6.680809,0.852818,0.251611,0.552215,2.595080,0.912600,0.967850,58.000000,0.253176,5.924985,1.607078,-0.002420,0.031760,1.958258
9.000000,0.333333,0.333333,0.000000,0.166667,0.222222,0.707107,-1.000000,4.000000,0.333333,0.333333,0.000000,0.000000,0.000000,0.000000
10.000000,3.951409,1.584611,1.133770,1.359190,2.223263,0.595017,0.901103,116.000000,1.694153,1.164843,3.810795,0.125337,0.559220,0.044828
11.000000,10.434214,1.396276,1.201649,1.298962,4.344046,0.862322,0.998469,185.000000,1.211692,10.081786,1.738660,0.085282,-0.025353,1.748854
12.000000,8.039327,1.495433,0.891994,1.193714,3.475585,0.834640,0.973990,135.000000,0.991487,1.491985,7.943284,0.092593,-0.799502,-0.176617
13.000000,1.340909,1.185214,0.627413,0.906313,1.051178,0.342641,-0.809747,45.000000,0.654545,1.249495,1.249495,0.084848,0.084848,-0.091414
14.000000,1.363636,0.727273,0.000000,0.363636,0.696970,0.764706,-0.115157,12.000000,0.000000,1.363636,0.727273,0.000000,0.000000,0.000000
15.000000,0.333333,0.333333,0.000000,0.166667,0.222222,0.707107,-1.000000,4.000000,0.333333,0.333333,0.000000,0.000000,0.000000,0.000000
