lesid,axcov,l2,l3,radcov,meancov,covfa,covpl,lesvol,sxx,syy,szz,sxy,sxz,syz,neurax,nxnorm,cmx,cmy,cmz
1.0,0.333333,0.333333,0.0,0.166667,0.222222,0.707107,-1.0,4.0,0.333333,0.333333,0.0,0.0,0.0,0.0,31.4095366385122,0.4994236943308519,-8.051572327044028,-24.391194968553464,-28.1179245283019
2.0,0.285714,0.285714,0.285714,0.285714,0.285714,0.0,,8.0,0.285714,0.285714,0.285714,0.0,0.0,0.0,9.669799609046036,0.15375352714587365,-7.051572327044028,-49.391194968553464,18.3820754716981
3.0,1.333333,1.333333,0.0,0.666667,0.888889,0.707107,-1.0,16.0,1.333333,1.333333,0.0,0.0,0.0,0.0,6.615991352651651,0.10519680315662146,-2.0515723270440276,-34.391194968553464,12.882075471698101
4.0,0.8,0.3,0.0,0.15,0.366667,0.819288,0.41691,6.0,0.8,0.0,0.3,0.0,0.0,0.0,26.132508674202487,0.41551692323282374,12.448427672955972,17.108805031446536,24.3820754716981
5.0,0.285714,0.285714,0.285714,0.285714,0.285714,0.0,,8.0,0.285714,0.285714,0.285714,0.0,0.0,0.0,2.1257879775641193,0.0338008451808053,14.948427672955972,35.608805031446536,-7.617924528301899
6.0,0.285714,0.285714,0.285714,0.285714,0.285714,0.0,,8.0,0.285714,0.285714,0.285714,0.0,0.0,0.0,7.514553191846279,0.11948428146233653,17.948427672955972,28.608805031446536,-11.617924528301899
7.0,0.333333,0.333333,0.0,0.166667,0.222222,0.707107,-1.0,4.0,0.0,0.333333,0.333333,0.0,0.0,0.0,11.121834848997642,0.17684144506651084,21.448427672955972,-8.391194968553464,14.382075471698101
8.0,0.285714,0.285714,0.285714,0.285714,0.285714,0.0,,8.0,0.285714,0.285714,0.285714,0.0,0.0,0.0,23.44406143407129,0.37276957970679375,22.948427672955972,-36.391194968553464,-15.617924528301899
9.0,14.668331,1.775416,1.25507,1.515243,5.899606,0.887529,0.994727,165.0,2.110865,5.914486,9.673466,-1.833703,-2.684035,5.733296,2.9369853629785956,0.046699195122029254,24.812064036592332,33.78759291023442,-7.41489422527161
10.0,0.727273,0.272727,0.272727,0.272727,0.424242,0.552158,1.0,12.0,0.272727,0.272727,0.727273,0.0,0.0,0.0,38.22664147975069,0.6078182791868904,23.948427672955972,-77.39119496855346,-23.1179245283019
11.0,0.285714,0.285714,0.285714,0.285714,0.285714,0.0,,8.0,0.285714,0.285714,0.285714,0.0,0.0,0.0,20.224025645220678,0.32156977411738197,27.948427672955972,-38.391194968553464,-11.617924528301899
12.0,0.333333,0.333333,0.0,0.166667,0.222222,0.707107,-1.0,4.0,0.0,0.333333,0.333333,0.0,0.0,0.0,14.517820634162295,0.23083892316500745,28.448427672955972,40.608805031446536,9.382075471698101
13.0,1.333333,0.266667,0.266667,0.266667,0.622222,0.7698,1.0,16.0,0.266667,1.333333,0.266667,0.0,0.0,0.0,11.702084879972485,0.18606764338456325,38.94842767295597,1.6088050314465363,14.382075471698101
14.0,0.333333,0.333333,0.0,0.166667,0.222222,0.707107,-1.0,4.0,0.333333,0.0,0.333333,0.0,0.0,0.0,5.254696603472077,0.08355169388509999,39.94842767295597,-26.891194968553464,2.3820754716981014
15.0,6.538555,1.115519,0.900858,1.008189,2.851644,0.826644,0.994923,93.0,1.01122,1.358579,6.185133,0.146213,0.760519,1.114656,1.0470959853427897,0.016649228269025183,40.90004057618178,24.76471900994116,-0.5695374315276922
16.0,1.0,0.0,0.0,0.0,0.333333,1.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,20.624796077930228,0.3279421778998995,52.44842767295597,-33.891194968553464,-11.117924528301899
17.0,0.333333,0.333333,0.0,0.166667,0.222222,0.707107,-1.0,4.0,0.333333,0.0,0.333333,0.0,0.0,0.0,2.6283851454683944,0.0417923331560595,51.94842767295597,47.108805031446536,-7.617924528301899
18.0,20.323858,2.652844,1.928541,2.290692,8.301748,0.876488,0.994565,251.0,3.634072,2.395283,18.875888,0.863586,4.131363,2.544127,1.7735436876402542,0.028200025703416877,57.40460297176075,33.917569971685566,-3.950593851011064
19.0,0.333333,0.333333,0.0,0.166667,0.222222,0.707107,-1.0,4.0,0.333333,0.333333,0.0,0.0,0.0,0.0,4.14464787782939,0.06590149287041909,53.94842767295597,44.608805031446536,-0.11792452830189859
20.0,0.727273,0.272727,0.272727,0.272727,0.424242,0.552158,1.0,12.0,0.272727,0.727273,0.272727,0.0,0.0,0.0,13.213817447560476,0.21010477173937434,56.94842767295597,-4.891194968553464,18.3820754716981
